SOS_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOS20,..,364713,364713,431249,50694,481951,247208,17167,264371,260607,7210,267813,104183,2653,106831,50286,1676,51956,1093532,444111,1537642
SOS21,..,116429,116429,127640,9865,137506,54111,1669,55783,52151,584,52732,23163,221,23381,9650,132,9779,266717,128893,395606
SOS22,..,11383,11383,13325,888,14208,4691,53,4742,4456,19,4474,2055,10,2063,874,3,883,25400,12361,37758
SOS23,..,29303,29303,52589,2440,55029,19871,217,20086,21156,61,21217,10972,20,10990,5053,16,5071,109645,32059,141696
SOS27,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
