SOS_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS20,269316,522619,253145,210713,282404,200164,111906,164935,35204,2050402
SOS21,48314,77464,69259,55525,54519,46733,30696,54207,7409,444140
SOS22,5174,6098,6917,4803,4414,3563,3185,5471,698,40321
SOS23,46932,29621,29124,18031,21702,14545,13209,22505,3548,199216
SOS27,0,4,7,0,0,0,0,3,0,23
SOS29,178,405,297,277,182,134,200,307,57,2033
