SOS_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
SOS20,65541,39820,25701,13408,3772,913,232991,2014,20075,23295,20945,16774,7581,1897,405,92988,62424,217342,163421,104370,69280,36571,13648,4459,671523,28591,79546,73144,64229,46451,28685,12072,4313,337025,47034,97571,84723,88030,63917,37874,19637,6551,445342,5989,5724,5453,4914,3490,1927,544,163,28195,4469,8578,10292,11727,10040,7078,3179,1468,56830,57487,111866,100468,104664,77446,46887,23364,8181,530370,2364,5767,5111,4529,4217,3752,2176,974,28890,41554,54349,42165,39431,36364,35351,29554,19303,298075,199682,567529,473151,377997,276235,172235,86479,38556,2191855
SOS21,4376,3623,3215,1974,539,100,17777,307,2863,3897,3884,3783,2035,462,76,17312,4905,21234,20122,13535,12501,8001,2938,894,84124,4049,12730,13846,14053,13121,9217,3794,1195,72010,17658,35518,29856,30154,25341,16133,7072,2144,163873,2466,2342,1910,1630,1417,807,174,69,10808,1316,2333,2688,2755,2952,2309,896,366,15603,21440,40190,34452,34532,29706,19248,8143,2576,190288,300,717,685,766,873,1014,648,311,5315,11775,10459,10256,11971,13852,15643,13149,7650,94752,43150,91770,87633,82371,77055,57125,29665,12795,481574
SOS22,280,290,403,278,73,8,1511,39,208,333,350,412,242,47,5,1639,253,1236,1518,1284,1410,986,273,68,7027,272,844,1205,1348,1529,1116,385,114,6805,1249,2878,2886,3560,3254,2019,786,185,16812,185,186,176,198,198,94,19,4,1060,95,185,226,312,357,322,81,20,1597,1524,3252,3287,4072,3810,2436,887,201,19469,22,42,68,80,113,119,50,30,523,1096,832,1056,1442,1844,1977,1193,674,10112,3229,6572,7736,8858,9527,7146,2914,1103,47086
SOS23,1412,1732,1913,1210,299,41,7528,88,780,1347,1754,2084,970,159,17,7201,1440,5447,7718,7181,7462,4309,1032,213,34798,1358,3680,5423,7186,7041,4669,1167,250,30773,5912,10125,12068,16032,13343,7171,2204,464,67324,726,629,702,762,702,301,49,21,3894,417,643,1003,1344,1421,1014,247,59,6154,7060,11399,13776,18143,15466,8488,2504,544,77376,91,144,253,365,473,490,155,49,2032,5509,4278,5280,7040,7743,6948,3380,1053,41232,15639,26558,35211,43412,42184,27084,8692,2163,200936
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,25
SOS29,63,20,20,14,0,0,238,0,36,18,19,14,3,0,0,91,121,360,126,75,68,33,4,3,792,61,119,74,59,51,22,9,0,404,107,219,155,124,108,52,11,0,777,18,14,12,5,3,3,0,0,60,7,24,18,14,16,9,5,0,101,138,255,188,152,125,61,12,0,932,3,8,10,0,3,8,0,0,42,309,513,497,343,235,114,29,13,2076,650,1413,971,670,526,263,61,19,4580
