SOS_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
SOS20,1696,9615,8009,8225,15186,13465,6603,8859,819,72489,2793,9745,8085,7740,17813,18327,5995,10445,19091,100038,62221,241120,213588,221314,395255,416098,190724,271528,38557,2050402
SOS21,537,2385,1614,1908,3522,3261,1637,2311,199,17376,820,1911,1230,1385,2834,2958,1098,1941,3923,18091,18685,57636,46817,55363,82136,77020,41177,56617,8683,444140
SOS22,53,210,150,164,262,300,135,219,19,1515,118,182,148,144,270,300,98,209,373,1841,1990,5330,4508,5019,6477,6743,3472,5908,880,40321
SOS23,217,888,670,734,1089,1402,567,1137,97,6790,482,981,707,728,998,1460,498,1339,2026,9210,8622,25102,21079,23359,26795,33143,16075,40191,4861,199216
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
SOS29,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
