SOS_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS20,74236,14290,89845,719521,231347,22968,973831,2331537,259481,3564851
SOS21,23942,6075,30387,164259,67899,7763,239923,533423,79719,853064
SOS22,1881,524,2449,14117,6045,702,20864,52180,8446,81486
SOS23,4166,927,5266,63286,27798,2505,93589,210194,35677,339459
SOS27,0,0,0,5,0,0,5,18,3,25
SOS29,25,13,38,649,290,14,960,3900,1969,6825
