SOS_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SOS20,79410,70678,150087,11772,13778,25552,314,116,433,22868,27951,50817,2724,1395,4116,688616,541064,1229684,32586,47287,79866,10170,201,10374,6758,749,7507,21363,8898,30262,6634,3475,10110,30642,32391,63034,913861,747985,1661849,10916,9454,20369,12,14,24,7877,8066,15948,14516,10749,25266,2002,3583,5585,2152,930,3082,37465,32800,70268,11,4,14,1150,1612,2766,717,689,1408,577,1095,1673,217,198,416,2671,3594,6269,8271,5774,14042,48412,42167,90579,8740,8953,17690,308,347,656,492,300,790,9535,9597,19132,34817,48356,83174,64098,113753,177850,9827,7999,17824,1080552,969850,2050402
SOS21,3125,2678,5801,1197,1135,2330,74,41,109,64,70,137,368,283,643,167798,143062,310861,10632,11521,22150,2857,76,2931,992,120,1112,2376,726,3102,1416,625,2035,7090,7410,14499,197984,167738,365718,283,239,522,0,0,0,138,156,295,1135,797,1927,125,179,301,137,35,173,1817,1395,3211,5,0,5,3,0,5,94,89,185,95,157,250,45,27,69,241,270,511,1576,762,2342,3632,2425,6063,584,560,1138,35,26,54,74,13,92,691,593,1287,5955,9491,15444,18307,32251,50557,2678,2392,5069,229245,214891,444140
SOS22,111,94,207,117,76,189,18,4,17,6,16,20,7,3,11,15042,12341,27387,754,754,1507,457,13,468,84,5,93,128,47,178,242,97,339,922,896,1813,17891,14342,32233,13,4,19,0,0,0,8,6,7,82,64,145,9,11,24,3,0,5,109,82,200,0,0,0,0,0,0,5,3,8,4,3,7,0,0,0,11,11,21,166,74,241,291,171,462,42,28,71,3,0,3,3,5,9,48,33,79,865,1133,1996,1911,3086,5001,299,260,556,21299,19026,40321
SOS23,819,733,1552,405,247,651,23,12,37,37,41,73,58,40,98,67066,55640,122708,3239,3610,6855,2836,88,2928,960,189,1156,316,90,406,1295,465,1767,5238,2983,8224,82289,64152,146435,43,37,83,0,0,0,29,33,66,569,414,983,51,68,123,18,3,24,722,553,1274,0,0,0,3,0,3,29,32,56,20,27,49,13,0,17,66,60,119,706,282,986,1487,892,2380,215,202,414,13,9,20,86,10,91,309,222,525,14170,12071,26247,7904,12662,20568,1604,1451,3054,107756,91453,199216
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,23,0,23
SOS29,60,36,101,22,18,42,0,0,0,39,49,85,10,3,10,582,275,859,70,59,126,17,0,17,14,0,14,17,8,19,36,16,50,140,83,227,1002,549,1552,9,18,24,0,0,0,5,9,20,4,7,8,0,0,0,4,0,7,29,35,64,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,13,7,14,39,41,83,14,9,21,0,0,0,0,0,0,12,9,24,25,38,69,138,134,274,19,18,33,1242,786,2033
