SOS_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
SOS20,153,545,1424,1338,1275,917,370,131,20,6166,11,90,749,823,809,518,123,12,5,3136,1553,6251,22291,27965,28792,19181,3813,360,52,110258,97,671,3888,3789,3319,2038,365,19,3,14195,4724,16130,41111,32395,27456,16235,3389,323,52,141820,684,2703,9734,11496,11307,7169,1655,203,21,44974,9511,16420,23767,17411,14131,9451,2909,348,53,93998,12025,14023,19355,9585,6580,4168,946,106,12,66800,659,4185,18076,17523,17981,13182,3142,213,29,74987,540,1816,7834,8296,6023,2962,535,54,9,28065,198,2513,14493,15037,10165,4952,1327,186,52,48927,243,1315,4952,4106,3518,2420,962,187,24,17729,627,6091,31360,29752,20175,12819,4880,659,77,106450,678,3634,9616,8134,7266,5362,1722,178,15,36607,520,2764,11648,12831,12963,8890,2043,272,29,51942,1565,4550,13471,12484,10769,9623,2765,264,21,55517,501,2986,13644,13136,11910,9385,3185,388,53,55179,2376,3766,6289,4328,3148,2048,754,146,13,22873,1076,3684,9398,8363,8287,5915,1722,234,24,38708,1857,6154,15787,13489,13126,8491,2657,513,156,62225
SOS21,265,782,1824,1752,1714,1432,787,250,49,8854,7,130,728,699,680,413,57,3,0,2727,845,2499,5869,6511,7029,4938,762,61,18,28524,49,286,1066,1074,1610,1237,177,13,7,5514,1872,5048,10363,7756,6897,4886,947,82,20,37869,231,578,1546,1857,1908,1401,345,42,10,7913,3054,2960,4215,3579,3229,2787,865,109,14,20814,3841,2228,2342,1659,1382,1275,407,46,9,13189,177,708,2683,3456,4364,4065,1151,75,17,16691,128,236,651,712,667,510,102,16,0,3013,30,184,785,1044,970,636,154,19,8,3828,46,169,447,520,566,498,204,32,5,2479,133,586,2070,2273,1937,1784,694,99,6,9584,164,452,1164,1308,1446,1320,387,51,8,6296,169,731,2653,3436,3922,3028,535,40,6,14527,239,557,2128,2484,2316,2476,607,46,5,10859,137,622,2246,2500,2809,2689,686,76,11,11768,376,392,652,630,630,524,199,35,8,3442,460,1053,2092,1829,1980,1713,516,89,9,9733,654,1225,2271,2280,2504,1877,600,185,42,11632
SOS22,55,124,309,319,388,394,197,59,13,1856,0,6,72,75,85,67,15,3,0,318,82,169,398,494,605,523,74,10,0,2361,4,14,65,131,160,131,13,4,0,523,172,362,842,808,851,650,101,14,6,3807,17,34,98,143,194,156,29,3,0,675,210,165,242,254,318,306,110,7,4,1611,252,131,156,168,183,179,84,8,0,1173,21,46,186,272,409,451,122,9,0,1516,3,13,22,28,48,48,6,3,0,182,0,3,28,56,46,29,18,0,0,178,3,6,34,36,63,56,19,3,0,224,15,24,82,131,184,191,83,7,0,711,20,33,90,138,164,159,37,6,0,647,11,42,159,267,391,335,62,3,0,1268,24,32,147,189,230,245,65,3,0,927,17,36,90,137,223,260,64,10,3,840,22,29,41,83,68,86,34,8,0,374,45,95,170,175,184,188,58,7,0,921,72,93,181,209,293,237,92,27,8,1196
SOS23,662,1163,2812,3711,5179,5933,3949,1360,255,25009,9,60,208,323,402,284,47,12,0,1345,414,769,1291,2079,2969,2309,560,68,10,10472,22,76,279,404,723,559,83,5,0,2159,973,1859,3033,3448,4128,2997,634,51,16,17138,122,222,389,628,865,736,219,23,4,3201,1067,680,724,896,1088,1025,352,59,7,5900,1134,410,341,347,451,465,183,26,3,3357,84,232,660,1180,1895,1774,540,43,4,6421,25,56,91,162,270,219,57,3,0,879,11,43,151,246,337,228,91,14,3,1121,19,62,100,173,238,240,106,16,5,960,53,173,478,763,1019,963,466,66,3,3977,69,135,261,421,590,540,152,19,0,2194,176,387,760,1034,1596,1307,206,23,0,5484,118,173,373,620,853,1086,280,21,0,3522,36,141,285,556,889,1078,328,38,5,3361,145,136,192,247,342,333,126,21,0,1533,270,397,552,688,1027,800,222,25,3,3986,369,461,652,914,1378,1191,545,179,48,5746
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SOS29,3,7,16,4,10,7,0,0,0,45,0,0,6,3,0,0,0,0,0,7,0,10,30,38,15,7,4,0,0,107,0,0,7,3,4,5,0,0,0,17,4,20,70,49,25,21,3,0,0,182,0,3,9,9,5,8,0,0,0,35,3,14,17,19,13,9,0,0,0,70,11,35,46,11,6,4,0,0,0,116,0,4,38,23,21,18,3,0,0,111,0,3,6,4,0,0,0,0,0,20,0,0,6,10,0,4,0,3,0,26,0,0,10,5,3,0,0,0,0,13,0,0,40,15,8,5,0,0,0,71,0,3,22,9,9,9,0,0,0,52,9,21,21,13,8,9,0,0,0,78,0,7,13,5,3,15,0,0,0,44,0,3,12,15,9,10,0,0,0,51,0,7,17,4,7,0,0,0,0,41,0,6,12,15,12,3,3,0,0,54,7,6,33,15,26,9,0,0,0,94
