SOS_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
SOS20,52373,24394,26221,50611,23682,24997,48677,22937,25019,47958,22128,23925,46049,118550,127127,245672,22319,23599,45916,20709,22633,43345,19806,22034,41836,19540,21513,41045,18902,20916,39815,101271,110694,211969,18534,20613,39150,17692,20013,37704,17391,19306,36694,17221,19799,37019,18349,20301,38645,89180,100030,189212,15393,16984,32376,14070,15735,29804,13643,15479,29124,12028,13717,25747,11948,13701,25647,67081,75620,142697,11159,12886,24052,10911,12628,23538,10093,12048,22141,9520,11727,21253,9053,11094,20143,50739,60386,111126,35735,47084,82817,22578,34215,56796,8774,17216,25988,1758,4544,6301,152,611,763,2131735,2221565,4353298
SOS21,13880,6479,7074,13552,6599,7096,13695,6356,7174,13527,6259,6987,13246,32186,35719,67904,6350,7056,13407,6196,6987,13185,6197,6902,13103,6310,6949,13260,6290,6727,13012,31336,34626,65961,6131,6840,12966,6172,6828,12997,5944,6474,12419,5977,6311,12286,6304,7067,13367,30521,33517,64037,5257,5644,10903,4864,5411,10275,4671,5259,9926,4225,4755,8974,4348,4906,9258,23358,25974,49333,4015,4431,8445,3560,4325,7881,3626,4139,7766,3213,3959,7170,3032,3642,6674,17443,20495,37942,11987,15918,27899,7367,11907,19273,2858,5892,8747,528,1568,2095,70,207,273,508725,544123,1052851
SOS22,1688,741,793,1529,814,787,1603,816,799,1612,771,804,1572,3978,4033,8015,815,809,1627,829,789,1617,799,773,1569,813,784,1599,807,796,1597,4063,3951,8022,799,752,1549,879,786,1667,713,761,1479,778,712,1489,838,752,1588,4014,3764,7771,690,594,1281,629,582,1209,586,584,1171,550,466,1015,543,502,1039,2992,2724,5712,483,410,900,376,421,802,387,377,762,332,364,694,315,340,660,1899,1914,3813,1167,1250,2420,679,877,1557,248,445,692,38,116,158,13,36,41,49397,49424,98824
SOS23,7388,3591,3533,7128,3629,3568,7195,3595,3335,6935,3619,3334,6951,18211,17379,35594,3603,3366,6971,3514,3323,6836,3460,3169,6633,3502,3242,6749,3413,2895,6313,17495,16001,33494,3421,3089,6507,3316,2894,6214,3148,2638,5786,3068,2625,5687,3256,2608,5866,16205,13857,30067,2738,2125,4864,2467,1999,4467,2129,1870,3999,1933,1564,3500,1927,1529,3457,11200,9088,20283,1689,1379,3068,1519,1166,2687,1322,1034,2354,1162,963,2125,1085,832,1925,6785,5374,12158,3620,3092,6717,1828,1786,3614,552,734,1284,91,202,296,26,46,74,213864,200186,414055
SOS27,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,29
SOS29,86,46,36,81,64,39,101,38,32,73,43,37,84,237,188,425,47,56,105,43,24,61,45,31,76,45,20,63,52,34,87,219,169,390,37,25,65,40,31,68,32,31,68,36,34,66,34,24,50,170,141,311,24,25,51,22,10,35,26,14,40,17,8,23,19,8,31,112,62,174,15,8,15,7,4,16,7,11,15,15,8,24,8,7,9,48,32,78,32,16,45,5,24,26,3,3,8,0,3,3,0,0,0,4331,3238,7565
