SOS_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SOS20,16090,22954,11559,13005,15852,7756,3747,4592,1191,96738,20374,22462,17499,28380,24439,12322,5362,7257,1696,139792,32436,15789,122175,40496,32777,21004,22000,27064,4529,318286,1561,1137,1566,2990,3832,2599,1272,2253,185,17393,3941,3093,3069,6948,7284,4080,2449,3003,500,34371,2257,4389,1794,1731,2453,1440,1020,1250,427,16761,3303,5079,4295,4436,4389,3326,2826,4108,4047,35811,205996,482220,192132,147138,176743,92031,50545,69563,21864,1438235
SOS21,2781,4834,1736,3298,2622,1078,467,814,197,17827,4146,4977,2985,8238,5120,2051,722,1471,358,30068,11241,4539,43034,15697,10896,7589,8874,11754,1557,115183,490,289,533,1108,1270,1093,406,1079,73,6350,854,530,777,2274,1490,1086,706,1135,114,8964,275,555,305,311,356,217,177,323,78,2597,996,1121,1340,1547,1020,1143,1027,1887,990,11068,32701,71722,53693,39751,29957,17015,13146,20508,4166,282664
SOS22,278,456,150,322,216,102,31,82,24,1678,358,432,246,713,405,159,59,159,40,2573,1347,429,4355,1353,870,620,967,1291,137,11370,62,21,66,98,132,75,37,114,5,617,83,62,81,195,155,120,75,106,9,880,31,39,38,30,28,14,16,36,11,246,135,122,174,154,125,118,132,224,101,1287,3347,5664,5374,3503,2489,1401,1393,2234,390,25779
SOS23,2997,2275,824,1294,1245,474,222,453,119,9902,2725,1923,1123,2557,1988,650,314,692,157,12120,10538,1695,17536,4680,3814,2189,4241,5250,742,50692,465,111,247,395,577,312,167,431,22,2729,883,235,395,724,679,368,275,459,48,4070,287,203,152,113,157,72,79,129,15,1206,1563,566,730,619,559,486,523,817,445,6306,27625,27359,22204,12778,12110,5499,6140,9206,1963,124885
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
SOS29,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
