SOS_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS20,13,56,128,859,555,236,77,28,7,1953,418,2711,5035,18961,8167,5777,2484,604,235,44389,11,77,204,3024,1473,3123,2473,1481,1629,13491,61,476,658,3672,3270,3813,4001,2498,983,19437,317,1701,3269,5312,1914,1594,849,269,66,15283,155,1233,2795,8495,4630,3080,2076,872,311,23650,0,0,59,897,1343,1759,1464,1212,342,7067,432,3012,4943,23208,8681,6568,4328,1806,697,53676,114,229,1069,5368,671,731,330,52,22,8582,308,1534,2476,7526,1323,578,219,45,17,14017,17,115,376,3169,3342,4201,3675,1690,388,16967,63,216,597,4414,4489,2546,1591,708,165,14792,534,2190,2185,6124,2483,1572,1070,238,108,16512,401,1581,7282,29760,17299,14556,5108,2086,889,78945,19,109,142,880,688,594,542,326,156,3467,15,177,531,2014,630,387,158,41,8,3952,2018,8535,15920,60332,25330,20385,16352,10702,4932,164511,14173,22657,31682,84602,34835,30050,24633,17319,9793,269747,277742,510706,587958,1338079,565475,457642,331909,193940,89845,4353298
SOS21,3,18,27,147,132,65,28,14,0,438,80,510,607,2221,924,642,294,72,13,5365,0,11,16,168,73,184,147,101,144,836,8,69,88,445,574,1052,1389,782,268,4664,10,45,69,188,99,85,37,11,3,554,22,189,306,795,471,308,247,83,25,2434,0,0,0,29,91,151,180,124,51,628,30,156,103,798,240,151,135,40,32,1684,3,12,171,763,29,17,10,0,0,1005,62,292,295,574,177,77,28,7,3,1496,0,3,5,87,90,89,83,40,0,392,0,16,31,214,232,116,71,33,3,734,37,203,166,597,308,341,311,67,20,2039,18,61,112,665,232,157,48,9,4,1313,0,24,33,110,155,154,197,112,45,826,5,35,64,211,86,61,37,13,3,513,136,920,1254,3738,1800,1591,1545,1092,471,12544,3812,7112,8181,18795,11174,11847,11077,7681,3941,83623,67242,132552,125346,250750,133503,133862,113365,65842,30387,1052851
SOS22,0,0,0,14,10,7,0,0,0,41,4,39,24,118,62,52,16,0,3,319,0,0,0,14,0,19,19,7,4,62,0,0,0,40,56,136,173,69,17,486,0,3,4,15,12,9,0,0,0,43,0,8,11,54,26,35,28,11,0,184,0,0,0,0,6,16,20,10,0,54,0,0,0,13,5,25,9,0,0,54,0,0,9,44,3,0,0,0,0,55,3,10,12,51,18,10,3,0,0,106,0,0,0,5,4,3,5,0,0,18,0,0,0,7,6,4,7,3,0,29,5,23,5,54,38,48,50,7,0,233,0,3,0,17,8,4,3,0,0,32,0,3,0,12,12,16,21,12,5,84,0,0,0,0,7,6,4,0,0,18,3,36,21,165,139,164,150,105,41,822,304,796,665,1780,1406,1657,1498,703,388,9182,5204,12129,9356,19894,14036,16033,13490,6229,2449,98824
SOS23,0,3,8,52,72,29,8,4,0,174,31,120,108,513,182,159,53,3,3,1174,0,4,3,67,25,82,77,28,20,303,0,11,25,142,251,386,430,172,46,1467,3,18,12,46,45,31,8,0,0,167,0,65,91,275,206,141,82,27,5,897,0,0,0,13,63,81,90,54,6,309,3,23,12,185,53,48,54,11,0,389,0,10,25,135,7,10,3,0,0,195,21,44,48,148,58,20,6,3,0,344,0,0,4,29,51,65,59,30,0,241,0,0,9,49,58,17,23,8,0,172,13,58,57,174,150,186,182,32,8,869,3,10,32,216,97,52,7,3,0,420,0,5,3,38,54,85,79,29,6,302,0,3,17,55,56,43,14,3,0,200,14,106,184,813,611,699,692,346,116,3579,1383,3407,3191,7261,6474,7005,5465,2285,664,37134,20650,53945,46225,83238,66424,69088,50347,18869,5266,414055
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,8,11,5,0,0,0,29
SOS29,0,0,0,3,3,0,0,0,0,7,0,0,4,25,5,3,3,0,0,41,0,0,0,9,3,0,0,0,0,11,0,0,3,10,0,7,3,0,0,22,0,0,7,4,0,3,0,0,0,13,0,0,0,13,4,0,3,0,0,25,0,0,0,0,0,4,0,0,0,6,0,0,4,10,0,3,0,0,0,28,0,0,18,33,4,0,0,0,0,64,0,0,3,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,12,9,0,3,0,0,26,4,0,13,17,3,3,3,0,0,47,0,0,17,31,11,10,3,0,0,76,0,0,0,8,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,3,11,19,79,163,42,22,19,4,4,359,46,55,177,503,161,131,74,15,5,1162,379,367,1254,3135,975,816,482,121,38,7565
