SOS_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS20,139230,544551,559586,163411,81796,1488568,49072,1537642
SOS21,23659,140044,147694,45369,21820,378583,17025,395606
SOS22,1287,11815,14614,5295,2939,35943,1815,37758
SOS23,1896,26273,54396,29062,24733,136358,5342,141696
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
