SOS_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS20,493291,27671,13605,5565,512,240,1424,542311
SOS21,93227,8025,5288,835,142,67,623,108217
SOS22,8504,701,483,65,8,7,76,9854
SOS23,43874,3055,1857,416,64,24,282,49588
SOS27,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0
