SOS_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SOS20,388587,774723,7327,41877,51381,239237,9816,44792,296262,1137720,364782,1463622,32154,136015,51027,179333,94342,304425,177525,619775,542311,2083400,2076,9963,11950,42549,4426,15869,55203,146842,73660,215221,9143,29472,21187,48603,66351,145238,96676,223312,170340,438534,22891,48638,1124135,3345293
SOS21,108821,215441,1866,10437,10763,50368,2740,12514,60532,238711,75905,312026,5139,21307,8392,27618,18778,58823,32313,107741,108217,419775,719,3348,3798,13674,1721,6077,20687,56648,26930,79741,2044,6388,4921,10736,15787,33479,22755,50601,49687,130349,3696,7647,270420,773206
SOS22,11824,23311,162,903,1027,4799,297,1286,5271,21028,6757,28011,422,1700,802,2614,1868,5758,3097,10071,9854,38083,48,223,285,1026,120,434,1484,4006,1940,5685,128,396,360,767,1313,2719,1805,3880,3744,9560,286,578,25700,71530
SOS23,50481,99687,1002,5536,5651,26413,1394,6305,23468,95046,31514,133299,2864,11791,4661,15301,10548,33012,18068,60103,49588,193399,132,572,764,2724,328,1159,3745,10186,4969,14644,427,1366,1071,2314,4366,9262,5866,12946,10830,27588,928,1939,111828,322617
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
