SOS_CODE_2016,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
SOS20,5388,5981,4219,991,1597,382,18557,1292,1163,1163,208,510,32,4361,2436,2317,2184,512,1116,112,8679,2008,2259,1996,526,1012,90,7893,3033,3797,3302,915,1653,156,12862,4303,6030,4421,1439,2252,244,18696,5843,9991,5714,1962,2713,288,26511,7377,13612,6143,2538,2941,371,32983,8031,17051,5830,2434,2606,390,36335,9192,19716,6018,2372,2418,421,40137,7444,16338,4055,1546,1448,320,31152,13199,29063,8964,2364,2398,566,56554,5682,12006,2638,842,738,173,22072,5263,11024,2569,670,592,166,20279,8195,16970,4445,1108,1025,255,32005,11272,25523,7106,1448,1330,356,47041,4264,10415,2903,589,553,143,18879,3373,9819,2692,616,520,126,17153,4679,8708,4668,1119,1697,376,21240,112274,221780,81033,24192,29123,4981,473384
SOS21,1163,719,522,150,224,41,2814,563,300,228,71,178,18,1353,1175,648,559,231,364,37,3012,1036,728,542,264,379,25,2971,1964,1792,1104,611,738,50,6261,2704,3220,1527,926,932,89,9396,3128,4710,1766,1090,953,98,11748,3645,6251,1941,1127,956,116,14038,3129,5819,1504,798,637,98,11974,3102,6155,1590,721,503,70,12143,1705,3997,904,329,236,48,7225,2371,5049,1389,355,273,52,9495,807,1834,362,125,81,14,3217,445,1042,256,53,44,9,1847,1103,2258,628,129,118,23,4259,1050,2071,631,122,106,23,4003,362,602,214,35,33,3,1256,230,422,141,23,33,9,859,1390,1685,865,306,368,75,4692,31067,49313,16673,7459,7158,890,112560
SOS22,155,68,47,15,19,4,309,85,32,39,17,24,0,193,229,95,87,36,60,10,529,188,124,73,45,37,4,478,329,269,123,90,89,10,906,342,395,178,111,105,10,1133,370,477,199,93,91,7,1237,364,561,170,74,71,9,1261,270,514,118,66,42,4,1004,295,553,141,55,29,0,1064,190,355,55,24,10,0,640,223,421,128,28,27,3,836,69,148,36,12,3,0,266,48,85,22,7,3,0,166,119,204,69,12,9,0,412,112,187,45,7,4,0,351,39,50,23,4,3,0,115,27,31,13,3,3,0,85,196,213,96,35,38,6,587,3652,4786,1644,748,680,69,11572
SOS23,1043,781,519,82,119,16,2560,267,122,120,23,44,3,582,599,308,300,74,93,10,1387,490,316,268,68,86,3,1235,877,693,508,142,166,11,2398,1104,1037,614,192,216,6,3165,1200,1443,730,250,206,14,3839,1290,1773,822,223,180,23,4309,1086,1706,621,172,152,16,3749,1098,1960,620,165,143,19,4001,774,1407,364,93,60,11,2701,1300,2279,750,130,127,11,4601,428,813,248,34,37,3,1564,338,592,202,38,17,3,1193,721,1333,410,58,55,7,2591,921,1700,564,85,96,7,3374,367,628,219,33,32,4,1282,331,570,218,35,31,5,1184,998,1055,696,128,157,24,3050,15226,20507,8780,2025,2020,219,48780
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
