SOS_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
SOS20,375,89,1032,593,1185,187,3458,417,79,884,269,805,69,2517,5641,1300,18393,11225,32988,2523,72066,1502,336,3541,1473,3378,288,10518,2295,689,12011,9817,72098,3130,100040,3177,773,9467,4651,8962,961,27988,4732,978,16736,9103,16151,2040,49737,2446,377,10261,8650,10982,1453,34167,3747,938,11168,9043,15865,2272,43032,3726,949,9565,3549,3477,581,21838,7410,2242,19906,6446,3271,944,40225,1403,396,4684,2389,3933,457,13258,20168,4255,49733,10654,6940,2111,93858,2161,620,7252,4188,7591,928,22744,5859,2642,13129,8233,9652,1074,40588,15115,5636,18293,4373,4143,830,48381,9865,2972,21057,6148,7045,1343,48436,1373,567,5761,2623,3700,478,14508,1841,531,4645,3822,17501,916,29262,3449,694,9471,5228,13445,4765,37063,96707,27059,246970,112489,243123,27345,753698,182,79,742,386,456,89,1940,155,51,453,79,80,19,838,2692,861,9846,5031,5786,1147,25354,790,260,2026,739,742,132,4685,976,370,4130,3162,3479,508,12630,1917,589,6900,3374,3333,570,16686,3659,1290,20689,12908,14608,2729,55886,2007,466,10038,7277
SOS21,103,42,604,705,2685,333,4479,52,20,217,173,1372,64,1907,401,196,1890,1928,12100,761,17280,175,100,592,591,2505,140,4102,113,97,999,1456,23264,920,26855,101,35,541,589,2711,205,4186,217,106,1327,1335,5887,526,9401,130,59,799,961,3453,355,5758,150,97,742,1165,5329,627,8115,94,52,532,383,914,93,2059,172,125,947,878,468,89,2689,31,20,275,282,977,97,1687,756,351,3598,1463,1615,219,8002,69,67,429,547,2097,203,3420,650,472,2136,2758,4205,344,10571,1462,1455,4015,1097,1309,193,9536,1325,692,3486,1600,2546,327,9972,106,54,465,402,961,98,2080,161,79,498,539,5719,239,7236,145,69,600,609,3822,1099,6347,6419,4190,24697,19469,83956,6952,145675,49,45,400,328,562,143,1523,8,10,65,46,61,10,208,120,96,1003,903,1955,286,4368,60,38,256,187,283,24,843,34,49,456,610,1124,103,2369,42,33,273,322,636,87,1396,155,174,1884,2276,5823,829,11145,116,91,1096,1569
SOS22,11,5,85,118,627,73,926,5,3,13,20,156,11,206,19,11,99,150,1074,91,1449,9,5,37,42,260,22,375,3,11,82,128,2323,103,2650,7,8,36,47,257,21,381,18,8,78,111,506,48,771,15,10,80,78,381,42,603,9,5,55,66,539,70,741,4,0,24,20,64,3,121,7,3,46,43,29,0,126,3,0,23,26,96,7,154,59,22,236,116,141,21,590,9,8,43,59,247,23,380,52,40,130,252,398,40,914,118,157,306,98,121,20,817,62,53,205,133,217,26,701,5,7,44,48,114,17,237,4,3,27,24,643,22,719,11,10,43,66,394,135,661,440,386,1699,1639,8579,781,13521,11,7,73,54,122,33,294,0,0,3,3,7,3,18,10,9,77,95,179,29,385,0,4,10,15,17,4,57,3,7,43,50,110,13,228,3,0,29,18,69,14,134,11,11,142,204,504,86,956,20,21,130,171
SOS23,223,127,1513,2146,7558,1029,12588,19,6,108,77,675,32,916,150,72,791,810,4760,328,6910,53,23,204,223,1026,60,1589,51,45,423,688,10286,528,12018,52,30,258,259,1136,111,1841,70,32,400,360,1750,177,2785,30,21,191,250,828,96,1418,55,47,250,455,2260,283,3347,35,24,142,124,262,33,619,107,59,288,224,153,27,850,25,17,109,131,349,31,658,361,154,1578,568,614,111,3391,33,31,165,211,763,81,1277,217,179,694,1048,1675,139,3948,457,461,1189,358,513,72,3046,348,206,987,538,720,103,2902,40,22,198,166,412,61,893,38,26,139,186,2509,118,3008,85,34,355,308,1992,567,3343,2442,1607,9982,9128,40214,3982,67354,172,251,1458,1581,1744,585,5795,5,3,34,23,47,4,117,78,57,471,465,804,158,2040,34,28,110,86,102,7,366,21,31,272,359,580,86,1347,25,22,204,192,320,37,799,60,78,665,767,1654,355,3581,56,43,376,481
SOS27,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,12,0,10,0,26,0,0,0,0,0,0,4,3,0,10,3,35,6,61,4,0,3,0,9,0,13,0,0,6,7,98,8,124,5,0,5,3,6,0,17,0,0,13,3,18,0,34,8,4,10,13,21,8,59,3,4,12,7,19,7,48,0,0,3,3,7,0,13,9,0,12,7,0,0,21,0,0,6,3,3,0,13,9,5,35,4,10,3,67,4,0,3,7,14,0,28,6,4,9,5,15,0,42,4,7,9,10,5,0,30,15,0,18,8,11,3,51,3,0,8,0,10,0,25,3,0,5,6,12,3,34,12,0,7,4,23,11,50,85,28,178,99,318,55,761,0,0,3,0,0,3,9,0,0,0,0,3,0,6,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,3,0,0,0,7,0,0,10,4,15,0,34,7,0,43,12
