SOS_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS20,42878,15539,89845,875843,901809,370211,279069,865556,272360,3564851
SOS21,14160,6573,30387,173019,220221,105039,86145,183096,85542,853064
SOS22,1072,556,2449,14800,21129,11224,9699,15547,9088,81486
SOS23,1874,1031,5266,65857,88290,48448,41792,56898,38177,339459
SOS27,0,0,0,7,3,3,0,11,3,25
SOS29,22,12,38,1281,954,324,278,1969,2020,6825
