SOS_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS20,728,19681,95921,64046,58076,42242,16511,5297,2292,304796,216,7274,69660,51174,42985,28818,9569,2543,1119,213359,183,2840,50714,48171,39771,25485,7286,1965,873,177290,87,1182,28643,36328,29751,18482,4837,1282,577,121166,149,1002,36734,60217,47202,26781,7181,1962,870,182094,244,782,11411,38881,39002,21111,7448,2405,1119,122412,21134,24658,55411,42670,39049,33085,30174,24718,18706,289604,259900,328057,717381,620699,565475,457642,331909,193940,89845,3564851
SOS21,193,4239,16273,13702,14828,12106,4652,1562,747,68313,54,1512,10918,10324,10023,7383,2209,573,222,43223,13,606,6780,8442,8511,6301,1417,387,160,32602,13,221,3647,5741,6134,4210,829,235,104,21135,18,204,3708,6920,7321,4999,1126,345,141,24784,75,168,1217,2925,3552,2568,985,456,202,12155,7169,5352,10293,9785,10921,11920,12618,10322,6770,85144,63665,61683,125830,124918,133503,133862,113365,65842,30387,853064
SOS22,18,282,1099,1196,1467,1361,488,155,62,6131,8,96,714,802,971,759,236,51,17,3642,0,41,447,629,819,640,144,25,22,2766,0,13,230,454,526,412,96,16,7,1756,0,14,221,516,637,468,97,29,7,1988,13,14,70,202,284,284,100,48,22,1043,737,382,796,973,1315,1566,1591,960,582,8905,5379,3976,8880,11016,14036,16033,13490,6229,2449,81486
SOS23,115,1404,4536,5131,6900,6079,2496,635,179,27467,32,532,2836,3654,4803,4066,1403,304,59,17682,11,231,1894,3068,4275,3288,952,250,65,14040,8,65,991,2063,2808,2186,632,145,48,8948,9,61,1070,2792,3890,2835,863,241,47,11798,45,81,469,1606,2579,2083,939,311,68,8176,3822,2003,4201,5171,6637,6884,5822,2734,895,38163,27043,19177,35251,47992,66424,69088,50347,18869,5266,339459
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,4,6,0,0,0,13,0,0,0,0,3,3,0,0,0,6,0,0,4,3,11,5,0,0,0,25
SOS29,6,37,127,61,53,32,12,0,0,329,0,11,83,36,32,25,3,0,0,185,0,0,42,36,19,18,9,0,0,123,0,0,34,23,21,13,0,0,0,88,0,0,52,36,21,16,4,0,0,129,0,0,15,23,14,21,5,0,0,76,64,163,358,249,183,140,91,26,12,1283,357,898,1848,1295,975,816,482,121,38,6825
