SOS_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SOS20,36108,128223,268233,219060,150857,111905,66756,26335,8918,1016400,5875,10647,21208,24916,45260,30805,15324,6052,1873,161957,5512,10140,24115,26951,39256,34609,24884,12337,3809,181608,2024,2696,6605,7424,11454,13169,13110,7754,2718,66954,927,1466,4323,4977,6848,10397,18772,19240,8601,75551,213,952,2577,2657,3112,3218,3193,3175,1243,20334,6332,10776,25653,19696,17755,15480,14057,11471,6063,127297,56993,164897,352718,305684,274542,219588,156095,86369,33222,1650109,39367,135545,300156,247270,175157,116397,59141,24264,9920,1107216,3948,6917,14287,18237,43720,34445,19748,8673,3166,153141,3563,6056,15042,17524,33204,37438,32812,16388,7351,169375,1339,1734,3983,5390,9865,14493,15445,9783,5115,67146,599,1005,3492,4834,7334,13887,27054,27007,16198,101400,136,589,2310,2779,3877,4779,4785,6007,2672,27935,6172,10055,24506,18178,17035,16041,16397,15226,12091,135699,55128,161896,363772,314223,290190,237473,175388,107342,56506,1761917,75480,263767,568386,466335,326018,228305,125901,50598,18832,2123620,9825,17563,35495,43155,88976,65246,35069,14728,5040,315093,9074,16188,39159,44469,72457,72049,57703,28724,11158,350986,3361,4432,10589,12819,21315,27663,28555,17536,7827,134102
SOS21,5679,17568,33083,30397,19710,19073,13804,5803,1887,147020,2400,4577,8069,9217,15073,12719,6344,2266,606,61267,2583,4603,10037,10727,15923,15549,12759,5332,1333,78843,916,1287,2891,3136,5028,6410,7506,4038,1173,32389,369,522,1282,1325,1918,3375,6852,6765,3312,25713,41,108,366,388,508,404,344,269,96,2527,1948,2474,4927,4744,5566,5969,6243,4925,2403,39202,13940,31132,60659,59939,63722,63508,53848,29405,10816,386964,6458,20663,44819,41687,28233,22332,12910,5921,2528,185552,1668,3105,6007,7763,16477,15154,8488,3503,1130,63293,1772,3157,6862,7625,13617,16058,15346,7267,2652,74351,634,827,1654,1994,4200,6897,7812,4735,2154,30906,249,325,829,934,1476,3318,7411,7755,6243,28549,35,86,281,369,418,339,336,322,172,2362,1956,2208,4625,4534,5301,6203,7150,6863,4671,43506,12770,30373,65069,64917,69712,70306,59463,36372,19546,428516,12143,38227,77897,72090,47942,41405,26715,11723,4419,332570,4068,7681,14075,16978,31542,27870,14833,5773,1736,124555,4354,7761,16893,18354,29542,31610,28101,12603,3984,153193,1545,2120,4546,5132,9221,13310,15319,8774,3328,63293
SOS22,431,1077,2032,2419,1831,2184,1845,629,159,12616,209,343,674,861,1666,1537,776,219,49,6336,225,329,863,1069,1873,2116,1572,579,103,8749,84,96,242,348,620,878,1022,419,103,3813,32,34,101,94,213,452,890,708,311,2840,3,7,12,12,11,19,18,11,8,107,193,179,394,470,643,848,876,489,240,4326,1183,2054,4322,5272,6865,8041,6999,3067,972,38791,450,1249,3020,3522,2809,2660,1637,601,217,16167,143,220,478,739,1744,1661,940,327,80,6337,119,206,487,697,1404,1770,1579,609,182,7057,59,54,135,199,437,823,807,378,140,3025,16,16,45,65,136,273,675,634,480,2343,0,3,5,9,17,11,17,22,5,98,175,150,386,503,610,788,822,586,375,4399,960,1904,4553,5731,7161,7990,6483,3162,1475,39425,879,2327,5056,5936,4640,4847,3482,1236,379,28775,345,563,1152,1603,3407,3203,1723,551,130,12674,345,537,1352,1767,3282,3889,3145,1191,286,15804,148,146,378,548,1055,1696,1829,801,242,6842
SOS23,2380,5614,8266,10518,9388,11100,7611,2138,440,57454,1081,1642,2461,3914,7999,7088,3317,832,151,28491,1055,1567,3216,4617,8637,8764,6079,1889,303,36127,340,342,957,1412,2825,3519,3595,1414,267,14673,109,132,367,436,785,1536,3467,2409,829,10076,13,15,55,63,78,61,134,120,39,582,981,1019,2567,2931,3545,3619,3191,1602,460,19922,5960,10339,17891,23882,33262,35696,27394,10409,2499,167334,2539,6431,12212,16141,14638,13175,6638,1669,462,73906,533,763,1566,2753,7906,6992,3646,940,207,25317,489,659,1624,2428,5686,6545,5263,1727,449,24870,221,142,338,623,1589,2479,2394,983,280,9053,65,62,138,193,425,1067,2300,1680,843,6781,17,10,44,37,51,67,88,122,42,474,862,709,1400,1913,2852,3040,2608,1333,478,15190,4724,8779,17326,24088,33136,33373,22934,8461,2765,155581,4915,12048,20484,26659,24023,24276,14253,3810,899,131365,1611,2411,4029,6662,15903,14086,6967,1774,366,53808,1542,2223,4840,7045,14321,15311,11337,3616,756,60995,565,482,1295,2030,4410,6006,5985,2402,546,23729
SOS27,0,0,3,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0
SOS29,38,209,486,253,154,114,75,19,4,1343,15,50,81,54,62,72,28,9,0,367,22,42,88,77,94,73,49,11,0,462,4,19,46,50,45,38,34,9,0,250,6,6,37,22,18,21,27,13,0,152,4,0,9,5,6,6,9,0,0,42,42,116,305,346,247,139,66,19,3,1277,138,443,1051,813,628,460,283,72,9,3895,63,284,491,213,111,119,57,4,3,1345,4,30,32,37,52,56,22,5,0,236,18,27,37,49,48,58,35,7,6,290,14,8,19,18,19,24,25,3,0,130,7,11,9,5,12,11,14,0,7,79,7,3,10,3,6,6,4,3,0,42,35,101,191,149,90,84,45,17,7,716,140,453,788,479,344,352,204,49,28,2840,100,488,982,466,259,234,129,29,6,2689,17,78,119,89,120,125,48,13,0,610,44,67,127,129,143,130,90,17,4,751,20,24,63,71,65,59,65,8,0,388
