SOS_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS20,174,2280,65,28136,1068,187,111,556,194,774,83,468,174,2517,18500,24631,546,110,244,301,98,244,32,207,159,3381,2322,7649,97298,16064,2711,49718,5126,41495,2242,26330,3823,120953,22821,388587
SOS21,47,381,12,2920,230,60,36,158,34,268,23,174,50,1072,4624,6736,149,49,70,135,23,79,12,67,51,1380,906,2917,18505,4608,899,14707,1418,9442,855,8092,1368,42576,6366,108821
SOS22,4,46,0,254,14,8,3,14,3,30,3,26,12,113,571,785,25,4,4,17,3,8,0,11,4,173,97,356,1619,554,113,1500,165,1037,99,998,167,4793,765,11824
SOS23,15,252,19,2333,132,45,19,104,18,153,10,84,33,364,2472,3439,150,38,71,91,19,57,13,42,28,457,298,1277,9582,3241,731,8072,805,4705,519,3855,761,14997,3207,50481
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
