SOS_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SOS20,36641,33910,70548,117477,109023,226503,36691,35890,72583,19840,20569,40410,174011,165482,339492,74007,69335,143346,30295,31756,62050,28882,29691,58576,133188,130789,263971,10744,9839,20578,7281,10354,17628,10013,4734,14746,11067,14293,25357,368,302,672,39474,39513,78983,78687,89369,168053,27167,30171,57344,6322,7901,14229,18131,28267,46393,471,631,1100,130784,156340,287119,8460,10141,18599,10415,19245,29657,278,405,685,19145,29788,48936,137152,141494,278645,670394,697314,1367702
SOS21,8920,8227,17148,30052,27956,58010,10834,10895,21731,3611,3501,7112,44505,42356,86857,19756,18746,38507,8988,8974,17962,4482,4488,8970,33227,32210,65437,1656,1910,3566,762,1691,2457,3041,1910,4950,2444,3965,6406,89,86,166,7991,9560,17551,4810,7512,12321,1664,3215,4880,683,1260,1945,2522,5650,8180,45,75,128,9733,17721,27450,1113,1271,2379,1636,3330,4959,69,81,145,2809,4672,7489,40948,43792,84737,148142,158532,306674
SOS22,782,668,1455,3338,3030,6366,480,425,907,279,295,573,4094,3755,7847,1906,1973,3885,537,633,1167,373,358,734,2824,2967,5786,103,110,214,39,102,143,242,127,377,186,324,507,12,10,19,581,676,1256,208,371,585,79,191,270,37,77,121,175,471,652,0,7,7,512,1118,1628,85,92,172,112,270,381,8,10,17,196,371,570,4504,4466,8975,13496,14023,27523
SOS23,3010,2758,5772,11918,10932,22852,3844,3699,7542,1953,1974,3931,17712,16611,34322,7809,7521,15336,3813,3993,7809,2754,2909,5665,14373,14430,28807,504,526,1033,149,348,501,1467,635,2098,693,1367,2059,31,32,58,2849,2903,5753,1542,2548,4089,320,788,1103,240,432,679,662,1896,2562,8,34,45,2778,5704,8480,368,382,748,471,1115,1585,30,27,54,863,1525,2388,21553,17244,38796,63143,61172,124322
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6
SOS29,27,25,49,63,82,139,9,10,17,7,8,23,76,101,179,49,53,102,5,3,4,20,8,30,67,66,137,16,25,43,11,22,35,7,4,13,13,27,38,0,3,4,55,82,139,78,125,206,43,45,90,6,15,23,12,29,43,3,0,4,147,220,366,18,26,49,36,30,66,0,0,0,58,63,114,1310,734,2042,1743,1279,3025
