SOS_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
SOS20,2135,34697,32759,21153,14394,8362,2624,620,116744,524,6321,8163,7480,6550,3200,777,171,33190,26396,95485,72754,48462,34092,18778,6960,2273,305212,12400,36595,31521,26646,20065,13700,5667,1940,148539,27725,62508,54957,58444,45093,29644,16841,5371,300589,2786,2450,1937,1534,971,565,199,42,10490,1898,3724,4026,4195,3876,2737,1320,472,22250,32412,68682,60921,64178,49945,32946,18356,5892,333330,1181,2920,2632,2109,1824,1486,925,351,13430,21263,27934,21962,19695,16906,15190,11872,6291,141113,96313,272637,230718,189727,143774,93670,47173,17542,1091556,3111,43878,32788,18670,11314,5050,1148,292,116245,1486,13750,15132,13466,10228,4378,1122,236,59793,36027,121857,90666,55900,35180,17791,6691,2184,366313,16189,42953,41623,37583,26381,14979,6399,2377,188485,19306,35058,29773,29588,18824,8226,2799,1177,144752,3202,3274,3517,3373,2515,1363,342,120,17711,2568,4852,6262,7526,6161,4344,1860,999,34580,25080,43186,39549,40493,27503,13941,5006,2293,197046,1178,2848,2483,2421,2393,2265,1253,620,15460,20294,26418,20201,19733,19458,20156,17683,13014,156963,103371,294888,242433,188263,132457,78561,39305,21015,1100304,5247,78579
SOS21,97,1342,1911,1761,1601,1157,373,72,8323,64,691,1123,1239,1401,867,193,31,5611,1653,7237,7435,5256,5185,3507,1179,354,31813,1211,4494,5215,5268,5380,4182,1699,450,27885,10073,22107,18831,19568,17562,12768,6167,1804,108883,1030,797,608,425,380,232,59,15,3546,479,867,975,991,1092,1006,420,156,5987,11584,23772,20418,20984,19038,14006,6652,1979,118424,145,337,340,345,382,430,299,107,2392,6070,5429,5243,6024,6501,6813,5248,2565,43900,20829,43305,41685,40881,39480,30966,15652,5552,238337,280,2227,2460,1860,1619,808,160,29,9457,242,2177,2777,2644,2380,1167,264,45,11707,3249,13989,12693,8275,7315,4489,1752,543,52307,2834,8238,8630,8786,7746,5035,2103,749,44122,7582,13408,11021,10585,7777,3368,905,333,54991,1430,1549,1305,1200,1035,573,111,51,7266,836,1467,1710,1759,1851,1303,473,212,9619,9855,16426,14034,13551,10674,5246,1488,592,71868,155,382,345,421,491,592,345,201,2929,5700,5029,5013,5949,7351,8825,7901,5082,50851,22320,48472,45946,41497,37577,26160,14016,7248,243239,377,3571
SOS22,6,63,96,115,176,171,50,7,684,10,45,94,110,153,118,10,3,541,67,364,499,434,539,430,106,27,2463,82,256,416,471,592,501,165,46,2526,740,1858,1887,2400,2396,1638,702,145,11775,75,57,48,54,50,43,5,0,329,32,67,71,109,141,143,41,7,606,855,1986,2004,2558,2589,1819,752,154,12710,19,16,32,44,48,50,20,5,230,560,421,514,718,905,953,515,258,4846,1593,3148,3649,4454,5004,4041,1623,497,24006,14,104,187,170,228,106,28,4,828,30,167,238,243,262,123,33,6,1095,187,877,1018,851,866,559,170,42,4566,184,587,787,875,939,616,222,70,4279,508,1013,995,1157,863,383,82,33,5032,111,134,131,148,147,57,12,4,734,58,113,156,208,221,179,43,11,990,677,1266,1279,1512,1223,614,135,46,6759,9,18,35,39,65,71,27,18,287,541,406,543,725,934,1022,683,419,5264,1634,3426,4090,4407,4524,3107,1291,604,23085,17,162
SOS23,29,253,502,704,879,708,223,32,3332,12,150,320,505,697,395,74,12,2168,484,1695,2475,2587,3041,2064,509,98,12940,461,1285,1990,2665,2947,2263,565,110,12284,3846,6692,8413,11585,10116,5951,1997,384,48998,307,204,193,193,223,116,22,5,1261,135,246,360,498,562,467,134,22,2421,4282,7144,8974,12279,10897,6533,2152,416,52678,51,68,122,176,217,211,85,14,948,3000,2745,3151,3865,3977,3583,1727,485,22535,8322,13344,17535,22774,22664,15765,5333,1158,106892,74,564,909,1029,1034,500,79,7,4189,68,633,1028,1253,1384,578,85,5,5034,954,3756,5240,4601,4423,2249,520,115,21858,900,2395,3434,4520,4094,2399,599,144,18487,2071,3433,3652,4446,3224,1220,205,80,18325,426,424,505,573,483,187,25,14,2635,284,398,643,849,865,549,116,32,3737,2778,4255,4800,5862,4568,1954,353,128,24699,44,80,135,193,257,276,74,31,1083,2507,1538,2127,3178,3759,3364,1646,569,18695,7326,13213,17672,20637,19520,11318,3356,1002,94049,101,820
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,5,63,27,14,17,4,0,0,133,0,10,14,5,4,0,0,0,30,33,162,60,39,31,18,3,0,344,24,61,36,30,30,13,9,0,190,52,141,110,90,81,45,11,0,540,10,6,5,3,0,0,0,0,25,7,11,12,7,3,6,0,0,45,71,157,128,105,85,56,13,0,602,0,3,6,3,0,3,0,0,20,167,320,352,254,151,75,19,3,1335,297,769,620,444,313,166,39,3,2654,9,51,30,9,3,9,0,0,106,0,26,4,12,11,3,0,0,60,91,204,63,40,39,21,3,0,449,42,61,40,33,23,15,0,0,219,55,70,44,36,30,7,0,0,242,12,8,6,3,3,0,0,0,36,3,16,10,6,12,3,0,0,52,70,100,59,44,41,12,3,0,327,3,5,5,0,0,3,0,0,16,142,200,148,89,85,45,16,10,742,348,640,356,230,211,95,23,16,1920,11,115
