SOS_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS20,276235,172235,86479,38556,2191855
SOS21,77055,57125,29665,12795,481574
SOS22,9527,7146,2914,1103,47086
SOS23,42184,27084,8692,2163,200936
SOS27,10,0,0,0,25
SOS29,526,263,61,19,4580
