SOS_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SOS20,5225,116072,10521,131821,7709,145349,12568,165623,19953,304856,28355,353161,27072,257304,21643,306022,34471,221492,18879,274841,32026,172493,15303,219820,19164,123412,13690,156263,9858,65561,11051,86471,2985,24747,5524,33259,158468,1431291,137533,1727287,6064,112289,9717,128075,9710,141361,11369,162436,30380,307288,26550,364222,43592,251545,19537,314671,56689,216172,17771,290627,53099,168905,15815,237818,28931,130797,15920,175652,11760,80941,14764,107472,2288,44048,10252,56588,242526,1453343,141690,1837560,11292,228366,20244,259900,17422,286706,23932,328057,50329,612146,54904,717381,70670,508852,41176,620699,91166,437661,36646,565475,85126,341400,31124,457642,48092,254217,29608,331909,21626,146502,25813,193940,5272,68794,15774,89845,400988,2884638,279223,3564851
SOS21,1394,27802,3643,32838,1638,26836,2761,31234,4303,51186,5220,60709,6142,48887,4940,59972,7915,50319,5520,63752,8931,48889,5705,63525,6103,41523,6250,53877,3093,21235,5101,29427,870,7595,2354,10823,40389,324269,41499,406154,1649,25811,3362,30827,2275,25728,2448,30455,7551,52705,4867,65121,10654,49623,4672,64952,14058,50543,5152,69755,15639,48832,5871,70339,8947,43480,7068,59492,3521,25875,7015,36406,698,14575,4292,19567,64981,337179,44750,446912,3038,53619,7007,63665,3908,52564,5213,61683,11852,103890,10084,125830,16793,98511,9612,124918,21973,100854,10677,133503,24567,97725,11574,133862,15046,85007,13311,113365,6612,47112,12115,65842,1574,22169,6648,30387,105369,661449,86246,853064
SOS22,139,2279,402,2826,102,1762,199,2060,308,3621,395,4325,542,4270,463,5280,853,5326,686,6869,1086,6170,787,8048,766,5336,903,6999,294,2246,531,3069,61,680,236,972,4153,31687,4602,40448,164,2039,352,2552,140,1610,162,1913,604,3563,396,4555,933,4300,501,5736,1470,5086,605,7166,1748,5527,719,7991,971,4671,846,6484,315,2234,612,3165,60,1084,337,1475,6410,30116,4524,41044,304,4321,757,5379,247,3370,358,3976,915,7180,793,8880,1480,8577,959,11016,2331,10411,1292,14036,2831,11698,1507,16033,1737,10006,1748,13490,607,4482,1144,6229,117,1763,568,2449,10557,61803,9132,81486
SOS23,550,11595,2040,14188,495,8728,1147,10371,1211,14055,2645,17911,2279,18567,3048,23893,3970,25744,3559,33275,4958,27140,3610,35706,2872,21195,3334,27407,967,7694,1742,10409,218,1766,512,2499,17522,136485,21640,175653,584,10518,1757,12860,663,7359,792,8809,1940,13934,1462,17334,3810,18328,1962,24097,6558,23802,2795,33153,7659,22720,3001,33382,3641,16594,2708,22945,911,6067,1489,8465,157,2063,543,2766,25919,121389,16506,163808,1132,22113,3796,27043,1157,16079,1937,19177,3145,27990,4106,35251,6089,36897,5006,47992,10527,49543,6352,66424,12614,49863,6613,69088,6516,37792,6044,50347,1883,13756,3232,18869,373,3836,1057,5266,43437,257869,38145,339459
SOS27,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
SOS29,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
