SOS_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SOS20,247,1038,63,81,148,1186,1528,940,3658,49769,37423,4210,91402,4175,4367,8542,99942,68543,1853,170340
SOS21,84,308,32,37,62,369,610,317,1300,12047,12772,1386,26214,1438,1552,2986,29199,19868,613,49687
SOS22,5,23,8,0,11,34,58,28,117,801,1005,107,1916,106,94,207,2114,1570,58,3744
SOS23,33,88,4,4,10,97,125,62,278,2898,2658,369,5918,234,264,501,6416,4256,164,10830
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
