SOS_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS20,7870,2249,24571,10755,7900,7308,3431,5926,685,70696,173,179,213,229,203,193,196,417,73,1880,3935,6146,2202,2828,3874,1955,1486,1459,768,24655,3025,3569,4901,3280,3370,2951,2810,3751,5261,32920,205996,482220,192132,147138,176743,92031,50545,69563,21864,1438235
SOS21,1890,478,6940,2814,1911,2210,881,2242,187,19549,26,46,33,31,29,39,42,114,17,381,521,754,433,559,504,228,327,339,130,3803,902,682,1587,1140,824,976,967,1674,1155,9906,32701,71722,53693,39751,29957,17015,13146,20508,4166,282664
SOS22,201,27,624,247,157,165,63,210,17,1704,3,0,0,3,5,0,0,13,0,26,49,62,42,55,40,14,20,30,12,325,134,91,201,119,105,112,129,206,117,1211,3347,5664,5374,3503,2489,1401,1393,2234,390,25779
SOS23,1018,136,1829,758,756,580,273,767,67,6181,32,18,10,9,16,15,11,20,9,140,407,311,217,221,192,83,145,125,53,1762,1270,367,906,447,425,438,504,770,466,5601,27625,27359,22204,12778,12110,5499,6140,9206,1963,124885
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
SOS29,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
