SOS_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
SOS20,3771,7926,7536,6996,5932,4081,1487,515,38242,5367,25699,24306,10667,4872,1337,167,27,72446,14128,49592,47703,50474,42387,29905,15469,5336,254994,9972,26552,19409,17098,12128,7750,4649,1342,98898,1343,4319,4034,3333,2138,1188,524,178,17048,2929,12520,10287,8576,6635,3703,1756,668,47083,1130,6534,6292,6242,7489,5390,2315,614,35998,15952,57410,49088,36694,24481,13622,4861,1571,203682,7981,20495,17519,14971,12195,7594,2609,720,84086,6351,15359,9560,5336,3361,1797,664,218,42639,3994,13254,8237,5902,3382,1890,963,272,37897,771,461,282,275,304,290,279,78,2747,1211,3716,3786,3267,2292,1341,625,286,16522,21404,28816,22676,19896,16197,13779,10802,5703,139275,96313,272637,230718,189727,143774,93670,47173,17542,1091556,5068,11987,10387,6965,3976,1745,614,217,40961,1256,9221,8022,4024,1935,538,66,18,25080,1950,8002,6381,4593,3009,2081,1898,811,28728,1569,5154,3364,2236,1055,400,125,51,13943,1058,2509,2258,1477,831,266,114,40,8556,10393,41436,30748,26315,21205,11879,6056,2198,150231,4954,23937,22860,23012,22433,14428,5578,1669,118865,21066,74516
SOS21,244,652,849,771,777,714,220,57,4284,582,1782,1504,834,576,246,36,3,5562,3925,11024,10856,12568,12141,10094,4659,1468,66740,3283,7461,5283,4748,4504,2986,1649,470,30394,613,1955,2104,1853,1366,920,490,161,9461,539,1938,1851,1891,1941,1009,420,129,9714,350,1677,1916,1829,2747,2519,959,221,12224,1568,4610,5364,4709,4285,2725,920,270,24450,1381,2403,2576,2500,2351,1616,607,118,13561,811,1204,1045,639,654,486,153,46,5038,1089,2439,2111,1746,1260,849,384,112,9990,103,73,46,67,71,94,78,37,576,148,510,762,665,592,404,211,107,3400,6176,5573,5415,6064,6214,6299,4861,2342,42942,20829,43305,41685,40881,39480,30966,15652,5552,238337,374,990,1160,742,557,246,80,48,4202,91,353,470,343,288,121,16,4,1686,248,660,766,685,513,420,344,177,3823,151,426,388,290,146,78,21,8,1504,358,881,941,583,324,165,64,17,3324,2565,8481,7040,7585,7814,5016,2453,892,41844,1349,5808,5962,5417,6181,4551,1797,578,31633,3136,9553
SOS22,16,35,64,67,101,109,19,7,426,30,82,68,58,62,37,3,0,347,301,980,1079,1458,1604,1255,555,107,7346,238,577,521,601,616,421,197,51,3225,73,232,308,286,229,132,60,11,1336,25,87,110,129,188,100,33,14,692,21,119,163,181,327,274,68,10,1174,72,212,314,344,399,304,74,24,1746,87,120,180,231,290,249,59,4,1221,43,68,84,70,77,74,12,3,438,70,167,177,195,151,115,33,9,907,5,0,3,4,7,6,7,6,48,19,38,49,78,69,60,17,9,340,593,430,521,745,877,887,484,227,4768,1593,3148,3649,4454,5004,4041,1623,497,24006,24,54,116,79,59,32,16,4,373,0,23,25,36,41,16,3,0,155,16,48,74,91,66,44,29,11,386,10,25,42,32,24,13,9,0,153,51,128,143,117,65,23,4,3,542,146,515,593,759,925,538,218,73,3774,111,404,497,551,677,538,184,50,3020,183,651
SOS23,85,189,313,417,550,459,129,24,2165,134,273,380,326,237,115,7,0,1482,1712,3545,4832,7193,6912,4814,1509,325,30836,1179,2157,2257,2688,2551,1504,521,106,12967,721,1480,2212,2712,2115,1096,343,64,10744,106,302,483,701,947,520,169,32,3261,74,322,505,713,1304,1068,263,45,4286,378,939,1497,1896,1859,1260,302,52,8175,332,479,661,898,1101,827,214,46,4558,227,298,285,290,331,250,57,7,1744,207,409,566,648,563,316,100,18,2827,18,19,8,27,25,47,30,13,184,56,160,269,316,313,215,65,9,1409,3093,2778,3260,3948,3846,3273,1616,429,22255,8322,13344,17535,22774,22664,15765,5333,1158,106892,112,299,633,443,422,183,27,12,2129,8,81,158,173,145,68,4,0,634,72,209,349,397,267,179,80,31,1593,44,116,173,170,92,47,8,0,648,445,803,1003,852,515,196,48,18,3882,779,2269,2956,4002,4125,2164,624,131,17061,361,1463,2019,2556,3493,2278,507,99,12785,818,2505
SOS27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,4,3,5,10,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS29,3,21,8,12,4,7,3,0,58,9,28,11,6,3,3,0,0,58,28,111,54,54,48,38,10,0,348,20,59,38,29,21,9,4,0,175,0,19,13,7,9,3,0,0,50,5,31,18,7,7,0,0,0,70,4,11,9,7,19,6,0,0,53,28,80,49,30,18,13,3,0,223,12,41,22,18,24,9,0,0,128,4,28,20,13,3,0,0,0,63,12,19,20,18,9,0,0,0,73,0,0,0,0,0,0,0,0,3,3,6,10,6,3,0,0,0,35,177,314,350,244,145,70,16,3,1329,297,769,620,444,313,166,39,3,2654,15,23,11,0,7,4,0,0,60,3,6,4,3,0,0,0,0,23,8,15,11,3,0,0,0,0,43,6,6,3,4,0,0,0,0,21,9,12,3,3,0,0,0,0,27,28,57,21,25,29,10,0,0,176,11,28,21,16,17,14,0,0,107,54,96
