SA4_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
201,8,38,3,499,31,3,7,25,3,35,9,21,13,142,729,1013,17,5,12,17,3,17,4,12,3,202,109,393,2793,805,155,2344,225,1545,141,1291,209,6112,945,16578
202,11,65,4,527,33,13,9,29,5,39,5,25,8,135,720,1023,24,7,4,22,4,9,4,16,4,173,108,378,2722,829,155,2370,229,1406,139,1291,216,5986,941,16291
203,6,157,0,1184,69,9,3,37,14,68,11,39,10,270,1287,1810,26,5,10,31,7,23,0,29,3,332,188,663,5103,1343,212,3928,340,2412,235,2273,280,10885,1641,28647
204,0,77,0,548,28,15,6,35,11,51,0,26,14,191,1023,1404,48,8,12,30,3,20,3,15,19,232,136,526,3493,1078,216,2932,275,1698,180,1556,276,7077,1294,20082
205,16,109,3,955,54,26,7,46,13,86,3,55,18,299,1535,2147,67,15,26,44,9,33,5,29,17,401,259,905,4561,1580,318,4234,424,2714,282,2579,486,12960,2070,32201
206,45,581,16,10355,260,38,18,92,38,84,8,51,14,180,4249,5026,91,16,30,30,13,39,3,23,9,200,207,654,24753,3187,482,9429,994,6932,356,3629,468,10597,4614,65437
207,35,491,15,3624,58,22,12,32,9,59,7,40,7,238,1686,2165,45,17,10,21,9,8,0,20,8,277,152,571,6596,1532,161,3515,335,3242,178,2779,325,12225,2004,32890
208,21,457,8,4260,86,23,7,60,11,60,7,43,9,212,1919,2443,56,20,24,36,11,31,4,24,13,308,183,699,9515,1802,246,4829,480,3829,227,2923,327,11134,2250,37562
209,8,135,3,1887,126,11,16,65,18,111,17,52,20,301,1756,2490,63,9,25,43,7,34,4,27,15,409,257,890,9661,1687,306,5586,568,4477,268,2786,393,14399,2259,42396
210,9,70,9,1010,76,12,8,51,11,70,11,36,20,229,1121,1648,45,11,16,26,9,25,4,17,18,336,250,771,6409,933,220,3440,403,3116,182,1867,335,10301,1582,28791
211,22,159,4,2000,109,20,15,57,31,109,13,66,29,321,1959,2722,76,17,41,46,14,34,4,20,17,434,271,982,10505,1964,327,6504,649,4769,287,3480,511,15760,2460,47214
212,13,180,3,1897,159,26,21,88,23,142,6,79,35,432,2523,3540,83,9,50,46,24,35,5,35,41,585,423,1338,12748,2209,423,7327,731,6938,338,4125,690,21521,3334,60379
213,17,63,6,2403,153,30,17,87,42,156,13,101,32,357,2420,3396,90,13,49,55,14,35,7,29,28,521,430,1262,14500,1991,445,7127,851,7223,319,3322,625,16428,3195,56019
214,21,220,7,1309,79,12,6,49,15,59,8,40,10,286,1362,1924,37,9,27,28,10,27,3,24,16,404,218,810,5408,1328,245,3700,358,2660,216,2277,356,11668,1777,30004
215,6,47,4,403,57,10,3,27,4,43,6,38,10,180,757,1131,40,10,24,30,5,8,0,14,9,229,193,557,3180,786,186,2566,227,1400,151,1104,247,6220,1117,17184
216,5,49,4,344,25,10,10,27,6,42,4,21,11,139,586,873,31,4,15,22,0,15,0,6,5,189,129,426,2518,641,163,1987,190,1183,114,951,193,5381,873,14184
217,3,55,6,440,42,17,6,35,3,19,4,20,10,139,545,832,34,8,16,21,4,10,3,11,8,158,122,383,2537,765,178,2193,227,1151,122,1035,176,4669,801,13861
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
