SA4_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
201,41436,4080,884,486,218,47099,8741,1526,436,165,76,10936,1317,220,83,30,53,1708,51496,5826,1398,675,346,59743
202,42690,2325,452,229,219,45923,8332,1200,240,129,58,9962,1326,192,47,26,42,1632,52347,3714,747,386,318,57513
203,74295,7284,1786,435,264,84060,12480,2538,724,168,52,15959,2072,352,129,28,33,2613,88852,10170,2637,627,346,102631
204,46187,2091,912,323,329,49846,10107,1222,669,177,58,12232,1606,194,111,80,25,2021,57905,3507,1690,583,414,64101
205,75007,2527,1931,528,372,80371,16439,1749,1280,389,83,19937,2564,240,179,62,139,3178,94012,4514,3392,977,591,103488
206,45539,50884,116548,1143,950,215064,6636,4568,13746,104,95,25147,1237,1281,3933,95,145,6696,53415,56731,134225,1344,1192,246911
207,71267,23858,17446,220,291,113079,7461,2790,2103,15,34,12401,1542,562,630,8,110,2847,80264,27211,20184,238,437,128334
208,73017,32235,24336,697,440,130717,7547,4095,3878,120,79,15718,1545,819,832,21,73,3297,82105,37154,29050,838,590,149732
209,114493,20320,6777,265,298,142151,16862,3886,1429,44,57,22270,3182,723,272,8,64,4248,134536,24922,8478,319,413,168667
210,79814,14712,2849,360,209,97946,13408,2765,863,178,49,17263,2568,588,155,40,56,3407,95786,18066,3865,582,318,118615
211,136434,14038,2408,394,336,153606,13809,3231,668,174,63,17948,2937,575,140,28,67,3745,153179,17851,3209,592,460,175298
212,171214,23928,11226,505,399,207266,21293,4810,2449,313,72,28927,5054,1110,495,63,100,6824,197558,29842,14170,877,565,243018
213,155398,31707,10739,448,365,198663,22336,5459,2809,196,84,30884,5085,1141,525,51,87,6887,182821,38303,14072,694,535,236425
214,75954,10576,2776,496,164,89956,9834,3213,1069,363,42,14516,2189,534,201,52,29,3006,87968,14326,4048,907,229,107477
215,37906,1594,1224,326,280,41324,11065,1096,1143,226,69,13605,1562,143,178,41,46,1977,50538,2838,2542,593,392,56900
216,32942,1930,487,269,140,35773,7941,1146,543,223,55,9915,1292,197,75,42,21,1635,42184,3275,1110,529,222,47321
217,32538,1584,621,225,240,35205,8291,969,491,93,52,9898,1153,121,116,13,32,1440,41981,2666,1231,332,326,46541
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
