SA4_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
201,916,32,10,15,3,978,717,34,3,10,3,761,649,35,5,10,0,698,1219,64,9,21,5,1322,1832,91,3,14,14,1950,4514,252,20,34,25,4847,3799,168,16,22,18,4019,2919,89,7,29,15,3060,957,23,0,6,0,990,592,23,0,10,0,628,362,7,0,3,0,376,887,27,0,8,9,937,19370,848,84,177,90,20562
202,1061,19,4,8,10,1109,718,12,5,7,10,754,619,10,3,3,0,645,1166,26,9,0,3,1207,1583,34,3,6,7,1645,4384,95,26,7,18,4535,4103,53,10,4,13,4186,3201,38,4,7,13,3264,996,3,0,0,7,1012,689,9,0,4,4,705,369,7,0,4,3,376,892,9,0,4,4,908,19793,322,74,61,95,20349
203,1633,85,14,0,0,1733,897,53,11,3,3,968,791,55,9,0,3,854,1500,94,24,4,0,1623,2091,159,38,4,0,2293,6055,369,88,17,16,6547,6780,316,52,15,9,7171,7176,242,41,28,14,7506,2616,86,11,5,4,2725,1899,51,10,3,6,1969,1001,34,3,3,3,1043,1529,75,20,7,3,1630,33958,1617,328,97,72,36068
204,1019,15,3,3,6,1049,699,8,3,3,0,710,631,12,17,3,3,664,1271,29,17,3,4,1325,1837,48,25,9,11,1929,4872,90,30,14,20,5027,4129,41,15,3,15,4204,3024,9,8,11,22,3080,995,6,3,3,10,1012,677,10,0,3,15,698,374,0,3,0,4,388,1028,14,6,7,7,1063,20556,283,124,64,125,21156
205,1791,26,26,7,11,1862,1247,25,18,3,5,1306,1163,26,14,6,3,1214,2384,30,24,8,4,2456,3238,48,35,3,10,3335,7650,95,45,12,15,7824,6069,30,27,6,25,6151,4764,26,11,19,20,4831,1500,3,4,3,6,1517,1045,4,6,0,9,1067,652,10,0,3,3,669,1598,20,8,11,12,1649,33112,346,203,90,120,33870
206,1210,962,1143,16,12,3341,367,270,313,4,0,954,268,245,283,3,4,802,406,299,484,4,3,1194,561,445,763,3,5,1778,1588,1233,2826,22,21,5691,1582,1426,3552,28,22,6611,2746,2506,5377,49,35,10711,1919,1908,2724,15,35,6604,2801,2596,2147,14,23,7588,3263,2886,1465,12,31,7666,942,637,697,11,9,2295,17663,15418,21772,190,186,55225
207,2265,526,182,3,8,2983,521,148,51,0,0,725,483,122,57,0,0,661,594,177,99,0,0,872,808,255,127,0,0,1195,2346,700,402,4,6,3462,2181,735,634,8,3,3552,3978,1349,853,4,14,6200,2586,867,365,10,7,3834,3988,1102,307,3,17,5417,5769,942,167,5,16,6898,1461,283,83,5,9,1838,26979,7212,3328,43,87,37638
208,2130,640,273,13,13,3065,578,217,81,0,0,874,499,187,96,3,0,783,749,302,174,0,3,1229,987,437,229,5,3,1664,2960,1150,835,12,15,4971,2942,1384,1099,24,15,5463,5274,2253,1463,30,27,9052,3474,1563,601,17,22,5675,4861,1737,457,14,27,7103,5802,1237,250,5,34,7324,1812,468,193,7,11,2483,32063,11566,5738,137,164,49672
209,2734,313,35,7,3,3094,1117,144,26,0,3,1288,967,134,27,3,0,1125,1610,220,46,3,0,1877,2328,313,66,3,0,2717,7060,1178,253,9,16,8516,9512,1654,299,9,21,11496,14379,1758,311,18,22,16491,6607,706,108,10,13,7440,5279,405,73,9,5,5770,2961,214,36,4,0,3222,2675,276,48,0,4,3002,57235,7316,1326,73,101,66053
210,1895,215,26,9,0,2141,898,82,15,7,0,1001,744,67,18,3,4,837,1291,177,36,0,4,1506,1867,252,37,4,9,2166,6139,886,160,16,16,7217,8026,1196,202,14,11,9462,9760,1391,116,16,15,11305,3948,501,30,7,9,4498,2930,399,18,3,7,3350,1662,171,9,0,3,1847,2043,213,15,8,0,2282,41208,5548,692,84,72,47605
