SA4_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
201,..,17677,17677,19339,1814,21151,7887,354,8240,7674,160,7839,3362,37,3399,1415,17,1434,39682,20067,59743
202,..,16435,16435,19003,1613,20614,7894,366,8255,7372,100,7472,3316,40,3353,1361,26,1380,38945,18570,57513
203,..,27443,27443,32973,2431,35404,14746,619,15367,15230,264,15498,6400,105,6503,2335,85,2417,71673,30955,102631
204,..,18563,18563,22715,1474,24181,8252,138,8394,7929,55,7985,3560,31,3592,1362,15,1381,43821,20273,64101
205,..,30946,30946,36585,2273,38860,13155,257,13410,12190,59,12248,5689,22,5709,2294,16,2318,69914,33568,103488
206,..,84193,84193,72226,20358,92587,27330,7933,35262,21802,2865,24674,6689,837,7529,2319,345,2664,130369,116542,246911
207,..,29635,29635,36164,3650,39810,20605,1446,22051,23423,695,24122,9193,294,9486,3036,196,3224,92410,35917,128334
208,..,39145,39145,42865,4166,47029,22827,1199,24024,26507,444,26954,9612,184,9795,2678,98,2780,104491,45239,149732
209,..,34269,34269,47468,3799,51270,29619,1214,30831,32485,553,33037,13063,206,13272,5834,150,5985,128476,40190,168667
210,..,23317,23317,32081,2225,34313,20656,543,21202,22406,232,22638,10498,119,10611,6442,97,6540,92080,26538,118615
211,..,37474,37474,52299,3379,55675,29783,620,30400,32994,205,33197,13234,53,13286,5228,34,5258,133533,41759,175298
212,..,43902,43902,64063,5181,69243,44112,1920,46030,48098,1213,49312,20689,519,21211,12891,423,13315,189847,53167,243018
213,..,45191,45191,60942,5716,66659,43891,1669,45557,46080,752,46826,19541,326,19869,12077,242,12319,182530,53894,236425
214,..,28867,28867,34664,2404,37064,15969,295,16264,16195,62,16257,6510,34,6542,2472,8,2483,75813,31668,107477
215,..,17552,17552,19426,1294,20721,7111,199,7307,6416,76,6489,3311,41,3351,1449,32,1477,37704,19192,56900
216,..,13197,13197,16023,1060,17082,6267,148,6416,6024,64,6094,3005,18,3025,1490,19,1511,32811,14509,47321
217,..,14009,14009,15984,1047,17034,5790,192,5977,5545,59,5604,2697,30,2721,1165,23,1193,31180,15359,46541
297,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
