SA4_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
201,0,0,9,22,16,19,31,21,0,3,0,0,4,4,5,149,0,0,6,0,6,28,126,177,33,36,55,71,76,104,45,780,0,5,67,89,3,10,5,3,0,0,0,0,0,0,6,192,0,7,9,11,0,3,9,14,0,0,0,0,6,0,0,55,0,3,0,3,15,21,6,8,0,10,4,3,0,3,4,90,0,217,130,74,48,25,28,19,0,3,10,4,3,3,18,587,0,19,51,30,6,3,0,0,0,0,0,0,0,0,8,116,0,0,0,5,10,12,13,11,0,0,0,0,5,0,8,62,0,10,11,43,15,21,107,428,46,57,60,43,52,36,47,972,0,9,4,3,3,10,13,19,0,3,0,6,0,0,3,69,0,0,0,0,11,10,10,20,7,11,12,0,0,0,0,70,0,0,0,0,0,0,7,15,0,0,0,3,4,0,3,42,0,13,16,55,31,26,29,21
202,0,0,8,26,22,9,38,23,3,3,0,4,11,3,10,160,0,0,0,0,9,23,67,117,20,22,16,27,24,14,32,383,0,6,18,39,0,0,3,0,0,0,0,0,0,0,7,79,0,8,3,3,0,5,15,8,3,0,9,8,3,0,6,83,0,4,0,0,3,15,13,13,3,0,0,7,0,8,3,79,0,159,106,59,34,22,25,17,3,0,9,3,0,0,21,463,0,12,30,36,8,3,0,0,0,0,0,0,0,0,6,100,0,3,7,4,10,8,13,11,4,0,6,7,5,0,15,81,0,11,10,33,10,10,98,346,29,37,45,57,60,44,53,837,0,6,4,0,10,5,20,15,3,0,0,3,3,3,8,93,0,0,0,0,0,0,3,9,0,6,12,6,3,9,0,57,0,0,0,0,0,0,16,0,0,0,0,0,3,0,6,32,0,15,39,37,7,26,33,22
203,0,0,15,45,36,34,89,63,16,13,15,11,16,15,18,390,3,3,85,9,17,84,204,422,78,83,73,135,160,140,65,1564,0,38,338,644,53,126,116,14,3,0,3,0,3,0,56,1389,0,15,25,25,4,8,20,26,0,3,3,8,0,3,12,150,0,0,0,13,4,26,13,26,5,11,11,6,7,0,0,132,3,730,328,110,87,55,67,53,13,6,5,9,10,9,65,1554,4,64,212,155,19,12,10,0,0,3,0,0,0,0,37,512,0,3,3,11,22,39,25,32,6,8,6,19,17,11,16,220,5,20,13,80,25,49,142,948,95,87,157,211,289,201,85,2409,0,15,16,11,10,31,62,39,5,8,11,28,15,4,9,254,0,0,0,3,14,35,45,63,23,84,109,46,42,8,6,470,0,0,0,0,0,4,30,13,6,20,28,5,45,52,17,232,0,23,69,137,55,87,66,93
204,0,0,12,30,28,24,35,18,3,4,9,10,3,6,3,189,0,3,4,3,3,22,60,74,18,4,14,20,60,56,93,433,0,12,76,89,11,9,4,0,0,0,0,0,0,0,6,213,0,11,6,11,0,3,4,6,0,0,0,0,0,0,0,44,0,3,3,3,5,14,18,9,3,0,0,5,0,0,7,70,0,417,302,119,58,38,43,26,9,6,3,3,0,3,39,1061,0,21,38,37,5,4,3,0,0,0,0,0,0,0,3,122,0,0,0,3,12,11,4,8,6,0,3,0,8,9,0,69,3,15,10,26,9,14,71,320,24,47,27,28,35,26,17,662,0,11,5,0,0,8,7,17,0,4,0,3,0,3,0,63,0,0,0,0,0,3,8,9,7,11,3,4,0,0,0,40,0,0,0,0,0,0,9,3,0,0,0,0,0,0,4,15,0,9,36,37,25,32,28,16
205,0,3,17,56,38,29,44,38,3,7,12,4,10,10,10,277,0,6,19,3,5,46,97,155,26,25,29,38,59,18,66,596,0,15,44,126,11,9,4,0,0,0,0,0,0,0,9,222,0,19,31,14,8,6,12,20,8,0,3,0,0,3,3,132,0,5,6,9,18,32,25,22,3,5,0,3,0,0,13,141,6,634,383,148,109,44,57,30,3,14,0,3,7,3,52,1506,3,44,110,92,12,3,3,3,0,0,0,0,0,0,18,282,0,0,4,6,20,25,17,10,0,0,0,6,0,3,22,118,4,25,30,58,22,25,106,441,41,48,49,54,62,22,35,1020,4,12,8,6,14,16,23,15,3,4,4,4,0,6,4,119,0,0,0,3,0,0,0,10,4,4,7,7,3,3,3,48,0,0,0,0,0,0,0,3,3,0,3,4,3,0,6,23,3,46,86,113,45,48,32,36
206,5,3,32,121,159,184,282,300,121,114,169,201,250,185,73,2194,5,39,71,81,302,1858,3079,4843,1470,1969,2683,3996,5310,3168,1699,30565,0,21,171,381,27,106,103,13,7,9,10,14,8,0,21,886,0,94,223,217,73,130,95,50,18,19,32,17,39,39,39,1086,0,4,12,36,73,151,88,63,13,22,11,20,14,22,14,553,28,416,249,180,187,182,367,344,97,97,127,160,196,115,95,2839,19,495,3897,2858,272,147,60,47,42,98,77,57,52,25,289,8425,8,9,37,134,319,629,548,420,119,180,216,235,251,161,141,3412,5,37,41,428,227,467,1185,2845,591,817,1060,1648,2241,1728,401,13733,6,12,14,46,103,202,900,734,240,369,388,558,721,640,97,5031,0,3,0,18,82,127,143,334,155,204,245,139,170,83,40,1750,0,0,0,14,37,52,95,52,9,7,18,13,14,10,10,326,3,41,84,169,134,293,342,789
207,3,4,32,76,90,95,122,84,21,25,23,34,28,16,14,665,7,82,198,238,629,4784,6690,7497,1563,1922,2196,2884,2940,1460,1553,34645,3,27,211,233,19,39,19,6,0,5,0,0,0,0,20,587,0,107,162,206,49,175,83,89,10,21,26,9,25,8,20,1008,3,10,18,30,106,147,92,36,4,5,6,19,14,4,13,504,20,412,244,152,114,77,132,76,15,13,23,15,30,17,35,1392,13,630,2715,1446,171,89,43,21,29,41,40,23,19,9,183,5474,9,18,94,320,943,2062,1132,523,105,142,162,164,202,80,155,6107,10,50,55,456,309,761,1344,2030,270,377,508,717,886,649,199,8620,3,20,30,64,122,252,614,245,46,45,67,83,107,87,41,1830,0,0,3,25,178,372,336,537,241,289,359,212,217,148,73,2993,0,0,0,3,8,35,45,31,17,25,49,67,36,7,11,329,3,38,96,104,65,138,96,116
208,6,5,27,126,103,117,215,178,34,45,37,36,53,29,32,1058,15,52,90,78,134,1497,2212,2908,670,811,944,1531,1831,919,613,14295,3,23,152,259,20,65,50,3,10,0,7,4,0,0,16,630,3,114,253,233,51,87,40,36,7,6,10,9,12,4,26,889,3,3,8,39,69,145,76,27,4,10,13,5,4,6,11,417,85,607,396,209,180,171,279,180,34,40,28,41,49,24,69,2404,18,332,2354,1768,191,88,53,29,29,69,71,36,32,18,168,5258,0,7,30,99,179,259,242,177,29,47,58,74,49,23,33,1317,9,60,58,623,329,770,1342,3024,420,572,726,1054,1005,732,298,11031,6,25,16,35,52,126,339,146,33,27,33,34,61,66,21,1002,0,4,0,4,50,57,56,117,48,61,63,29,38,28,9,553,0,4,0,10,9,15,24,22,7,5,0,5,0,7,3,110,6,42,107,212,121,256,260,391
209,0,9,16,61,64,91,136,87,26,19,22,17,35,16,17,606,3,16,53,38,115,1407,2610,3266,512,610,691,860,824,450,431,11881,0,14,222,760,52,153,107,14,4,3,0,0,6,6,45,1388,4,84,240,278,73,314,206,155,44,38,40,37,40,8,37,1590,0,3,8,22,104,311,208,148,40,28,21,13,25,8,20,968,7,444,262,174,127,78,197,147,26,20,4,21,22,15,49,1599,19,627,2949,2463,332,198,105,54,74,128,111,70,53,18,325,7528,4,3,19,52,142,299,194,122,20,37,31,37,44,20,18,1059,3,20,25,273,229,719,2454,6882,748,791,1087,1417,1331,970,526,17470,0,15,16,20,61,145,299,156,46,42,36,21,29,24,24,925,0,7,0,7,42,186,243,521,320,377,772,102,111,50,52,2789,0,0,0,13,26,372,970,559,137,92,234,100,139,80,54,2772,0,32,74,201,110,230,145,171
210,3,0,8,43,32,43,80,53,21,8,18,8,22,3,8,356,0,6,36,18,63,475,657,622,102,100,132,121,114,77,110,2634,3,20,325,767,70,113,62,9,3,3,3,0,3,0,58,1447,0,153,340,333,80,213,157,117,24,48,46,37,25,18,46,1639,0,5,9,30,101,372,274,226,23,37,23,30,49,10,40,1213,4,541,269,99,70,77,79,70,26,12,5,9,13,10,41,1323,4,259,1185,972,158,102,71,26,25,46,39,29,17,6,229,3171,0,0,7,10,53,123,83,39,9,5,10,15,7,11,14,381,6,16,25,446,210,533,1904,4988,513,542,720,934,775,560,408,12586,0,6,4,19,20,43,190,106,11,16,21,21,17,9,9,503,0,0,4,55,65,125,135,208,96,189,506,48,36,14,66,1548,0,0,0,24,198,1406,3428,2509,667,402,1046,586,392,459,246,11361,0,25,71,105,58,114,97,93
