SA4_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,0,0,3,19,19,3,3,0,0,52,11,67,54,253,73,72,24,3,0,550,0,3,0,21,7,13,20,12,19,85,0,8,16,57,91,127,204,100,33,624,0,12,6,20,20,15,0,0,0,79,0,15,34,96,56,40,32,10,0,296,0,0,0,4,14,28,24,19,11,101,0,12,10,76,21,10,18,3,3,151,0,0,4,42,3,0,0,0,0,52,7,14,23,69,22,12,4,0,0,155,0,0,0,3,6,3,12,4,0,34,0,0,0,10,8,3,0,0,0,22,3,29,30,91,54,83,63,8,3,369,3,12,16,62,19,16,4,0,0,130,0,3,3,15,20,23,24,17,9,120,0,0,8,21,5,12,8,3,0,65,17,88,139,374,211,213,189,155,62,1434,500,988,1213,2567,1795,1851,1748,999,464,12125,9318,19651,19526,36264,21290,21334,17469,8886,3745,157485
202,0,3,0,46,23,5,3,0,0,82,13,60,65,242,95,55,28,6,0,563,0,0,0,11,0,9,13,10,12,57,0,4,9,57,73,114,143,78,29,497,0,0,11,22,5,19,7,3,0,68,3,20,50,115,52,46,41,5,3,341,0,0,0,3,9,12,16,17,0,60,0,19,15,80,36,31,21,12,8,215,0,3,23,132,3,6,0,0,0,169,20,155,139,96,15,8,4,0,0,436,0,0,0,0,3,3,3,0,0,18,0,0,3,10,3,0,4,0,0,22,3,27,23,82,53,52,61,6,5,311,0,8,20,73,25,5,3,0,0,145,0,4,4,19,17,18,29,14,3,109,0,3,9,23,8,0,6,0,0,53,8,58,99,266,151,156,152,93,34,1017,553,1120,1161,2701,1829,1899,1647,1062,581,12554,9228,19077,18606,35316,20471,20946,16603,8878,3961,153092
203,0,4,3,49,31,22,3,3,0,125,19,103,199,483,260,167,94,14,9,1339,0,0,3,83,43,84,82,70,85,450,4,34,35,171,225,380,412,272,78,1606,0,26,47,72,58,41,28,0,0,277,8,53,72,274,156,103,73,40,14,782,0,0,0,27,92,122,137,106,24,509,3,25,63,188,46,44,33,9,8,417,4,8,14,33,12,4,4,0,0,72,12,174,133,173,50,17,6,3,0,572,0,3,9,70,106,192,164,110,21,662,0,6,10,41,43,17,23,14,0,151,21,95,72,264,121,92,101,17,6,792,3,15,73,246,109,62,20,3,3,540,0,12,5,58,57,60,74,35,12,324,0,12,9,91,21,18,6,3,0,172,58,219,345,1052,478,590,609,511,262,4120,809,1599,1873,4210,2615,2663,2350,1566,828,18510,17250,34558,34572,69627,36470,35106,28527,15504,7326,278929
204,0,0,4,30,30,15,5,0,0,87,19,71,64,275,85,91,36,5,0,642,0,0,0,19,9,15,30,20,24,112,0,0,12,53,71,150,182,84,35,593,0,3,9,27,16,6,4,0,0,71,0,15,34,92,54,43,31,14,6,293,0,0,0,0,16,28,29,22,14,107,0,18,8,64,23,18,9,6,0,155,0,3,22,80,3,5,0,0,0,116,13,16,26,77,31,10,3,3,0,170,0,0,0,4,9,5,13,0,0,36,0,0,0,12,12,3,5,0,0,27,9,28,20,88,52,68,73,16,0,361,0,4,3,30,10,0,3,0,0,52,0,3,7,12,23,28,30,4,10,115,0,4,8,17,19,13,3,0,0,59,22,92,106,357,221,258,341,254,97,1740,588,1181,1370,3040,2146,2477,2090,1180,621,14695,9463,20938,18781,36394,23366,25285,20812,10558,4590,170194
205,0,9,12,43,23,20,6,5,0,114,18,78,90,387,209,178,94,21,9,1076,0,0,0,37,21,75,66,30,44,278,3,12,19,99,147,341,541,287,88,1540,0,15,16,35,13,12,5,7,0,96,0,52,57,166,130,97,82,26,5,608,0,0,0,8,14,32,41,37,11,143,0,19,15,149,42,44,47,13,7,341,0,0,24,118,7,0,0,0,0,153,15,34,33,116,40,19,7,3,0,269,0,0,0,3,3,6,8,0,0,22,0,0,3,14,9,7,6,5,0,44,9,48,36,121,80,94,119,21,3,531,0,13,27,186,68,29,8,3,0,333,0,6,3,15,42,52,64,35,11,239,0,8,10,35,22,19,21,3,0,115,8,145,159,560,365,384,502,323,142,2594,928,2020,2183,4831,3510,3968,3749,2216,1017,24427,15228,32589,28967,57764,35918,40282,35293,18127,7251,271416
206,0,7,15,165,83,24,14,3,0,312,31,94,353,1925,309,228,116,34,12,3100,0,5,29,550,112,281,232,166,212,1577,10,32,150,1149,422,315,284,114,46,2522,45,113,1155,1565,208,137,90,18,6,3334,8,24,309,1540,309,249,163,48,24,2679,0,0,5,119,82,96,78,85,34,495,8,45,263,1152,212,193,132,47,26,2073,19,21,488,1726,85,75,33,11,0,2458,39,67,689,2067,186,66,25,3,3,3144,0,4,13,202,115,119,71,61,27,620,0,8,34,513,384,222,161,69,20,1419,141,348,618,2487,564,352,245,41,22,4822,28,184,1088,2643,1254,1259,579,296,114,7437,0,3,37,264,77,42,45,23,5,493,0,3,53,261,43,35,12,0,0,406,326,760,3442,13745,2690,1951,1811,1358,774,26866,2155,2655,7959,23809,6047,4914,3427,2135,1206,54310,27028,40368,93383,249855,66343,50874,34506,19956,9372,591679
207,3,5,12,72,64,30,6,10,0,200,15,101,139,805,217,171,99,23,9,1591,0,4,7,151,67,167,148,124,82,742,6,33,34,206,169,190,265,173,98,1164,48,272,351,704,311,323,207,81,15,2310,12,128,352,719,497,325,224,119,32,2405,0,0,3,35,62,67,47,67,23,300,16,108,467,1228,441,462,313,163,81,3269,23,71,205,1140,207,272,165,28,7,2118,19,54,145,517,111,42,21,11,0,921,0,0,6,52,71,102,93,79,23,419,0,7,21,107,106,66,31,34,10,388,66,319,269,453,286,158,112,38,12,1707,15,66,576,1451,933,834,318,117,48,4359,0,8,4,42,49,43,39,26,7,229,0,8,39,133,56,59,19,8,4,320,109,432,826,2781,1212,1069,1035,887,520,8870,603,1238,1987,4265,2220,1944,1754,1533,1019,16567,17415,41882,52879,93022,49792,40646,31487,21417,11110,359644
208,0,0,10,68,68,29,5,3,3,182,22,107,153,961,325,282,111,33,9,1996,0,13,21,405,191,440,581,328,560,2548,14,84,105,492,449,412,425,240,123,2341,43,206,163,415,148,114,77,42,4,1204,38,269,578,1878,1244,858,565,248,109,5798,0,0,7,62,86,107,82,75,27,449,8,29,122,870,392,403,318,192,79,2410,7,15,43,301,43,27,15,0,0,446,22,68,129,539,100,63,20,5,0,951,0,3,3,43,41,28,20,16,5,161,3,13,21,141,175,133,106,60,20,672,85,462,317,752,447,301,158,36,23,2585,14,34,224,773,309,240,84,30,11,1724,9,16,9,115,79,56,64,21,23,396,0,4,23,144,79,57,37,12,0,362,180,926,1027,6195,3159,2763,2702,1684,855,19497,929,1734,2044,5916,3064,2618,2185,1734,1278,21498,23346,50515,48462,109319,58600,46291,34044,20587,12538,403707
209,0,9,12,100,49,23,11,0,0,208,30,204,391,1701,650,529,263,64,23,3846,0,10,11,211,92,181,108,77,61,748,5,47,55,277,256,354,321,187,57,1563,24,108,143,403,135,106,51,19,0,994,13,122,200,610,303,164,87,33,10,1539,0,0,4,63,118,165,150,114,22,639,46,258,418,2220,739,599,362,139,36,4811,7,13,52,344,41,37,9,8,0,517,23,54,156,554,122,65,13,4,3,996,3,58,173,1192,1309,1698,1605,775,157,6961,10,14,36,309,349,215,113,63,5,1114,36,176,138,473,212,142,94,24,3,1288,50,156,799,2512,1284,1075,324,127,50,6375,0,12,17,69,68,62,41,26,17,297,3,32,88,285,97,50,14,0,0,578,356,1157,1464,5969,2335,1879,1384,831,336,15704,1696,2680,3248,8889,4153,3580,2943,2065,1072,30315,34572,61271,63033,148181,65482,54028,38246,21466,9057,495353
210,0,5,13,61,43,8,11,3,0,146,46,233,401,1554,737,578,224,58,26,3857,0,3,3,146,92,181,132,107,112,775,0,25,22,159,180,236,252,167,61,1099,17,68,103,182,95,64,31,8,3,578,3,46,62,243,132,78,46,25,6,645,0,0,10,30,85,111,110,90,29,457,56,298,349,1688,948,473,265,93,36,4204,0,4,22,125,16,19,3,0,0,186,11,56,86,409,92,32,18,0,0,707,0,4,10,146,162,154,145,55,15,695,39,124,335,2355,2422,1263,667,267,47,7507,18,89,99,228,103,70,43,16,9,677,18,58,154,1076,750,673,231,106,75,3134,0,4,4,27,34,37,26,16,7,163,0,11,43,107,25,18,4,0,0,210,232,949,1132,4497,2316,1788,1266,839,315,13331,1505,2513,2577,6859,3295,2704,2345,1533,671,24007,26454,48313,47547,106108,48264,37105,26721,16209,6650,363371
