SA4_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
201,16578,32790,248,1431,1663,7744,413,1865,8832,34934,11152,45976,802,3370,1295,4225,2830,8841,4930,16432,16082,62413,89,406,470,1724,255,911,2828,7657,3646,10697,284,886,706,1533,2320,4878,3307,7297,6945,17995,532,1097,40141,114295
202,16291,32222,284,1544,1619,7530,394,1799,8702,34370,10999,45246,681,2784,1382,4546,2691,8365,4754,15691,15748,60936,85,384,549,1934,220,765,2729,7287,3580,10378,277,843,722,1557,2251,4724,3240,7130,6826,17506,602,1245,39465,111913
203,28647,56651,434,2400,3047,14011,617,2813,17416,68051,21511,87269,1672,6893,2777,9365,5404,16811,9852,33063,31365,120331,155,699,872,3111,356,1244,4411,11773,5796,16821,536,1711,1338,2929,4098,8697,5970,13331,11767,30153,977,2027,72747,209162
204,20082,39518,278,1516,1758,8114,431,1930,9257,36589,11733,48149,724,2943,1379,4449,3026,9292,5132,16681,16859,64832,78,360,532,1889,237,818,2931,7893,3779,10958,250,767,706,1486,2201,4586,3153,6841,6926,17801,518,1061,44389,123218
205,32201,63503,435,2381,2687,12453,685,3068,14158,56332,17965,74236,1200,4889,2199,7127,5004,15491,8404,27503,26368,101744,159,718,857,3043,387,1355,4748,12946,6152,18063,425,1316,1144,2481,3659,7617,5230,11411,11382,29478,801,1654,70749,196372
206,65437,128322,254,1443,3513,15834,422,1841,28375,103272,32564,122394,1974,8090,4474,15313,6024,18929,12470,42322,45035,164717,90,436,873,2998,196,655,5305,13046,6458,17138,615,1892,2583,5657,6120,12970,9320,20522,15776,37660,5375,11227,131624,341930
207,32890,65344,357,1873,5096,22833,441,1902,23619,90415,29514,117025,3152,13122,6758,23928,8019,25173,17941,62219,47447,179251,79,366,915,3009,145,471,3290,8266,4427,12117,699,2146,2231,5175,4844,10283,7769,17605,12198,29716,1952,4146,94492,278453
208,37562,74308,458,2468,5288,23822,572,2396,29442,112768,35763,141447,3084,12646,6155,21593,7751,24324,16992,58560,52754,200009,74,342,941,3059,208,675,4171,10276,5391,14357,740,2269,2201,5001,5430,11466,8375,18737,13766,33092,1795,3754,105881,311166
209,42396,84835,906,5062,6079,28281,1360,6210,36106,139264,44449,178821,4164,17616,5568,19892,12959,42072,22689,79575,67140,258394,231,1105,1262,4393,613,2190,6532,17481,8637,25163,1112,3568,2174,4999,8305,18315,11601,26878,20235,52046,2309,4898,132078,400178
210,28791,57843,1065,6267,4927,23940,1223,5823,25646,101332,32858,137361,3170,13911,3822,13585,9523,31491,16517,58978,49380,196343,248,1198,1150,4223,499,1853,4793,13335,6692,20611,937,3085,1515,3530,6515,14590,8967,21206,15660,41818,1623,3464,95452,299466
