SA4_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
201,171,514,757,909,1067,1190,1818,1288,694,8418,110,646,1066,1124,1222,1048,987,416,275,6907,44,553,1078,1066,1161,956,585,232,127,5807,17,412,985,985,1145,897,323,118,65,4940,9,255,893,834,1031,765,237,87,52,4167,0,75,599,581,683,442,94,40,13,2535,0,23,371,481,537,365,84,23,9,1892,0,7,154,270,339,252,39,19,9,1086,0,3,112,247,306,241,56,8,9,979,3,17,37,141,167,111,53,34,22,574,491,384,655,697,833,949,990,762,512,6269,4705,4900,8982,9704,11065,11020,8929,4783,2456,66545,3795,742,798,824,941,1474,611,191,87,9466,2399,593,444,449,492,662,478,151,55,5724,1073,1611,1305,1116,1252,1871,1580,729,253,10795,352,912,1002,1085,1398,2057,3963,2330,716,13813,446,953,1124,1330,1654,2085,3219,2065,952,13838,311,1196,1557,1578,1783,1836,1879,791,388,11321,128,1168,1928,1768,1929,1833,1290,528,202,10769,55,981,2247,1978,2224,1932,849,279,112,10655
202,166,474,691,712,933,1113,1713,1202,611,7613,127,599,1054,1088,1114,1021,1014,444,275,6736,56,608,1068,1078,1177,1034,608,257,95,5990,27,406,1009,983,1112,911,377,127,76,5035,10,248,894,858,1040,768,239,101,52,4211,5,84,623,583,672,486,123,39,12,2632,0,20,323,470,514,413,80,20,9,1856,0,7,134,275,342,230,46,14,15,1069,0,5,96,291,320,218,51,27,12,1016,9,8,41,136,157,93,58,28,7,538,531,326,694,727,814,943,960,801,718,6504,4627,4634,8738,9480,10643,10756,8472,4759,2500,64603,3631,589,652,802,812,1269,524,169,92,8539,2388,584,420,434,452,685,430,133,82,5609,965,1328,1103,1027,1117,1728,1478,711,235,9691,381,815,945,1050,1292,1924,3393,2215,653,12673,359,825,1045,1085,1485,1858,2970,1918,856,12413,272,1132,1496,1535,1647,1754,1950,860,406,11053,146,1241,1936,1717,1951,1917,1253,562,200,10925,57,964,2224,1958,2152,2018,954,333,148,10798
203,239,891,1271,1377,1659,1846,2871,2127,1310,13597,180,1075,1752,2031,1996,1921,1822,828,458,12057,78,949,1921,1887,2003,1641,1110,444,202,10230,30,780,1985,1760,1978,1511,695,275,131,9142,13,469,1991,1681,1823,1366,489,180,130,8137,3,125,1495,1228,1168,821,222,64,39,5166,7,45,898,956,1012,665,147,56,22,3807,0,13,366,607,653,448,103,31,13,2238,0,9,328,646,620,379,112,47,22,2157,15,12,87,299,322,187,117,60,25,1128,756,596,1103,1123,1295,1381,1485,1276,1085,10102,8363,8475,17444,18239,18979,18329,14941,8547,4657,117970,7004,1353,1795,1745,1682,2545,1119,413,307,17974,4637,1306,809,952,807,1101,757,283,101,10749,1730,2540,1992,1773,1873,2699,2750,1389,473,17218,674,1616,1682,1817,2054,2953,5429,3811,1254,21290,584,1724,1960,1903,2434,2838,4711,3250,1802,21205,450,2064,2618,2687,2741,3051,3388,1601,687,19282,200,1986,3388,2916,3095,2890,2255,948,391,18079,105,1707,4119,3420,3700,3227,1652,598,225,18751
204,180,418,713,841,1070,1319,1939,1415,809,8701,146,548,1014,1170,1293,1337,1222,548,302,7588,82,601,1082,1136,1377,1221,631,279,131,6545,34,407,1011,1097,1349,1090,441,157,82,5671,15,222,890,845,1187,966,302,114,69,4620,3,60,561,640,735,560,166,32,12,2775,0,12,300,430,568,442,86,34,13,1884,4,4,117,267,348,255,57,25,7,1080,0,4,111,235,303,203,61,24,4,941,3,8,41,101,145,124,77,45,20,559,665,360,720,820,992,1157,1202,916,693,7528,4909,3914,8811,10058,12040,12854,10378,5576,2840,71384,3801,489,722,791,939,1607,788,269,83,9498,2427,427,405,490,514,713,505,176,59,5717,882,888,1079,1060,1237,2027,1947,848,267,10238,384,578,931,1113,1388,2276,4395,2611,831,14503,451,742,1012,1156,1631,2191,3553,2247,1138,14131,405,1030,1477,1600,1867,2230,2372,1080,477,12541,270,1329,1932,1892,2283,2260,1483,617,224,12291,151,1166,2336,2229,2786,2439,1142,371,152,12783
205,250,674,1306,1435,1798,2232,3501,2340,1354,14890,193,906,1774,1883,2130,2168,2029,932,520,12545,86,932,1746,1668,1968,1790,1121,498,194,10003,26,644,1498,1478,1808,1484,712,275,132,8048,17,329,1359,1153,1526,1219,481,232,98,6414,3,109,853,745,922,729,212,58,28,3657,0,34,439,553,755,598,119,42,12,2551,0,11,188,341,438,337,75,26,4,1428,0,3,160,288,387,300,98,38,10,1291,18,13,76,141,208,162,86,50,34,798,907,656,1222,1270,1601,1957,2022,1625,1070,12337,7394,6639,14612,15166,18570,20800,17673,9486,4489,114826,6015,874,1352,1314,1777,3056,1263,465,175,16286,3728,751,721,773,914,1421,861,327,125,9626,1433,1634,1961,1985,2357,3732,3312,1587,478,18477,639,1024,1688,1934,2507,3929,7921,4453,1197,25303,681,1184,1924,2094,2758,3729,6107,3828,1904,24211,499,1663,2506,2581,3036,3495,4037,1830,769,20424,241,1882,2996,2706,3215,3237,2484,1137,370,18269,99,1520,3320,2995,3556,3337,1792,606,238,17466
206,353,2633,3503,1602,1685,1846,2450,2393,1378,17844,350,2892,4673,2260,1905,1703,1575,855,457,16671,246,2696,5436,2428,2009,1618,1225,521,206,16386,143,2868,8069,3021,2403,1990,1136,385,172,20180,107,2243,11329,3909,2924,2063,1031,275,122,24006,31,886,9684,3730,2510,1686,692,156,72,19453,32,285,7097,4087,2562,1740,560,132,62,16554,9,127,3888,3069,2035,1221,385,122,52,10915,26,114,5036,5180,3276,1920,595,162,89,16392,24,89,1284,3659,2907,1528,665,223,109,10492,1537,3415,8395,4281,3091,2642,1992,1530,1260,28136,14754,35890,82124,44880,33541,26459,17939,11181,5790,272543,13614,15416,10205,4525,3249,2974,1789,910,389,53070,5105,4093,2177,1447,1207,1208,843,553,184,16823,2441,7066,5437,2833,2743,3131,2520,2238,779,29200,1013,5177,5383,2736,2747,3182,4464,4235,1824,30752,669,4896,6387,2719,2921,3205,4192,3541,1954,30476,655,5296,8602,3578,3058,2833,2782,1493,709,29001,431,4800,10216,4237,3362,2861,2233,963,365,29467,287,5156,15265,5687,4354,3552,2206,754,317,37570
207,183,1007,1126,1083,1472,1387,2146,2183,1404,11986,140,1013,1600,1466,1872,1550,1907,1298,750,11587,64,927,1839,1516,1924,1579,1462,841,428,10574,31,1006,2463,1755,2099,1686,1167,603,329,11134,10,855,3207,1965,2377,1857,1004,405,232,11914,3,266,2503,1691,1833,1393,617,258,152,8714,0,101,1766,1688,1892,1285,483,189,125,7528,7,22,918,1220,1368,969,325,125,71,5031,9,24,1174,2138,2054,1226,447,197,120,7387,7,30,335,1612,1847,875,399,189,134,5432,718,757,1425,1185,1364,1242,1344,1437,1622,11092,12087,13803,24381,23716,26420,21461,17148,11908,7094,158013,13654,6152,4989,3794,3586,3638,2240,1081,449,39585,5573,3077,1155,1220,1284,1382,1117,602,256,15684,1962,4186,2226,1709,1929,2326,2397,1985,701,19420,646,2639,2018,1581,1900,2106,3711,3745,1539,19886,398,2098,2152,1647,2188,2188,3328,3263,1944,19196,305,2144,2923,2127,2672,2503,3096,2284,1117,19168,118,1897,3577,2367,2953,2629,2616,1602,696,18464,87,1982,4939,3059,3488,2954,2337,1205,565,20622
208,147,986,1192,1375,1726,1760,2799,2446,1778,14217,122,969,1652,1934,2230,1924,2129,1287,842,13081,71,961,2052,2056,2358,1924,1482,712,480,12100,31,1047,3002,2305,2742,2098,1160,505,345,13246,27,758,3798,2653,2952,2262,991,390,266,14095,10,262,2888,2272,2351,1633,588,194,138,10331,9,106,2118,2358,2269,1498,476,168,139,9132,3,34,1106,1630,1601,1082,318,120,75,5973,3,31,1333,2780,2522,1243,422,158,120,8616,8,15,403,1949,1916,856,353,210,134,5847,753,799,1745,1709,1850,1570,1599,1580,1774,13381,11304,12623,27074,29702,30631,24027,18237,11732,8064,173391,12082,4570,4179,3727,3090,3000,1864,866,512,33880,5922,2731,1005,1197,1221,1289,1046,498,238,15140,1799,3506,2016,1827,1970,2357,2425,1854,849,18605,626,2220,1831,1744,2054,2491,4383,3774,1731,20857,410,2021,2063,2001,2484,2810,4405,3674,2449,22329,310,2052,2854,2611,3042,3008,3571,2197,1263,20907,155,1963,3820,3051,3504,3210,2642,1366,793,20506,87,2009,5742,3906,4463,3838,2316,956,589,23905
209,252,1436,2247,2329,2531,2497,3506,2814,1576,19179,210,1546,3225,3251,3053,2553,2035,990,550,17411,126,1605,3808,3311,3381,2369,1338,497,208,16646,67,1518,4434,3563,3462,2309,851,293,148,16658,22,919,4641,3489,3393,2253,595,207,86,15614,10,273,3240,2624,2327,1398,313,85,42,10300,7,68,2055,2205,1872,1072,210,50,24,7565,0,16,847,1381,1195,723,136,36,5,4342,3,24,768,1614,1226,713,155,30,19,4555,16,22,165,618,624,311,143,65,17,1977,1251,1163,2629,2232,2194,2002,1884,1570,1351,16277,14170,16738,38654,36458,33805,28117,19953,11750,5632,205282,13736,4949,6503,4615,3973,4816,2468,992,383,42429,7197,3024,1797,1851,1539,1680,1192,515,220,19006,2765,4676,4394,3759,3374,3979,4008,2535,701,30191,877,3049,3447,3199,3423,4382,7899,5702,1656,33636,771,2868,3888,3482,3804,3833,5704,4247,2221,30818,615,3257,5350,4646,4466,4043,3769,1860,818,28822,332,3291,7253,5587,5391,4276,2725,1102,380,30346,186,3145,9451,6931,6605,4939,2109,608,272,34241
210,202,1012,1733,1677,1878,1784,2607,2286,1232,14418,163,1125,2340,2374,2265,1653,1296,687,433,12346,101,1192,2618,2387,2354,1545,805,342,157,11503,55,1017,3084,2394,2479,1482,509,180,95,11288,18,667,2979,2361,2216,1382,366,133,46,10173,3,187,2044,1651,1478,862,147,33,20,6411,3,49,1293,1276,1154,618,104,28,13,4531,3,21,544,845,737,401,61,7,8,2616,3,10,521,901,752,340,70,28,8,2627,6,19,135,348,330,145,57,28,15,1081,1001,843,1998,1751,1690,1479,1486,1199,796,12243,11237,11668,27571,25726,24652,19115,14124,8940,4063,147096,10979,3194,5010,3739,3234,3470,1787,780,262,32458,5490,2238,1300,1329,1131,1109,849,409,147,14009,2210,3153,3644,3328,3286,3318,3047,1923,553,24469,734,2101,2778,2716,3161,3550,6037,4439,1328,26840,579,2104,2973,2631,2944,2767,4192,3448,1725,23358,436,2445,3994,3541,3440,2706,2494,1315,666,21030,267,2564,5131,4160,3955,2919,1646,754,314,21705,157,2326,6805,4999,4962,3258,1247,420,184,24351
