SA4_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
201,531,783,261,492,437,180,83,127,36,2927,601,718,446,1105,748,312,85,204,60,4279,1840,634,5994,2148,1572,1054,1160,1612,217,16229,85,38,82,155,203,163,56,166,9,951,131,84,122,290,195,131,81,144,12,1180,53,78,42,45,52,32,22,31,13,363,197,176,215,182,145,175,140,261,124,1614,5744,12260,7724,5714,4677,2520,1762,2897,657,43946
202,454,801,262,503,387,161,55,108,32,2765,598,715,409,1048,633,257,81,229,51,4029,1915,682,5826,2239,1471,1006,1164,1653,194,16155,86,52,77,144,170,147,59,172,4,906,166,79,116,288,221,145,94,189,20,1330,49,106,40,39,51,29,28,51,7,416,197,188,172,218,142,157,127,248,120,1561,5859,12688,7433,5666,4401,2368,1717,3058,559,43745
203,1011,1652,720,991,886,399,168,257,70,6146,1217,1485,1056,2046,1469,669,233,412,112,8706,2832,1203,11121,4189,2698,1924,1917,2780,421,29075,114,84,134,272,259,242,97,232,16,1446,243,170,207,518,417,280,172,239,35,2290,82,192,88,95,93,55,42,59,13,720,247,336,337,375,258,257,221,365,248,2631,10538,24660,14863,11139,8974,5086,3205,5075,1254,84799
204,771,818,299,585,470,180,60,152,41,3378,944,871,508,1506,857,344,124,299,59,5511,2615,784,7164,2527,1814,1231,1692,2118,281,20227,134,38,111,182,224,169,85,207,14,1166,212,84,156,344,289,183,140,224,24,1653,61,81,63,46,72,31,38,57,9,470,311,192,259,232,199,200,209,337,187,2124,7475,10976,8997,6584,4995,2700,2475,3766,734,48704
205,849,1155,422,725,587,217,89,221,51,4313,1130,1242,723,1890,1215,454,154,371,96,7269,3913,1049,11715,3712,2693,1748,2663,3353,429,31281,184,79,149,306,312,252,91,269,29,1670,292,111,225,562,358,257,172,283,28,2288,108,110,79,80,77,53,45,98,19,667,478,283,366,430,287,320,270,535,283,3243,9853,15644,14308,9269,6935,3789,3603,5576,1093,70071
206,2515,3783,1411,1631,1839,1162,189,443,172,13142,3054,3733,2316,3069,2824,1648,284,749,220,17911,3456,2190,9333,3505,3153,2078,892,1645,380,26641,198,193,146,355,355,249,60,162,19,1744,571,577,330,718,781,521,112,248,53,3919,392,937,206,239,277,178,48,131,69,2484,514,893,380,429,425,328,109,311,563,3960,42671,115219,19847,20331,27571,14969,2862,7229,3818,254513
207,1545,2182,755,894,1295,732,149,298,87,7931,1547,1585,1034,1508,1687,970,171,410,110,9022,2027,1011,4949,1780,1517,1227,483,941,218,14159,128,73,85,149,204,135,29,86,8,902,349,267,183,369,549,283,64,126,36,2226,276,514,124,129,211,128,32,57,39,1510,305,497,189,246,307,222,70,141,263,2234,23291,54953,10184,9315,15524,8238,1648,3602,1912,128665
208,2102,2940,982,1156,1820,923,201,300,113,10528,2329,2475,1385,2046,2289,1182,218,416,156,12507,3151,1476,8834,2725,2495,1697,950,1484,337,23158,143,122,105,212,313,208,47,123,14,1281,465,414,240,553,751,408,127,160,33,3159,294,562,161,147,261,176,43,80,57,1777,354,630,277,289,439,301,117,183,342,2930,28087,58879,14771,11797,17872,9467,2374,4150,2137,149528
209,1821,2569,1335,1673,1951,914,453,517,122,11361,2242,2513,2088,3476,2915,1343,629,827,190,16222,3973,1863,16947,5304,4183,2583,2799,3283,578,41507,174,136,187,361,579,304,144,248,24,2166,420,321,407,879,943,449,293,397,66,4167,213,395,225,184,282,162,120,149,52,1779,393,554,585,599,609,450,380,527,448,4557,20166,48137,24922,17950,19931,9846,6257,8245,2299,157744
210,1075,1535,929,1038,1236,518,422,379,108,7245,1556,1639,1444,2547,2138,966,585,618,160,11657,2714,1207,11943,3747,3084,1739,2546,2679,434,30099,135,92,149,264,379,220,142,218,15,1615,305,212,267,651,675,352,265,258,50,3028,138,279,161,160,181,101,131,106,25,1283,266,367,458,477,467,332,351,399,324,3438,12082,26056,17288,12274,13113,6346,5723,6178,1647,100701
