SA4_CODE_2016,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
201,22,281,360,383,371,282,90,9,1798,6,115,212,270,279,180,40,3,1108,340,1296,1346,1019,893,673,194,40,5798,191,652,814,896,869,639,230,43,4321,1494,2887,2652,2909,2734,1960,870,240,15745,154,123,89,68,64,33,7,0,542,56,106,148,169,173,139,58,17,864,1707,3115,2883,3143,2975,2133,935,258,17148,22,32,39,52,57,67,39,12,324,885,727,786,1021,1038,1126,723,318,6626,3169,6225,6449,6783,6485,5100,2240,677,37120,47,363,473,478,447,183,38,3,2035,34,351,501,506,486,208,54,5,2148,603,2202,2140,1529,1351,794,268,89,8977,400,1033,1242,1456,1202,830,289,92,6534,1076,1812,1558,1597,1114,452,110,43,7765,229,212,214,171,157,64,14,4,1064,109,190,232,235,244,163,72,24,1254,1409,2210,2004,2007,1511,678,194,75,10079,18,44,50,74,94,98,33,27,426,854,660,706,913,1160,1301,1022,596,7210,3365,6858,7116,6962,6239,4088,1897,879,37416,74,644
202,16,179,329,363,340,287,79,12,1611,12,118,262,253,281,183,35,4,1150,297,1193,1331,1005,977,670,224,46,5738,139,577,741,831,906,719,257,72,4248,1399,2871,2538,2936,2761,1830,906,230,15479,145,101,86,69,58,34,3,3,509,61,115,123,142,177,143,50,23,834,1609,3089,2749,3152,2998,2009,963,260,16820,26,45,50,57,66,69,44,14,375,948,950,890,1035,1082,1068,722,372,7062,3044,6143,6348,6700,6658,5008,2321,778,37012,66,365,474,446,374,226,39,11,2005,36,347,548,544,534,239,48,3,2310,532,2158,2229,1581,1359,804,296,88,9047,342,912,1135,1310,1252,826,314,110,6202,1073,1681,1471,1472,1155,471,117,43,7482,164,218,183,192,165,71,8,4,1010,106,210,234,253,286,203,70,30,1391,1346,2104,1887,1918,1612,744,197,74,9874,23,51,44,49,88,95,46,29,430,866,692,775,926,1127,1207,1067,756,7420,3214,6628,7096,6776,6344,4151,2010,1078,37299,85,544
203,57,721,875,783,656,473,151,24,3736,22,274,384,372,458,257,56,12,1829,898,3010,3001,2116,1987,1310,431,128,12890,503,1488,1724,1760,1708,1402,525,150,9256,2432,5260,4872,5106,4557,3216,1627,507,27576,220,172,132,119,96,67,14,7,828,108,223,245,237,304,266,114,50,1550,2760,5658,5246,5460,4955,3549,1755,558,29953,44,94,119,77,108,102,79,33,653,1482,1512,1497,1519,1452,1474,1103,578,10599,5766,12747,12851,12086,11326,8563,4096,1488,68919,83,955,1091,704,607,328,51,14,3837,77,724,890,834,756,372,86,22,3756,1211,4939,4582,3045,2474,1460,509,129,18341,810,2288,2652,2583,2356,1478,596,253,13029,1943,3140,2693,2866,1939,878,233,82,13774,299,302,280,257,227,130,39,8,1534,195,304,404,491,471,361,152,58,2425,2429,3746,3374,3612,2632,1372,417,151,17732,40,97,92,113,144,154,106,51,805,1313,1121,1103,1373,1651,1909,1692,1161,11316,5968,13866,13783,12262,10621,7076,3463,1769,68807,142,1675
204,7,131,205,263,280,210,50,10,1163,4,91,161,202,261,182,45,3,949,166,780,982,796,1024,679,222,71,4717,171,640,826,1042,1111,874,295,75,5036,1634,3226,3247,3779,3590,2490,1018,300,19284,197,111,94,66,79,46,12,0,617,88,129,162,178,196,226,71,22,1068,1921,3464,3500,4028,3861,2763,1108,323,20974,31,44,52,71,71,73,58,12,409,1076,825,932,1122,1355,1298,874,422,7905,3380,5975,6660,7522,7964,6075,2654,918,41148,24,296,326,321,331,144,24,4,1485,30,309,421,471,453,233,56,4,1971,373,1789,1999,1440,1506,883,302,87,8379,418,1227,1474,1650,1554,1031,386,128,7860,1169,1942,1758,1819,1461,618,124,66,8960,240,221,224,232,199,109,23,15,1264,115,196,289,339,366,247,86,45,1686,1519,2360,2275,2386,2030,976,235,125,11906,20,51,51,74,99,112,65,28,491,981,726,870,1143,1403,1571,1154,724,8575,3369,6751,7417,7490,7372,4953,2220,1108,40669,35,429
205,17,212,295,303,393,321,102,22,1667,15,135,187,276,332,273,39,10,1267,290,1305,1314,1088,1466,1056,329,80,6939,230,880,1115,1275,1477,1379,514,120,6990,2440,5476,5116,6310,6013,4483,2062,531,32432,234,195,138,111,131,74,20,0,904,90,203,203,266,350,348,134,49,1641,2765,5876,5452,6692,6494,4901,2214,583,34975,28,82,91,82,107,136,91,23,638,1765,1556,1575,1936,2154,2325,1525,645,13474,5118,10042,10030,11664,12416,10397,4806,1480,65953,33,375,431,406,482,257,46,4,2037,47,465,605,589,699,345,73,7,2832,623,2736,2554,2003,2246,1389,455,126,12130,579,1826,2007,2328,2282,1532,560,188,11307,1782,3340,2663,2842,2224,1064,258,91,14264,337,396,363,327,324,165,38,10,1966,205,350,439,465,550,414,122,43,2600,2330,4081,3460,3635,3101,1649,423,148,18829,41,83,76,117,139,202,88,57,800,1517,1231,1351,1832,2355,2699,2143,1171,14291,5168,10810,10490,10910,11303,8060,3781,1699,62227,49,588
206,665,10392,6883,4345,2911,1857,549,124,27734,143,2029,1833,1428,1156,483,93,21,7174,7663,29740,14721,8357,5572,3192,1043,349,70640,2230,6439,4063,2918,2145,1394,472,170,19828,2411,7300,4381,3851,2752,1668,891,387,23643,285,322,225,149,85,49,18,5,1139,255,593,456,450,400,224,112,34,2519,2949,8211,5060,4454,3233,1942,1025,428,27302,302,568,375,247,187,181,99,28,1978,4328,8215,4639,3316,2648,2063,1287,631,27127,18278,65594,37576,25058,17850,11116,4566,1740,181781,1025,13392,7682,4478,3055,1455,280,79,31444,299,3853,3047,2466,2071,866,168,27,12803,11263,34736,16018,8825,5563,2946,1001,345,80698,2812,6737,4482,3758,2903,1704,728,284,23402,2148,3927,2233,1930,1205,529,219,113,12307,364,358,272,235,164,107,22,10,1532,330,690,642,718,538,369,160,84,3528,2841,4974,3147,2876,1910,1006,398,209,17371,343,573,307,260,255,245,112,63,2161,4868,8099,4154,3119,2765,2240,1695,1186,28130,23452,72376,38839,25785,18526,10461,4384,2188,196004,1689,23786
207,256,3727,3800,3558,2719,1647,589,174,16481,54,557,839,1049,943,498,141,48,4128,3190,9003,7524,7167,5330,3133,1462,522,37326,1128,2148,1880,2221,1875,1730,933,344,12270,1339,2403,1955,2884,2150,1763,1470,578,14545,156,120,81,113,55,36,27,7,579,122,173,220,311,268,200,172,71,1546,1622,2693,2258,3306,2473,2007,1663,650,16667,94,193,187,198,195,176,128,61,1236,1299,1362,1094,1287,1085,1033,1050,626,8828,7643,19689,17577,18784,14617,10226,5968,2430,96930,361,4369,3905,2990,1791,891,251,75,14633,109,1013,1473,1863,1498,710,231,64,6958,3867,10615,9552,8139,5249,2936,1323,532,42210,1163,2167,2503,3458,2775,2046,1135,523,15763,934,1127,1062,1526,1141,735,329,152,6996,170,94,129,202,186,122,48,24,976,138,210,303,589,555,507,274,197,2772,1241,1429,1498,2310,1887,1356,654,370,10747,87,204,226,275,255,260,200,114,1615,1235,1355,1119,1309,1321,1668,1680,1455,11135,8069,21160,20267,20338,14769,9869,5467,3132,103069,626,8101
208,195,3053,3586,3237,2149,1279,398,119,14017,48,545,920,1139,887,472,108,24,4145,2584,8401,9089,7603,5364,2905,1145,441,37525,858,2527,2895,2948,2383,1782,786,350,14518,1642,3836,3785,4586,3646,2384,1523,718,22123,164,128,145,109,85,58,21,7,705,132,251,343,398,407,339,149,61,2078,1933,4221,4273,5097,4136,2780,1691,787,24915,67,217,259,228,209,163,119,68,1330,1342,1688,1658,1702,1469,1334,1140,752,11082,7031,20644,22676,21948,16593,10711,5390,2538,107528,312,4160,3983,2835,1644,754,182,53,13932,107,1179,1815,2006,1538,662,184,48,7552,3451,10835,11222,8602,5330,2627,1097,445,43611,1021,2987,3870,4380,3279,2162,1046,423,19170,1050,1893,1829,2391,1645,874,376,216,10268,214,143,237,273,205,146,50,16,1286,158,285,490,766,679,574,266,210,3421,1416,2325,2555,3428,2526,1600,697,434,14982,100,215,235,306,258,301,187,130,1741,1285,1651,1564,1742,1753,1867,1883,1738,13493,7689,23354,25253,23297,16335,9987,5283,3279,114481,504,7216
209,198,3279,3195,1906,1368,773,237,31,10991,45,601,897,794,761,331,62,17,3498,2315,8515,7391,4504,3372,1744,538,150,28522,1279,4277,3719,3093,2318,1448,470,136,16747,3403,8274,7488,7731,5925,3803,1899,569,39089,317,265,242,181,129,51,14,4,1212,216,434,506,506,419,295,111,40,2538,3938,8976,8238,8419,6474,4154,2029,614,42836,114,311,284,214,175,143,61,25,1339,2230,2698,2369,2171,1894,1755,1253,624,14985,10113,28654,26086,21112,16360,10354,4650,1591,118925,311,4055,3236,1674,1054,424,85,14,10855,167,1542,1840,1548,1127,420,84,13,6739,3147,11765,9691,5590,3588,1651,483,143,36059,1818,5193,5264,4265,2839,1374,497,150,21396,2383,4388,3762,3717,2311,885,273,108,17829,395,428,469,424,319,148,26,9,2217,322,622,780,915,753,445,152,62,4053,3092,5437,5010,5055,3384,1472,459,175,24097,100,299,300,270,266,228,112,51,1613,2185,2641,2207,2319,2269,2296,1853,1263,17027,10825,30927,27551,20717,14520,7869,3565,1815,117787,510,7343
210,102,1857,1788,891,577,269,56,12,5549,45,324,498,398,339,132,33,10,1783,1399,5286,4227,2592,1823,785,235,63,16410,962,3029,2550,2234,1508,846,330,89,11543,2772,6145,5510,5860,4274,2788,1502,445,29299,296,221,165,146,90,39,12,3,971,177,372,373,396,308,195,94,43,1959,3242,6732,6045,6401,4669,3026,1614,492,32233,95,277,201,172,141,98,51,24,1059,1899,2197,1853,1755,1488,1437,1048,494,12166,7742,19701,17166,14443,10549,6592,3372,1184,80750,170,2133,1615,769,420,147,19,4,5286,128,927,957,768,508,190,51,3,3538,1918,7201,5774,3130,1853,756,226,70,20930,1321,3694,3712,3040,1747,822,321,78,14743,1711,3353,2800,2716,1597,577,199,64,13010,288,376,361,359,238,88,23,6,1734,252,511,609,680,469,292,112,48,2968,2248,4236,3764,3750,2307,953,330,110,17707,76,236,199,159,167,135,54,39,1060,1725,2001,1767,1819,1732,1812,1466,865,13184,7593,20422,17780,13440,8745,4817,2468,1174,76443,265,3992
