SA4_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
201,95,112,249,279,500,1003,2137,1938,1143,7458,3,20,42,58,73,59,44,39,22,370,569,700,1286,1391,1773,1932,2054,1519,831,12056,4190,9852,17497,18736,21286,21327,17468,8877,3744,122981
202,81,122,288,292,480,897,1853,1817,1168,6996,10,28,96,96,117,97,86,43,17,587,634,661,1547,1549,1824,1940,1970,1631,1019,12779,3961,9211,17083,18205,20459,20937,16591,8876,3957,119287
203,147,189,418,525,719,1426,3054,3138,2130,11735,25,54,147,171,178,158,200,225,97,1253,836,1165,2436,2364,2609,2678,2891,2410,1597,18990,7014,17383,34056,35515,36441,35090,28512,15491,7320,216825
204,92,94,260,284,476,1076,2354,2205,1313,8143,8,18,51,61,85,74,84,74,29,478,719,734,1437,1640,2061,2428,2411,1814,1073,14317,4171,8473,17099,19274,23357,25272,20801,10550,4584,133591
205,150,216,493,499,950,1813,4161,3815,2213,14313,14,27,95,98,138,125,160,161,69,888,1034,1267,2608,2645,3416,3939,4222,3271,1670,24074,6386,13504,28410,29324,35906,40265,35279,18115,7244,214429
206,92,214,589,592,977,1836,4013,5455,2787,16556,41,172,404,350,472,653,865,1472,690,5124,2185,5971,15793,8515,6104,5117,4019,2920,1782,52393,16803,65632,159715,89943,66294,50831,34464,19932,9360,512984
207,70,95,193,229,451,1042,2600,3649,2283,10618,16,71,254,215,314,388,458,722,324,2762,845,1254,2562,1954,2301,2110,2171,2343,1919,17458,9197,28461,48277,44669,49733,40586,31426,21403,11091,284855
208,77,95,203,289,471,966,2580,3338,2687,10706,17,41,163,149,202,256,314,481,237,1864,836,1313,3089,2894,2984,2688,2661,2609,2228,21301,8298,25311,52198,57063,58560,46264,34011,20574,12523,314810
209,121,201,746,968,1535,3489,7287,7072,3264,24671,31,105,356,420,625,853,1112,1486,527,5520,1398,1986,4800,4055,3945,3563,3552,2850,1787,27939,12303,33737,76340,71674,65415,53965,38208,21454,9052,382152
210,195,299,1110,1574,2121,2950,5683,5408,2444,21788,46,128,445,522,801,1043,1167,1160,477,5784,1193,1506,3721,3192,3069,2768,2792,2342,1305,21887,9887,24323,55099,50811,48184,37044,26687,16173,6635,274844
211,188,230,743,785,1149,1982,4155,4066,2531,15826,32,108,337,325,488,513,428,444,199,2876,1054,1261,2911,3003,3334,3306,3406,3101,2298,23666,12064,30767,63394,67736,71081,62339,46041,23916,10631,387966
212,362,663,2182,2678,3474,5265,8369,7566,3804,34368,89,614,1829,2104,2208,2188,1796,1594,641,13061,2327,3231,6801,5818,5600,5254,4869,4365,2833,41078,21888,58170,116157,105418,96377,77217,55263,31867,13285,575643
213,314,522,1801,2379,3623,6246,9632,7229,3136,34888,76,238,1017,1245,1780,2024,1701,1689,743,10517,2350,3684,9372,7720,6417,5604,5056,3461,1816,45472,18285,49809,126316,114510,90849,70974,45157,22147,8684,546739
214,145,162,417,438,697,1173,2785,2642,1672,10129,19,47,93,120,152,131,156,156,65,936,909,1037,2141,2296,2685,2820,3165,2888,1800,19748,7043,15888,31950,36469,40059,37090,32584,18353,7770,227212
215,89,132,333,401,639,1267,2626,2766,1761,10014,19,37,112,148,200,171,139,151,65,1040,652,744,1737,1563,2075,2340,2351,1904,1125,14487,3646,7786,16363,16158,20092,21399,17178,10340,4816,117790
216,75,138,354,405,526,1053,2198,2112,1193,8039,17,47,150,167,155,122,128,133,67,986,576,529,1311,1345,1628,1861,1991,1613,910,11770,3413,6670,14046,14614,17349,17481,14672,8617,3581,100439
217,69,83,191,253,365,836,1933,1990,1280,6999,8,12,49,65,84,83,60,26,12,399,503,519,920,1035,1478,1647,1772,1456,805,10135,3104,6387,12291,13618,17132,17874,14254,7903,3522,96087
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,11,5,0,0,0,25
299,17,20,42,33,28,30,38,13,11,228,8,3,13,5,16,11,9,3,3,83,79,221,493,492,336,219,111,39,9,2000,278,897,1841,1288,975,816,482,121,38,6740
