SA4_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
201,444,292,733,188,236,426,16,3,19,10,8,15,69,62,130,24614,21436,46050,1461,1705,3168,502,18,518,125,15,141,296,78,369,208,92,296,1137,957,2095,29055,24908,53966,15,22,38,0,0,0,23,25,51,193,118,306,13,25,46,28,6,37,282,196,476,0,0,0,0,0,0,11,11,19,15,33,50,4,4,12,32,43,82,214,113,332,530,357,883,97,101,202,10,11,20,10,0,10,118,110,228,1745,1867,3608,2808,5112,7913,425,368,789,34677,32713,67396
202,498,352,849,229,225,447,13,7,17,16,10,28,48,47,96,23798,20911,44707,1413,1704,3119,494,21,513,206,31,231,395,118,505,205,98,309,1185,1106,2290,28491,24629,53117,27,21,50,0,0,0,30,27,56,133,84,221,18,19,41,34,11,49,242,165,408,0,0,0,0,0,0,14,10,25,12,17,36,12,6,23,44,37,79,251,132,382,543,332,876,76,81,162,5,4,6,17,3,15,95,92,190,1740,1949,3687,2822,5046,7871,360,351,712,34049,32395,66444
203,1486,903,2393,677,736,1416,26,16,41,24,28,56,111,84,197,45805,39528,85334,2519,3072,5597,706,21,728,287,33,313,739,229,973,374,170,545,1587,1662,3254,54355,46477,100835,84,61,147,0,0,0,79,77,154,578,358,939,46,45,95,72,16,87,868,557,1424,0,0,0,0,0,0,48,61,113,35,80,114,19,13,33,102,155,262,427,251,679,1391,968,2360,329,258,584,17,10,28,28,11,36,372,278,649,2497,3222,5720,5063,9167,14234,642,583,1223,64319,60706,125026
204,165,133,302,179,150,334,14,7,24,11,18,27,45,31,77,27137,23187,50327,1607,1701,3308,683,26,710,251,37,287,437,139,578,354,164,517,2104,1714,3819,32992,27305,60299,9,7,22,0,0,0,3,7,9,71,59,131,9,4,14,8,3,10,102,83,182,0,0,0,3,0,3,3,12,19,11,9,21,7,0,11,23,24,47,292,126,421,418,235,652,30,38,66,4,3,9,20,5,21,50,43,94,2437,2581,5015,3151,5289,8443,557,486,1042,39607,35941,75545
205,301,211,513,323,176,496,14,8,22,24,9,31,83,56,136,39874,34643,74522,2387,2465,4852,888,27,918,353,73,424,427,139,561,598,213,811,2133,1818,3953,47402,39844,87246,27,28,47,0,0,0,14,6,16,94,55,148,22,26,43,18,4,21,171,112,287,0,0,0,0,0,0,23,10,33,18,22,41,5,9,16,50,40,87,429,184,611,646,342,983,88,54,140,9,3,7,26,3,36,119,64,181,3394,3621,7008,5236,8283,13517,783,758,1548,57579,52908,110486
206,15105,15105,30209,1606,1985,3596,57,21,74,18570,22673,41236,506,450,957,63179,53419,116600,2594,4917,7513,428,17,445,1673,290,1966,11487,6535,18018,1167,769,1939,17112,17528,34638,133474,123712,257190,1129,1137,2263,3,3,5,3321,3671,6990,509,565,1075,129,223,356,564,348,918,5656,5948,11604,0,3,5,506,852,1355,53,69,126,22,52,69,42,56,98,629,1029,1659,1827,1748,3577,8107,8720,16833,1231,1270,2501,75,94,172,157,143,295,1462,1497,2963,7017,7733,14754,9516,16552,26065,1243,1117,2364,160826,159332,320165
207,7282,5995,13276,3002,3079,6075,7,4,15,2024,2292,4319,167,108,275,51083,42865,93949,2022,4172,6199,428,8,435,522,52,574,1679,354,2031,526,301,825,2287,2568,4855,71030,61796,132825,1045,848,1896,0,0,0,896,823,1715,930,697,1627,166,257,422,162,72,236,3199,2693,5895,0,0,0,326,326,651,140,165,305,70,121,195,32,14,52,572,624,1200,665,494,1157,4439,3819,8252,714,661,1370,73,64,143,38,23,60,823,746,1574,4448,5235,9684,5477,9670,15145,568,556,1118,86787,81820,168603
208,12234,10110,22340,724,931,1649,27,4,31,788,945,1734,181,136,325,61980,53626,115600,2164,3739,5896,616,16,636,678,59,740,2124,495,2624,633,374,1001,1965,2552,4515,84109,72991,157100,1219,950,2169,0,0,0,1048,994,2042,1554,1217,2769,245,355,594,343,139,482,4409,3652,8061,3,0,3,37,61,103,29,35,61,37,66,106,14,17,28,123,174,293,663,481,1145,5201,4304,9500,791,823,1612,21,18,39,50,25,80,857,863,1724,4852,6492,11349,5971,11194,17164,722,628,1349,101708,96470,198179
209,8780,7899,16678,1106,1310,2419,46,15,64,902,1220,2119,352,113,467,82744,65293,148037,3652,5098,8748,1580,26,1607,726,87,810,1478,398,1874,664,335,1000,1609,1709,3315,103631,83501,187134,1190,985,2175,0,0,3,612,579,1188,2024,1642,3667,279,484,766,209,68,280,4314,3762,8077,0,0,0,133,195,333,74,69,142,65,135,200,21,23,41,294,426,717,818,574,1391,5430,4757,10190,969,1031,2002,24,38,64,55,28,75,1049,1094,2143,3404,5073,8478,7475,13932,21406,1228,1023,2257,122228,109382,231609
210,5339,5118,10453,507,631,1136,16,3,21,230,381,609,303,96,395,60051,43334,103388,3066,3867,6931,1205,26,1231,413,40,456,548,112,657,563,261,825,799,872,1676,73041,54740,127787,861,747,1608,0,3,3,343,351,699,1277,1057,2340,176,274,449,100,34,132,2755,2465,5227,0,0,0,47,68,108,77,86,159,27,70,102,7,5,15,162,225,392,657,451,1108,3578,3149,6729,620,717,1340,7,29,38,28,11,39,654,759,1415,1796,3208,5003,5073,8595,13668,1036,771,1804,85178,71229,156400
