SA4_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
201,64,56,519,641,116,1518,45,874,63,3904,337,663,1329,1247,567,1095,202,863,113,6414,1166,3000,2443,1481,1399,1052,606,1208,156,12516,1955,3335,2072,1477,1822,924,802,1220,211,13821,2264,3037,1989,1837,2224,1045,1104,1642,259,15406,1772,2493,1485,1267,1671,813,940,1364,174,11982,685,560,269,216,336,200,234,316,79,2894,153,55,18,11,26,16,22,38,34,380,21,4,7,6,4,3,4,12,6,77,8415,13213,10130,8197,8162,6666,3955,7550,1107,67396
202,57,47,430,597,140,1452,78,949,60,3822,286,626,1272,1145,461,1068,244,1030,92,6229,1205,2978,2361,1348,1304,890,585,1468,158,12296,1952,3472,1813,1374,1694,865,730,1241,208,13363,2242,3218,1903,1791,2155,1059,1010,1551,211,15134,1890,2626,1377,1361,1671,805,920,1371,179,12208,681,581,254,235,356,223,226,268,72,2894,177,59,37,16,26,24,7,50,22,415,29,16,4,6,8,3,0,3,10,86,8518,13622,9454,7873,7809,6400,3814,7933,1019,66444
203,85,91,815,1230,253,2701,138,1553,126,6989,536,1160,2316,2428,974,2219,485,1566,168,11845,2326,6704,4930,3045,2700,2034,1253,2025,369,25391,3837,6981,4069,2855,3471,1909,1470,2161,437,27194,3979,5834,3708,3450,3988,1940,1906,2510,450,27753,2739,4458,2569,2289,2946,1535,1596,2078,307,20517,851,1020,426,414,685,341,327,527,124,4716,143,107,39,11,54,32,25,81,42,520,21,18,8,5,9,5,0,7,22,86,14520,26367,18883,15714,15082,12707,7191,12505,2050,125026
204,93,63,739,780,151,1502,93,1014,76,4520,327,419,1522,1118,400,786,336,956,102,5960,1334,2370,2587,1673,1203,963,789,1495,183,12592,2162,2817,2303,1648,1743,976,1009,1519,228,14410,2859,2851,2364,2019,2415,1270,1500,2105,285,17661,2785,2651,1780,1559,2007,1009,1357,1862,213,15221,1448,603,375,309,436,292,302,431,104,4310,410,57,30,24,42,22,19,55,62,717,81,13,7,3,16,11,8,5,16,165,11499,11840,11707,9128,8413,6829,5418,9446,1271,75545
205,150,69,930,898,204,2338,118,1457,123,6284,523,766,2236,1464,742,1323,354,1279,137,8808,2039,3780,4169,2309,2120,1565,1188,2324,318,19808,3080,3730,3480,2297,2619,1566,1496,2314,334,20910,3931,3900,3802,2995,3388,1834,2071,3117,392,25433,3723,3705,2864,2350,2795,1530,1901,2786,391,22040,1850,851,601,426,663,371,439,672,159,6039,548,86,50,34,58,36,29,83,68,989,82,13,15,6,12,4,7,16,25,173,15933,16886,18144,12775,12598,10566,7615,14037,1943,110486
206,101,389,334,1928,441,2596,110,1020,102,7022,1742,7019,2888,7570,4255,5958,584,2593,523,33131,15989,52977,10768,11214,13874,8593,1565,4693,1979,121641,15048,29590,4894,4122,7926,3589,1081,1793,1081,69127,11128,18052,3420,3187,6662,2710,1107,1739,816,48822,5986,11579,1990,1828,4286,1649,905,1379,460,30065,1692,3652,495,477,1221,546,238,466,234,9007,223,445,60,31,129,69,34,74,61,1121,47,78,14,7,24,17,3,14,30,230,51950,123774,24864,30365,38825,25722,5617,13767,5275,320165
207,110,337,295,1859,460,2755,90,1061,101,7064,779,3390,1512,3225,2214,3858,356,1360,265,16955,4539,14718,3525,3117,4555,3093,602,1545,627,36323,7627,14117,2558,1845,4281,2067,490,992,553,34540,8937,13595,2927,2490,5529,2541,762,1311,595,38682,4936,9390,1947,1690,3887,1638,686,1198,366,25748,1361,3001,546,510,1289,541,216,397,160,8033,216,390,74,44,139,91,18,68,77,1107,30,55,7,4,10,9,0,9,20,146,28527,58989,13392,14786,22365,16605,3230,7941,2771,168603
208,93,263,455,1982,429,2990,126,1218,100,7657,757,2726,1840,3317,2043,3479,401,1305,233,16100,5264,15320,4864,3658,5129,3418,794,1699,630,40783,10436,17225,3981,2900,5796,2872,792,1178,695,45864,10960,15062,3971,3261,7141,3231,1115,1559,684,46984,5616,9782,2719,2164,5072,2127,1069,1416,452,30418,1494,2964,684,599,1546,811,318,513,185,9109,188,326,72,50,152,102,38,89,63,1071,36,31,9,5,25,7,3,16,58,186,34844,63696,18592,17941,27338,19037,4655,8998,3081,198179
209,119,235,1147,1566,459,4421,200,1957,169,10273,906,2570,3612,3834,2518,4538,908,2427,343,21665,5388,15069,9492,6062,7442,4436,3004,4020,898,55799,8175,15227,7349,4951,7994,3419,3088,3442,871,54507,7358,10505,6319,4873,8543,3464,3417,3989,822,49291,4306,6943,3924,3203,5686,2220,2607,3117,484,32489,866,1529,790,573,1141,488,541,743,159,6826,109,138,60,32,74,51,28,99,56,657,8,13,14,3,12,11,3,9,20,100,27242,52226,32711,25093,33876,23039,13802,19804,3817,231609
210,80,131,775,990,321,3029,172,1392,152,7041,639,1553,2752,2502,1826,3143,930,1878,341,15563,3644,8834,6673,4272,5325,2933,2894,3138,752,38466,4978,8268,5162,3593,5562,2295,2868,2759,627,36103,4709,5600,4618,3614,5929,2429,3318,3177,572,33970,2528,3464,2618,2028,3700,1472,2239,2142,356,20542,539,713,511,369,706,328,451,524,120,4254,75,63,40,26,43,23,20,58,42,393,14,4,11,9,4,6,0,3,14,64,17206,28629,23148,17391,23423,15660,12899,15070,2969,156400
