SA4_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
201,0,20,118,175,46,28,14,3,0,407,0,0,0,4,17,14,24,18,6,87,0,7,3,7,0,3,3,0,4,23,11,62,50,217,362,493,577,304,117,2182,0,0,10,20,10,10,3,3,0,54,0,3,0,15,11,11,9,3,0,47,0,3,6,33,27,48,110,54,40,322,0,0,0,0,0,8,18,19,4,44,0,5,0,10,7,8,3,0,0,29,7,30,24,280,31,24,12,9,7,434,0,3,7,20,3,0,12,3,0,44,0,3,7,16,3,3,7,0,0,32,0,0,0,8,6,0,0,0,0,14,0,0,6,31,14,21,28,12,3,113,0,0,0,10,13,16,28,29,20,116,0,5,0,39,13,4,0,3,0,71,0,3,3,21,0,0,0,0,0,30,0,0,0,0,5,0,0,0,0,9,0,15,9,41,25,25,5,3,0,124,0,0,0,3,6,25,34,8,0,85
202,0,17,31,100,41,19,6,0,0,213,0,0,0,3,9,14,15,6,0,37,0,6,3,11,6,3,4,0,0,39,4,46,34,194,305,394,402,241,110,1731,0,0,3,19,7,6,0,0,0,38,0,0,3,7,3,6,0,0,0,26,0,3,3,24,29,48,81,30,18,239,0,0,0,5,4,13,13,8,4,44,0,0,9,9,4,4,0,0,0,30,15,27,33,248,25,16,14,10,4,388,0,0,8,24,16,6,4,0,0,62,3,9,3,10,0,0,0,0,0,26,0,0,0,4,3,0,0,0,0,11,0,4,6,24,13,10,21,8,9,86,0,0,0,4,5,21,35,17,10,99,0,3,3,17,11,3,4,0,0,38,0,3,3,19,0,0,0,0,0,25,0,0,0,4,7,3,0,0,0,15,0,5,13,29,27,16,14,3,0,105,0,0,0,4,3,14,18,6,0,52
203,8,41,144,389,100,80,32,18,7,810,0,3,12,63,104,127,201,168,39,721,0,3,8,14,3,9,18,3,0,59,22,203,164,646,833,1013,1081,674,321,4952,0,0,6,26,17,4,3,3,0,69,0,3,13,41,14,9,10,7,3,96,0,9,17,82,46,129,306,142,110,836,0,0,3,8,17,46,92,58,18,249,3,11,22,41,8,12,7,0,0,110,21,68,90,644,53,67,28,17,16,996,0,7,20,72,32,13,14,4,3,168,3,40,35,106,15,13,3,0,0,224,4,21,3,52,12,8,3,0,0,103,3,23,9,88,53,50,50,29,13,330,0,5,10,25,64,147,242,261,108,858,3,15,10,65,18,11,3,4,3,126,0,9,9,56,9,0,0,0,0,86,0,3,0,8,10,8,3,3,0,42,3,8,42,106,52,50,16,4,3,281,0,0,0,5,7,42,80,29,3,176
204,0,10,52,77,34,9,12,3,0,192,0,0,0,4,12,25,30,24,15,107,0,3,0,3,0,3,5,0,3,23,8,41,49,215,374,460,624,304,130,2217,0,0,3,10,3,6,0,0,0,31,0,3,0,14,12,6,16,3,0,57,0,3,3,34,58,83,224,101,54,563,0,0,0,3,7,11,12,5,7,46,0,0,7,22,7,10,3,0,0,44,8,28,13,206,16,10,19,3,4,309,0,0,7,13,9,8,3,4,0,41,0,0,0,12,0,0,0,0,0,19,0,0,0,3,3,0,0,0,0,3,0,3,3,25,16,20,16,11,4,96,0,0,0,13,22,75,127,144,84,462,0,3,10,30,8,3,3,0,0,57,0,0,6,19,0,0,0,0,0,32,0,0,0,0,0,3,0,5,0,13,7,9,5,42,22,20,0,3,0,108,0,0,0,0,6,14,24,11,3,54
205,0,11,32,149,69,35,14,9,0,323,0,0,0,3,19,21,29,20,7,95,0,7,0,10,4,11,12,13,3,51,10,80,65,358,693,1157,1470,876,330,5038,0,3,6,27,18,19,6,0,0,73,0,0,0,13,15,10,10,10,0,64,0,5,11,66,57,108,316,143,71,771,0,0,0,7,10,31,42,39,10,131,0,5,6,20,11,14,3,0,0,60,13,39,24,275,34,29,31,17,4,467,0,5,0,34,10,7,13,9,0,85,0,0,0,17,3,0,0,0,0,21,0,0,0,5,0,0,0,0,0,9,0,12,7,28,23,48,52,37,17,225,0,0,3,12,35,130,190,224,91,685,0,3,3,30,14,8,11,0,3,67,3,0,3,34,3,5,0,0,0,45,0,0,0,4,3,4,0,0,0,11,3,8,9,74,39,38,24,4,0,196,0,0,7,10,9,58,106,52,11,248
206,49,251,9289,5957,1205,745,332,390,144,18359,0,0,11,102,76,95,81,85,19,465,5,35,15,84,48,105,109,91,47,536,104,268,786,4006,1230,996,755,281,162,8586,0,4,14,157,53,38,35,4,4,300,7,22,161,698,85,37,47,25,16,1091,10,23,127,646,174,114,243,82,61,1479,4,17,37,183,293,578,1390,1668,419,4592,23,38,473,933,156,140,82,27,18,1888,288,250,587,4010,245,213,142,67,36,5839,24,55,1274,1184,92,62,63,14,3,2776,11,20,46,619,46,32,25,5,0,797,0,3,5,82,22,9,13,10,5,147,14,21,97,1290,119,82,58,28,26,1737,14,21,138,651,265,610,1122,1714,836,5366,19,26,251,1078,185,56,34,8,10,1661,10,24,592,1508,103,30,11,3,0,2281,0,0,24,170,197,225,156,79,32,877,16,47,1949,2494,354,353,207,61,20,5514,0,0,4,22,30,78,130,98,36,399
207,150,952,3565,7781,3220,2098,891,566,217,19439,0,0,0,23,49,51,85,86,30,321,0,18,24,82,66,94,112,67,30,492,62,326,288,736,717,671,622,475,303,4205,0,4,17,82,56,50,34,30,3,270,3,20,27,97,50,23,25,13,6,269,3,18,36,102,66,70,243,115,88,751,3,33,35,74,212,436,953,962,260,2965,32,128,327,1016,547,704,295,110,20,3173,84,217,376,2104,396,290,245,99,41,3863,6,17,153,524,115,91,74,23,10,1020,13,108,122,782,180,134,65,22,6,1436,9,15,17,73,20,15,3,4,0,154,0,19,7,114,75,68,51,44,33,409,0,15,18,85,132,343,816,856,405,2673,3,38,56,254,110,31,44,10,8,560,10,87,226,574,225,74,25,6,3,1232,0,3,4,48,70,81,44,19,9,283,29,188,588,1783,901,916,564,198,57,5221,0,0,3,8,9,32,61,38,21,171
208,56,304,2311,3279,1131,706,270,165,42,8262,0,0,3,49,65,66,87,58,20,346,0,11,6,38,53,95,125,81,56,470,109,667,475,1762,1596,1145,1109,673,447,7976,0,3,4,93,68,48,22,7,3,246,9,65,49,196,76,41,71,32,19,560,6,23,60,236,174,105,337,189,158,1293,3,39,36,101,238,415,890,886,212,2817,16,59,117,243,88,113,44,18,3,705,153,305,378,3089,439,311,232,149,63,5120,0,10,95,340,59,36,32,16,11,594,3,5,14,172,29,19,7,9,3,266,0,3,3,16,16,7,5,0,4,54,7,57,32,410,158,80,93,68,30,939,6,21,20,126,120,226,416,441,222,1587,20,99,73,441,172,62,43,13,6,923,5,43,103,365,88,27,7,3,0,648,0,3,11,43,54,53,24,29,6,216,7,33,183,571,243,218,127,58,11,1460,0,0,0,11,20,38,50,32,15,169
209,54,181,970,3098,926,737,279,140,43,6432,0,3,10,71,133,155,186,152,34,738,0,44,31,190,87,181,164,79,42,816,44,289,276,1011,1005,908,845,424,212,5008,3,10,35,222,104,76,28,19,3,505,0,7,13,72,39,30,21,3,8,194,0,10,49,181,114,65,262,110,65,859,7,66,77,211,339,768,1192,996,277,3923,9,21,79,236,64,102,37,8,0,558,138,420,687,5253,581,394,226,80,34,7815,7,21,51,315,76,43,26,15,5,558,27,143,156,734,112,63,24,8,0,1262,12,85,171,666,266,97,52,28,4,1381,5,33,9,185,77,83,65,48,17,518,13,41,55,223,484,1301,2015,2033,814,6980,4,17,37,230,90,25,13,4,8,430,5,21,37,181,44,20,9,0,0,316,8,20,50,388,424,317,159,82,26,1478,18,78,183,622,227,308,139,41,15,1625,0,3,10,38,47,257,326,146,48,876
210,5,42,133,654,269,216,86,52,27,1474,0,0,3,48,100,156,218,167,38,730,7,36,44,135,103,151,181,131,49,845,12,127,97,504,610,599,571,355,135,3006,0,23,41,271,135,93,63,27,4,645,0,5,6,28,21,15,16,10,9,112,0,6,28,90,53,71,269,91,87,698,3,28,54,76,112,278,500,474,137,1665,7,5,15,102,33,38,3,3,0,215,120,329,418,3756,432,348,220,98,41,5758,0,16,23,193,43,15,9,5,0,305,12,96,90,297,70,42,25,13,3,653,36,433,803,2467,909,552,261,141,37,5630,3,23,9,94,48,41,40,31,21,315,8,29,33,122,392,1015,1713,1753,696,5759,5,12,9,104,38,10,3,5,10,191,0,6,5,99,23,5,8,0,0,154,22,56,165,902,659,395,200,82,20,2500,13,32,54,260,86,84,39,13,4,588,0,0,10,48,73,281,468,308,123,1316
