SA4_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
201,31,192,0,229,4190,525,4948,229,181,7,414,4167,390,4971,2622,283,78,2985,4891,661,8530,4792,213,154,5167,3180,695,9046,2853,380,76,3307,6055,870,10223,468,985,17,1468,7976,873,10317,83,1011,5,1095,6482,966,8547,20,194,0,218,3263,619,4100,13,5,0,24,1025,240,1291,11120,3451,337,14907,41227,5846,61973,63,377,4,442,3799,464,4705,467,400,16,879,3665,354,4900,3850,548,240,4639,3749,596,8982,5678,372,386,6434,2678,590,9704,2707,1008,145,3861,6441,761,11065,252,2414,18,2686,7477,861,11020,69,1688,9,1763,6211,958,8929,10,269,4,282,3708,797,4783,18,20,3,36,1985,433,2456,13121,7082,821,21024,39706,5815,66545,99,566,5,671,7990,988,9654,695,579,21,1296,7832,749,9873,6474,834,318,7621,8634,1262,17520,10474,585,539,11599,5853,1288,18747,5559,1390,220,7167,12496,1632,21290,720,3396,38,4156,15448,1731,21334,152,2699,12,2860,12693,1918,17469,34,457,6,499,6967,1417,8886,33,25,4,57
202,16,201,0,222,3963,567,4748,240,208,10,453,3757,386,4598,2577,283,68,2934,4558,871,8364,4621,201,163,4978,2947,807,8736,2815,366,95,3271,5659,905,9833,500,1017,22,1537,7741,911,10195,78,975,8,1052,6156,921,8128,14,191,0,210,3232,673,4118,4,9,0,17,1142,297,1457,10863,3459,354,14677,39152,6346,60173,59,366,4,432,3687,508,4627,500,352,28,884,3454,299,4634,3726,569,243,4534,3574,630,8738,5598,364,402,6361,2437,679,9480,2615,965,157,3734,6136,767,10643,264,2416,22,2700,7236,817,10756,67,1552,11,1633,5944,897,8472,15,236,0,251,3679,830,4759,19,17,0,37,1869,590,2500,12865,6837,863,20563,38021,6021,64603,81,573,4,651,7646,1070,9372,741,562,35,1341,7207,689,9235,6304,853,311,7471,8129,1505,17108,10218,563,561,11342,5385,1485,18211,5429,1334,251,7008,11799,1674,20471,759,3431,42,4236,14977,1730,20946,146,2527,17,2686,12102,1813,16603,30,424,0,459,6917,1505,8878,28,24,0,54
203,37,340,11,386,7606,758,8752,305,294,5,607,7686,684,8977,4399,516,109,5023,10167,1447,16643,9693,324,237,10259,5693,1347,17300,5519,543,154,6219,9953,1311,17491,900,1756,25,2675,12888,1218,16783,167,2165,18,2350,9965,1271,13587,32,416,0,454,5599,903,6955,12,24,0,36,2160,475,2667,21069,6381,563,28009,71728,9412,109156,75,636,3,719,6970,677,8363,632,555,37,1227,6696,556,8475,6676,968,401,8042,8385,1016,17444,11305,710,688,12697,4576,964,18239,5378,1451,238,7062,10820,1100,18979,466,4235,37,4737,12341,1246,18329,130,3568,26,3719,9888,1335,14941,35,539,7,586,6722,1239,8547,21,25,3,54,3798,812,4657,24718,12700,1435,38848,70189,8940,117970,107,980,11,1103,14577,1442,17118,944,845,48,1835,14382,1236,17452,11077,1492,506,13068,18549,2469,34086,21000,1036,924,22957,10268,2308,35537,10897,1993,392,13281,20774,2407,36470,1365,5987,61,7411,25233,2464,35106,294,5735,43,6068,19852,2608,28527,70,963,4,1039,12325,2138,15504,36,55,3,90
204,22,214,0,241,4458,681,5382,219,181,7,413,3769,405,4583,2662,311,73,3047,4520,748,8309,4826,234,145,5212,3175,827,9220,2970,429,93,3490,6868,966,11323,523,1067,12,1605,9692,1126,12425,99,1045,3,1143,8191,1102,10432,22,209,0,227,3973,784,4982,10,17,0,28,1349,378,1754,11363,3703,332,15397,45991,7012,68406,53,343,3,402,3862,642,4909,479,327,14,824,2766,329,3914,3999,517,239,4751,3398,664,8811,5959,392,343,6694,2654,712,10058,2725,1077,136,3940,7178,917,12040,256,2543,20,2821,9019,1012,12854,63,1679,6,1747,7479,1150,10378,12,245,0,262,4390,928,5576,18,27,3,51,2186,598,2840,13571,7159,769,21501,42943,6946,71384,75,562,7,645,8323,1326,10287,698,515,25,1236,6536,730,8501,6662,820,307,7793,7918,1405,17119,10789,631,489,11903,5834,1540,19275,5701,1502,229,7435,14045,1882,23366,783,3604,37,4423,18711,2145,25285,162,2720,9,2890,15669,2251,20812,37,458,0,491,8360,1709,10558,31,46,3,76
205,42,346,3,391,6582,1064,8033,396,272,18,688,5503,714,6900,4599,449,138,5195,7192,1422,13812,7287,325,257,7874,4928,1367,14169,4440,667,129,5240,10473,1635,17348,807,1858,26,2695,15011,1781,19485,158,1710,6,1877,13792,1952,17619,28,308,3,340,6937,1360,8637,17,22,3,43,2141,582,2763,17791,5965,585,24343,72556,11873,108772,102,631,5,742,5780,872,7394,893,586,40,1522,4506,609,6639,6845,814,463,8122,5375,1114,14612,8874,613,581,10066,3968,1139,15166,4010,1858,208,6079,11023,1470,18570,412,4400,36,4850,14194,1753,20800,120,2550,19,2691,13068,1922,17673,31,377,3,416,7328,1748,9486,27,41,4,70,3431,985,4489,21318,11873,1353,34549,68669,11605,114826,143,981,10,1133,12360,1934,15423,1294,854,54,2208,10012,1322,13540,11448,1265,605,13314,12567,2539,28423,16160,939,841,17942,8895,2505,29340,8453,2530,333,11322,21493,3099,35918,1219,6261,67,7542,29206,3537,40282,280,4258,24,4568,26858,3871,35293,62,689,9,757,14256,3108,18127,46,61,5,110
206,40,399,3,441,11069,1302,12815,113,455,11,577,26409,2925,29922,4962,1381,47,6392,63237,8084,77711,14368,858,283,15506,25173,4459,45141,9660,522,254,10442,19232,3137,32810,1938,1176,43,3149,18794,2469,24417,277,2266,23,2568,12172,1834,16573,49,742,5,800,6817,1149,8773,19,62,0,79,2964,544,3585,31427,7862,676,39961,185867,25909,251741,48,648,7,700,12631,1416,14754,306,1014,22,1336,31272,3282,35890,8021,2999,197,11222,62969,7934,82124,17312,1847,797,19949,20983,3942,44880,9506,1342,476,11320,19382,2836,33541,923,3436,51,4408,19653,2395,26459,194,4305,24,4528,11603,1809,17939,74,971,3,1048,8746,1386,11181,37,75,0,108,4655,1024,5790,36414,16632,1579,54619,191899,26027,272543,92,1044,6,1142,23703,2726,27570,418,1466,40,1917,57681,6208,65808,12986,4381,246,17616,126205,16017,159836,31679,2703,1078,35459,46158,8401,90017,19164,1869,732,21762,38609,5976,66343,2852,4612,90,7557,38450,4864,50874,479,6569,47,7095,23768,3644,34506,129,1716,12,1852,15571,2537,19956,50,136,0,184
207,45,405,9,458,11132,643,12230,55,284,10,351,13693,720,14761,3361,455,40,3852,18731,1348,23938,11547,294,203,12038,7918,1026,20987,9624,315,157,10097,12103,1169,23376,1816,1141,36,2988,15206,987,19181,315,3003,24,3344,10156,841,14340,76,1100,3,1178,7465,871,9515,7,77,0,89,3448,485,4013,26844,7076,476,34395,99850,8095,142342,28,611,4,650,10839,598,12087,150,532,15,701,12465,640,13803,5412,946,140,6491,16589,1294,24381,15001,683,600,16278,6444,989,23716,10264,836,369,11464,13838,1116,26420,1053,3407,71,4529,15909,1022,21461,290,5292,48,5630,10419,1095,17148,81,1326,16,1424,9284,1193,11908,13,79,0,94,6011,994,7094,32286,13713,1255,47259,101810,8940,158013,77,1017,12,1103,21969,1246,24314,207,821,24,1046,26155,1360,28564,8765,1397,180,10343,35322,2646,48315,26548,970,807,28322,14360,2023,44705,19888,1152,523,21563,25944,2284,49792,2870,4547,101,7519,31120,2006,40646,610,8301,71,8973,20577,1935,31487,160,2427,20,2605,16749,2065,21417,25,152,0,178
208,33,482,7,518,10558,716,11790,91,333,5,428,11578,741,12743,4069,540,57,4663,18871,1625,25156,15056,425,274,15755,10091,1529,27381,11394,403,229,12027,14407,1540,27968,1934,1441,45,3428,17561,1283,22264,257,2945,20,3225,11476,1108,15806,52,914,8,973,6979,898,8859,13,62,0,79,3781,618,4481,32906,7539,644,41095,105299,10051,156447,38,705,5,755,9911,634,11304,204,583,14,801,11147,675,12623,6754,1095,204,8059,17453,1566,27074,18432,904,950,20281,7996,1424,29702,11623,1098,487,13201,15931,1493,30631,948,4098,67,5110,17609,1308,24027,256,5369,47,5673,11273,1292,18237,84,1150,10,1243,9124,1369,11732,20,90,0,104,6644,1310,8064,38352,15096,1782,55232,107090,11070,173391,76,1184,13,1271,20468,1348,23090,295,918,22,1230,22721,1410,25368,10822,1636,261,12715,36322,3191,52231,33488,1327,1229,36042,18091,2960,57088,23014,1500,715,25224,30336,3035,58600,2887,5538,112,8540,35166,2589,46291,517,8314,63,8891,22749,2402,34044,133,2065,19,2215,16108,2264,20587,32,153,0,187
209,56,504,3,574,13245,1192,15007,278,494,21,787,15226,1107,17111,8499,844,111,9452,25818,2496,37769,18523,562,366,19454,13761,2089,35302,10176,631,204,11011,18765,1904,31682,1678,2151,52,3889,20424,1602,25916,241,3261,16,3518,13279,1497,18297,64,786,3,851,7798,1071,9718,20,42,0,61,2835,532,3427,39540,9278,772,49588,131139,13493,194224,80,792,14,881,12184,1099,14170,814,949,38,1795,13920,1024,16738,13601,1560,432,15597,20657,2400,38654,21929,1127,1019,24081,10502,1877,36458,9859,1884,341,12081,19827,1904,33805,854,6103,79,7035,19389,1694,28117,222,5103,30,5360,12934,1664,19953,63,828,5,901,9432,1426,11750,26,59,4,88,4532,1010,5632,47450,18401,1964,67816,123370,14096,205282,139,1298,22,1457,25431,2291,29178,1090,1437,53,2582,29142,2127,33852,22096,2406,546,25047,46470,4899,76421,40453,1692,1384,43530,24268,3967,71765,20030,2512,543,23087,38593,3806,65482,2540,8255,131,10917,39813,3300,54028,464,8368,49,8881,26206,3161,38246,123,1612,9,1751,17228,2491,21466,53,98,4,153
210,47,388,8,442,10417,1024,11887,285,367,4,654,11177,923,12753,6340,638,74,7051,18516,2063,27632,12537,396,217,13148,10311,1717,25176,6940,501,116,7557,14507,1548,23610,1106,1342,38,2487,14203,1295,17990,164,1799,15,1969,9473,1156,12600,49,522,5,581,5810,877,7262,8,34,0,43,2193,348,2587,27469,5991,482,33940,96604,10959,141503,88,677,16,775,9512,946,11237,906,690,33,1629,9316,730,11668,10592,1092,296,11985,13796,1796,27571,15094,782,592,16474,7730,1521,25726,6611,1438,225,8273,14913,1458,24652,584,3854,61,4498,13296,1329,19115,159,3109,25,3300,9516,1306,14124,57,545,4,605,7240,1093,8940,17,37,0,56,3450,561,4063,34119,12225,1253,47588,88768,10745,147096,135,1067,20,1222,19929,1970,23121,1188,1052,38,2280,20488,1650,24425,16931,1734,372,19039,32306,3863,55208,27630,1178,813,29620,18043,3237,50908,13548,1941,342,15831,29420,3007,48264,1695,5193,99,6988,27498,2617,37105,321,4905,39,5272,18984,2465,26721,109,1068,5,1183,13045,1971,16209,27,73,0,98
