SA4_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
201,76798,80690,157485,4794,4527,9318,10031,9615,19651,4948,4705,9654,4971,4900,9873,8530,8982,17520,9046,9704,18747,10223,11065,21290,10317,11020,21334,8547,8929,17469,4100,4783,8886,1291,2456,3745,72104,76222,148322,4696,4466,9163,952,1058,2007,45,59,100,27,27,51,1022,1146,2162,63356,66391,129747,7599,8020,15619,67839,71583,139419,3538,3751,7293,68293,72054,140342,916,952,1873,9182,8771,17953,3495,3519,7013,1508,1819,3328,1647,2865,4506,24155,29976,54132,9581,9919,19499,12362,11126,23480,5686,5068,10755,3943,4004,7952,204,167,373,68997,72815,141815,6460,6613,13068
202,74698,78392,153092,4675,4552,9228,9843,9234,19077,4748,4627,9372,4598,4634,9235,8364,8738,17108,8736,9480,18211,9833,10643,20471,10195,10756,20946,8128,8472,16603,4118,4759,8878,1457,2500,3961,70297,74272,144568,4397,4126,8520,1080,1065,2140,40,37,76,23,30,48,1134,1135,2267,61794,65031,126822,6812,6892,13708,65439,69179,134612,3186,3523,6711,65990,70024,136013,852,808,1656,8827,8345,17170,3339,3435,6769,1204,1671,2877,1345,2589,3930,23045,29025,52067,9086,9233,18325,12004,10884,22889,5424,4857,10279,3767,3760,7531,301,283,585,66925,70644,137565,6578,6575,13146
203,135813,143119,278929,8945,8303,17250,17718,16839,34558,8752,8363,17118,8977,8475,17452,16643,17444,34086,17300,18239,35537,17491,18979,36470,16783,18329,35106,13587,14941,28527,6955,8547,15504,2667,4657,7326,127695,135499,263198,8118,7617,15734,1238,1303,2542,61,46,113,28,26,60,1333,1383,2713,105732,111761,217488,21095,21839,42931,114106,121288,235394,12883,13643,26527,118333,126442,244767,1796,1628,3417,16264,15473,31733,6740,6627,13369,3283,3642,6925,3334,5451,8786,48917,58222,107139,17688,17006,34692,18424,17671,36095,7880,7866,15747,5920,6869,12791,578,678,1257,122520,129884,252401,10135,10443,20581
204,83920,86275,170194,4839,4623,9463,10670,10267,20938,5382,4909,10287,4583,3914,8501,8309,8811,17119,9220,10058,19275,11323,12040,23366,12425,12854,25285,10432,10378,20812,4982,5576,10558,1754,2840,4590,77792,80710,158498,6132,5560,11688,1206,1327,2531,59,48,113,30,27,59,1297,1401,2699,68657,70258,138911,8027,8553,16582,73744,75833,149577,3732,4096,7831,74675,76846,151520,935,957,1893,9661,9279,18945,3766,3583,7351,941,1058,1995,1299,2871,4170,23178,29485,52661,11165,11061,22223,15690,13537,29224,6299,5376,11670,4534,4299,8829,248,226,480,73751,76723,150473,13294,11989,25284
205,133172,138247,271416,7836,7396,15228,16567,16019,32589,8033,7394,15423,6900,6639,13540,13812,14612,28423,14169,15166,29340,17348,18570,35918,19485,20800,40282,17619,17673,35293,8637,9486,18127,2763,4489,7251,123397,129301,252695,9776,8941,18716,1947,1981,3933,68,68,140,51,52,108,2073,2107,4177,106032,109246,215278,15233,16479,31713,116236,121103,237339,5914,6624,12536,117016,122014,239029,1344,1346,2690,14813,14421,29236,5552,5443,10999,1215,1688,2900,1790,4263,6048,34352,44669,79020,18760,18760,37521,24476,21508,45987,10688,9568,20261,7700,7570,15267,436,452,888,117418,122894,240308,12065,12184,24247
206,285795,305884,591679,13684,13343,27028,20368,20002,40368,12815,14754,27570,29922,35890,65808,77711,82124,159836,45141,44880,90017,32810,33541,66343,24417,26459,50874,16573,17939,34506,8773,11181,19956,3585,5790,9372,272287,292125,564409,13513,13762,27273,1171,1126,2301,57,60,118,46,45,93,1272,1231,2502,158383,166711,325095,100520,111762,212282,177437,184383,361824,82719,95802,178518,200389,213803,414197,2733,2654,5382,18291,18133,36418,10665,12495,23160,17310,21224,38536,18476,24233,42714,181321,199525,380852,15625,14615,30244,14097,12731,26822,5510,5469,10979,7355,10217,17575,1904,3236,5135,251284,270847,522126,43105,43637,86739
207,172782,186862,359644,8984,8423,17415,21453,20428,41882,12230,12087,24314,14761,13803,28564,23938,24381,48315,20987,23716,44705,23376,26420,49792,19181,21461,40646,14340,17148,31487,9515,11908,21417,4013,7094,11110,165825,179771,345604,6954,7087,14046,324,285,613,24,26,47,5,8,14,354,317,677,102457,107937,210397,62390,70285,132677,104833,110336,215176,60502,68560,129062,137244,147754,285000,2318,2191,4512,20269,19354,39628,10986,11022,22011,9463,8748,18212,7181,9202,16387,101775,109667,211445,11150,12546,23697,10266,11827,22090,5023,5602,10624,4865,7197,12058,1171,1597,2767,161043,173619,334661,9177,11073,20247
208,194086,209615,403707,11829,11516,23346,25810,24706,50515,11790,11304,23090,12743,12623,25368,25156,27074,52231,27381,29702,57088,27968,30631,58600,22264,24027,46291,15806,18237,34044,8859,11732,20587,4481,8064,12538,185441,201351,386791,8643,8268,16915,462,494,956,38,27,66,12,10,24,516,536,1050,125793,133961,259756,57907,64553,122457,140373,149298,289673,44058,50020,94079,160521,173081,333595,3070,2900,5974,24266,23247,47515,10215,10045,20263,7098,7445,14547,5981,8843,14822,105283,116530,221811,14879,15746,30631,14334,15246,29577,5971,6236,12203,5120,7085,12206,788,1080,1864,180069,194038,374103,10135,12446,22587
209,243480,251875,495353,17659,16914,34572,31595,29679,61271,15007,14170,29178,17111,16738,33852,37769,38654,76421,35302,36458,71765,31682,33805,65482,25916,28117,54028,18297,19953,38246,9718,11750,21466,3427,5632,9057,234692,243330,478019,8790,8541,17332,1689,1803,3493,60,65,117,43,53,96,1787,1918,3706,156726,161987,318712,72020,74307,146326,151561,155766,307322,79290,83015,162307,201253,208780,410034,3374,3349,6731,29059,27289,56350,11986,11847,23835,7870,7992,15863,8100,11239,19336,108593,118879,227471,22517,21054,43569,24815,22322,47141,10893,10275,21167,11426,14703,26136,2319,3211,5527,227679,235249,462934,13385,14572,27948
210,180073,183294,363371,13670,12785,26454,24894,23417,48313,11887,11237,23121,12753,11668,24425,27632,27571,55208,25176,25726,50908,23610,24652,48264,17990,19115,37105,12600,14124,26721,7262,8940,16209,2587,4063,6650,173855,177530,351386,6219,5762,11985,993,1049,2040,82,66,148,29,30,65,1105,1151,2249,108958,111550,220510,59139,59713,118853,99010,100419,199430,70739,72702,143441,146790,151340,298134,2340,2217,4559,22313,21036,43354,9139,9214,18346,4980,4787,9760,5298,7452,12747,72006,77557,149563,16880,15914,32797,20124,17866,37986,8979,8289,17270,10176,12640,22816,2288,3505,5795,168866,171776,340641,9921,10329,20256
