SA4_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
201,4058,57,14,0,0,0,0,580,4705,3862,373,177,36,8,0,4,448,4900,2461,781,579,222,55,5,14,323,4445,1342,884,1246,511,163,41,25,323,4541,877,648,1515,850,299,74,55,280,4583,798,623,1692,1072,405,130,80,330,5121,818,623,1832,1160,429,134,109,357,5460,836,574,1826,1228,525,153,100,369,5606,794,534,1734,1335,533,149,90,427,5597,680,504,1788,1262,554,159,84,392,5424,497,368,1645,1278,601,216,121,402,5127,333,249,1026,901,532,222,165,363,3797,224,135,588,648,455,226,199,301,2771,153,104,366,391,343,203,213,238,2012,197,168,496,480,319,191,240,362,2456,17931,6632,16512,11364,5228,1899,1490,5496,66545
202,3951,45,15,3,0,0,0,619,4627,3609,398,164,46,10,6,3,399,4634,2399,753,563,205,53,12,7,348,4349,1267,879,1170,539,138,41,27,331,4388,805,679,1490,837,260,93,48,311,4514,696,656,1679,1030,367,107,67,361,4959,754,659,1710,1081,430,118,80,354,5174,763,585,1785,1192,489,151,98,396,5468,718,558,1716,1319,566,158,112,386,5531,602,445,1704,1261,554,152,90,420,5221,469,359,1621,1266,544,180,79,387,4899,334,209,968,946,477,166,117,356,3570,228,157,574,646,456,199,183,325,2768,138,107,355,429,335,163,190,273,1994,183,169,453,472,323,172,218,511,2500,16926,6649,15973,11272,4997,1709,1324,5766,64603
203,7361,55,15,0,0,0,3,932,8363,6956,536,201,40,8,0,0,738,8475,5374,1293,815,266,67,16,3,614,8446,3143,1941,2240,814,224,73,34,534,8999,1694,1402,3052,1510,410,87,65,424,8648,1387,1251,3620,1958,573,174,106,515,9590,1289,1166,3621,1946,666,169,108,538,9496,1266,1026,3438,2103,760,195,117,570,9479,1184,924,3291,2313,817,191,109,569,9405,933,787,3269,2242,837,182,82,577,8920,739,636,3181,2213,804,264,120,617,8564,493,418,2051,1768,778,250,155,455,6371,304,264,1242,1245,773,303,274,426,4837,215,220,862,909,581,256,252,407,3707,325,371,1061,960,666,304,313,660,4657,32655,12287,31970,20299,7966,2472,1741,8574,117970
204,4143,40,11,4,0,0,0,705,4909,2924,376,186,52,3,0,0,380,3914,2168,791,647,201,64,15,6,325,4219,1263,891,1282,583,154,45,25,355,4594,783,615,1602,924,308,87,61,346,4729,762,614,1846,1165,397,112,72,365,5333,739,657,1983,1301,467,154,93,434,5820,807,580,2128,1448,532,154,90,481,6217,828,636,2164,1582,662,199,95,448,6607,657,560,2049,1566,644,177,96,502,6251,540,440,1945,1534,653,193,118,483,5901,396,272,1274,1178,607,180,166,412,4477,249,161,703,761,549,258,201,325,3217,157,123,432,543,380,207,193,322,2361,176,174,530,548,455,226,237,500,2840,16590,6924,18775,13387,5873,2009,1452,6376,71384
205,6248,111,12,3,3,0,0,1017,7394,4845,703,313,79,9,3,4,680,6639,3534,1347,1090,405,101,24,3,588,7086,1904,1409,2132,1045,336,84,55,560,7522,1085,999,2314,1427,536,151,110,522,7149,1062,910,2705,1767,660,203,130,587,8022,1116,924,3004,2065,789,228,145,661,8932,1174,906,3178,2280,906,295,156,748,9638,1230,897,3302,2606,1093,309,180,825,10443,1081,775,3469,2633,1092,312,177,818,10355,848,686,3389,2591,1174,348,189,870,10098,491,469,2216,2026,1050,372,259,690,7574,361,276,1193,1462,932,390,333,604,5549,218,187,729,911,712,338,320,529,3937,294,283,841,870,720,366,403,706,4489,25493,10875,29883,22166,10124,3424,2456,10407,114826
206,12722,30,5,0,0,0,5,1979,14754,31257,315,74,24,4,0,11,4200,35890,37320,1564,396,119,44,13,14,5170,44636,26275,4751,1854,362,117,45,39,4043,37488,12520,4313,4309,1010,222,48,64,2403,24898,7568,3163,5125,1755,373,84,72,1841,19981,6014,2863,5164,1864,446,101,96,1605,18159,4621,2403,4518,1815,462,111,71,1372,15379,4004,2071,4081,2000,569,141,106,1312,14292,2927,1682,3671,1882,631,130,102,1129,12170,1980,1288,3456,1862,652,199,118,965,10523,1071,763,2423,1504,600,174,146,733,7410,695,585,1904,1398,616,218,215,634,6264,475,453,1410,1025,510,214,245,585,4916,620,623,1368,990,561,316,371,935,5790,150088,26870,39764,17623,5813,1798,1683,28900,272543
207,10918,17,0,0,0,0,3,1144,12087,12440,157,29,9,3,0,7,1170,13803,10510,992,294,53,3,3,0,1022,12880,5968,2745,1720,293,48,14,7,713,11501,2865,2357,4001,1204,177,35,13,548,11203,2037,2232,5187,2070,369,66,26,534,12513,1921,2226,5895,2481,497,100,31,578,13736,1777,2130,5200,2361,522,96,42,558,12684,1590,1931,4462,2223,576,109,46,555,11495,1459,1595,3684,1983,589,116,54,484,9962,1149,1100,3619,2103,664,166,66,507,9378,838,665,2884,1944,676,179,102,481,7766,692,461,2155,1685,768,251,180,453,6642,502,372,1451,1290,728,265,208,453,5259,786,611,1820,1434,883,330,340,888,7094,55460,19591,42404,21122,6489,1730,1124,10088,158013
208,10166,16,5,0,0,0,0,1112,11304,11322,177,42,9,5,0,0,1066,12623,10601,1107,342,54,30,3,3,1043,13189,6963,3354,2187,381,68,20,18,884,13884,3617,2799,4991,1486,256,41,43,723,13947,2813,2484,6397,2681,475,87,51,775,15758,2673,2530,6847,2873,576,109,77,805,16491,2379,2191,5558,2521,578,124,67,722,14140,2084,1960,4827,2429,668,154,76,691,12898,1770,1549,4216,2082,656,156,74,630,11130,1344,1332,4129,2099,623,174,71,593,10361,886,751,3032,1777,615,188,79,543,7874,625,581,2103,1479,675,218,161,533,6374,506,474,1527,1288,645,241,207,475,5357,757,863,2190,1726,879,334,335,978,8064,58508,22174,48385,22902,6743,1854,1269,11557,173391
209,12448,48,9,0,0,0,0,1667,14170,14155,725,242,48,8,3,4,1556,16738,12256,2844,1406,370,75,23,9,1511,18498,7670,5139,4339,1238,279,74,47,1358,20154,4078,3452,6584,2447,623,139,106,1003,18447,3051,2597,7127,3130,815,255,132,915,18017,2688,2233,7046,3261,983,236,166,966,17575,2292,1998,6477,3207,937,238,169,899,16226,1731,1709,5837,3385,1114,290,181,827,15070,1258,1352,4933,3202,1099,279,168,760,13050,913,982,4383,2902,1060,280,207,787,11524,545,624,2967,2210,898,343,237,614,8430,393,433,2012,1694,901,314,322,557,6626,287,330,1397,1268,684,307,343,520,5129,342,473,1349,1203,663,363,394,841,5632,64101,24933,56122,29546,10147,3145,2490,14795,205282
210,9604,62,6,0,0,0,3,1566,11237,9430,750,302,55,4,0,3,1119,11668,7993,2220,1406,467,133,23,14,1131,13381,4673,3330,3317,1250,464,134,66,959,14189,2492,2224,4471,1942,698,234,135,836,13040,1958,1682,4550,2421,860,308,212,708,12685,1793,1477,4707,2571,949,329,238,769,12831,1495,1355,4210,2524,993,297,260,681,11824,1230,1026,3660,2329,893,272,259,650,10319,816,848,3082,2101,828,291,238,589,8801,572,619,2827,2058,844,285,254,608,8067,384,424,1972,1517,743,276,259,472,6053,258,315,1411,1244,689,299,306,457,4980,165,275,1023,937,567,260,317,415,3961,244,363,971,868,459,263,346,547,4063,43106,16959,37925,22272,9129,3270,2921,11514,147096
