SA4_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
201,218,2838,145,907,335,118,18,89,29,4697,250,2027,45,518,223,94,8,53,26,3235,664,748,112,315,1813,484,26,157,46,4378,295,987,95,1731,521,248,11,217,41,4145,101,275,63,112,124,130,8,42,5,868,131,39,468,322,236,220,15,160,18,1608,0,5,0,6,7,6,0,7,3,36,33,80,16,50,70,19,4,16,3,295,43,74,36,106,95,80,9,99,64,593,1933,7508,1219,4196,3658,1514,134,992,243,21391,154,419,112,67,91,36,13,50,20,960,173,449,151,40,121,49,24,51,15,1080,835,656,2907,186,222,209,775,661,129,6581,512,127,2001,67,61,98,190,327,22,3403,568,203,341,62,111,82,104,218,21,1718,312,3688,207,1157,371,138,38,130,40,6081,434,2873,91,623,269,128,49,95,40,4606,1595,1511,314,475,2136,811,161,331,92,7423,458,1462,172,2224,627,307,79,327,69,5719,174,537,167,175,165,188,36,117,14,1577
202,261,3041,149,901,372,154,11,96,39,5032,290,2014,45,512,270,98,10,71,14,3330,633,682,83,263,1501,412,26,153,36,3790,293,1029,96,1739,472,229,34,236,46,4173,103,300,56,104,129,110,6,45,3,854,137,43,485,284,204,212,12,165,14,1554,3,9,0,0,3,0,0,6,0,21,43,106,16,27,57,28,4,14,7,306,62,73,39,120,103,71,7,91,54,623,2105,7783,1188,4071,3378,1424,155,1035,241,21388,195,435,109,63,100,38,11,50,6,1016,149,396,141,34,95,36,24,64,17,961,870,778,2869,216,264,234,707,662,78,6674,545,198,1884,74,97,102,211,313,32,3464,641,239,344,75,115,77,142,268,23,1924,356,3889,220,1153,402,178,33,134,54,6406,478,2843,101,633,308,144,54,112,32,4708,1415,1412,221,383,1847,684,153,351,77,6545,517,1554,168,2271,567,293,93,378,55,5884,173,565,167,142,159,153,39,112,11,1515
203,404,5432,346,1562,724,265,39,141,65,8983,453,3828,60,920,449,161,12,69,30,5987,1346,1442,184,722,3283,994,67,266,101,8393,573,1845,161,3475,970,459,56,308,83,7927,202,707,120,206,290,262,20,71,21,1896,250,94,917,625,415,395,31,244,42,3009,0,10,3,10,3,9,0,6,4,41,57,154,30,93,128,47,3,21,12,545,69,100,66,171,145,140,20,107,116,937,3720,14717,2378,8105,6920,3052,299,1481,499,41178,348,1092,311,207,216,152,41,138,29,2531,321,803,263,79,168,95,79,85,33,1928,1614,1814,5231,464,470,463,1199,1254,175,12682,1037,526,4285,220,217,242,357,763,95,7745,448,319,623,118,162,141,152,269,34,2268,601,7049,465,1975,800,331,106,243,95,11660,755,5304,170,1110,516,216,88,134,49,8339,3276,3108,547,1044,4016,1619,415,597,181,14817,948,2728,362,4418,1196,607,173,516,121,11068,333,1259,283,300,364,383,79,175,29,3215
204,324,2842,176,1041,373,154,24,128,25,5085,380,2028,37,541,247,76,17,56,17,3403,774,659,118,369,2001,560,51,215,52,4804,346,860,98,2054,490,241,22,262,35,4405,75,185,62,79,109,78,9,56,10,657,222,45,595,371,262,283,20,208,18,2019,0,10,0,0,3,3,0,6,4,26,37,45,15,46,49,17,7,17,3,245,85,78,49,136,136,105,25,131,67,818,2585,7215,1428,4808,3990,1657,208,1285,254,23447,221,387,118,78,91,46,21,57,13,1038,93,190,108,45,106,43,33,46,9,668,1231,704,3874,254,313,297,1038,898,129,8738,683,129,1971,93,88,77,253,405,47,3742,926,324,497,115,165,157,186,422,48,2829,449,3504,226,1333,412,176,49,179,38,6360,611,2749,95,676,284,104,63,107,31,4720,1731,1207,292,529,2303,836,250,385,88,7628,572,1194,171,2577,562,297,83,365,58,5881,138,292,123,115,127,120,35,112,11,1080
205,409,3856,273,1401,499,206,28,167,43,6878,435,3207,58,859,349,132,11,88,35,5166,1003,833,157,505,2723,752,55,300,67,6391,501,1189,125,3197,733,348,29,342,63,6533,110,289,75,126,163,96,12,60,15,947,274,64,863,539,437,390,18,312,23,2921,3,3,4,4,4,4,0,10,3,39,53,87,17,51,68,28,3,29,7,345,132,101,63,233,179,188,21,165,105,1180,3390,10183,2001,7148,5565,2367,231,1789,387,33066,257,465,117,104,130,75,28,71,15,1269,173,292,178,37,116,60,31,58,15,961,1803,1107,6676,328,438,407,1719,1346,212,14051,1018,176,3188,127,127,164,511,867,102,6276,1207,365,596,163,204,161,280,581,23,3588,546,4795,346,1688,529,225,60,214,54,8470,718,4238,158,984,414,160,61,151,60,6939,2055,1627,401,666,3084,1132,247,530,113,9853,751,1702,223,3946,867,413,92,475,82,8563,197,463,182,172,204,142,47,113,25,1552
206,1017,13029,258,1935,1196,419,22,166,126,18167,1132,7832,118,1094,878,275,12,91,81,11515,7736,10320,492,2126,7144,2822,90,674,402,31803,3347,12320,392,3583,3850,1174,55,352,302,25380,2085,6801,731,1428,1847,1655,59,281,166,15053,651,263,1443,1122,784,544,13,221,46,5086,19,23,4,32,21,20,0,15,3,149,592,1136,104,303,574,260,12,60,95,3140,169,408,68,247,269,157,13,105,340,1776,19121,60549,4797,12869,18398,8254,351,2391,1753,128476,1967,6234,691,726,1034,519,97,290,136,11701,2225,7292,900,362,798,460,151,358,207,12757,3801,8640,4488,765,1293,898,710,1224,249,22067,1978,4820,3686,359,690,426,168,521,120,12767,522,823,600,206,329,181,63,215,50,2990,1563,18999,454,2748,1373,573,88,299,190,26293,1708,10730,221,1371,1080,383,59,186,122,15861,16707,21457,1526,3536,10733,5609,592,1603,897,62661,5901,20462,873,5318,5401,1859,281,796,567,41452,3408,12542,1792,2300,2579,2487,310,754,266,26439
207,615,8038,188,1151,898,285,11,75,81,11336,661,4581,54,786,707,214,18,71,40,7133,3689,5471,240,1006,5076,1636,48,294,219,17692,1196,4288,210,1896,1661,526,28,183,117,10110,485,1585,173,302,563,433,12,76,36,3659,283,105,559,479,400,309,17,109,19,2274,16,9,4,20,8,11,0,11,0,76,227,377,28,104,281,123,3,34,26,1207,107,168,30,104,124,114,9,31,161,845,8506,28189,2083,6330,10937,4250,190,1100,821,62423,1188,2901,410,341,662,390,74,179,84,6218,1550,4069,642,224,673,392,129,226,124,8030,2953,4676,2924,392,869,721,482,715,199,13933,1131,1244,2048,134,315,228,77,251,65,5499,238,273,354,56,118,74,32,108,17,1275,895,12130,291,1564,987,378,48,144,120,16560,990,5882,113,932,780,282,40,122,64,9198,9740,12372,787,1589,7171,3381,377,822,475,36712,2375,7455,411,2592,2203,845,124,339,226,16568,852,2816,466,470,736,685,82,215,72,6387
208,713,7846,251,1611,967,296,28,93,75,11879,827,6329,112,1008,899,271,18,79,66,9601,4334,5762,270,1189,5874,1804,72,310,196,19813,1489,5044,201,2702,2063,613,40,223,121,12480,617,2034,217,325,626,566,24,66,43,4511,367,167,861,658,575,453,29,159,40,3315,9,11,0,10,14,4,3,4,0,57,255,493,58,144,331,170,8,33,33,1527,104,185,41,118,208,148,14,56,201,1068,10060,31560,2702,8235,12842,4893,290,1265,902,72738,1318,3082,393,309,623,383,67,142,96,6411,1721,4127,604,194,666,399,112,218,126,8163,3538,4686,4621,430,978,704,786,890,236,16869,1626,1320,3699,127,380,284,173,407,88,8102,318,285,556,62,177,113,45,170,25,1763,1088,11064,381,2110,1072,388,82,171,126,16482,1292,8075,198,1199,980,371,58,120,81,12364,11487,12742,881,1835,8074,3793,471,792,477,40545,2957,8410,433,3720,2669,976,170,404,238,19968,1086,3608,573,511,858,891,111,221,85,7944
209,538,8146,389,2269,999,381,43,174,76,13027,665,6351,101,1508,745,270,27,114,59,9840,2572,3686,309,1342,6724,1792,142,562,209,17333,1127,3940,250,5221,2273,801,61,423,151,14256,440,1518,256,347,638,528,33,107,28,3896,461,179,1364,996,879,715,67,343,45,5043,7,5,4,10,19,11,3,21,3,91,163,341,51,192,312,126,12,53,31,1285,114,179,91,319,345,251,35,139,245,1712,6969,27420,3762,12793,14182,5502,547,2374,947,74499,884,2867,617,404,640,373,134,251,78,6244,1222,3292,863,326,740,432,342,426,114,7754,3386,4146,9123,708,1252,942,2133,1903,293,23892,1382,919,6500,164,384,310,477,873,131,11146,304,361,781,125,224,147,145,326,35,2451,854,10473,580,2956,1143,471,152,314,120,17046,1027,8277,253,1728,855,355,108,228,80,12919,6699,7784,1046,2104,8929,3315,1175,1400,408,32866,2004,5942,536,6798,2892,1143,344,801,230,20691,802,2870,734,578,906,800,187,325,66,7262
210,288,4021,223,1398,563,234,26,134,43,6930,401,4042,56,1181,447,180,19,81,39,6458,1640,2185,205,955,4531,1285,139,426,149,11507,588,1920,166,3676,1436,516,72,304,106,8788,214,590,117,190,351,292,20,59,27,1861,249,92,901,647,559,499,53,297,26,3318,4,9,3,11,10,9,3,15,3,62,78,187,35,151,202,67,12,45,21,808,104,149,54,251,279,170,22,118,148,1288,4072,14784,2374,8890,9193,3643,446,1776,632,45818,447,1280,389,235,387,208,106,155,49,3252,686,1965,522,253,525,252,297,281,88,4856,2141,2575,7001,489,925,649,1944,1512,232,17464,905,413,4299,150,237,168,395,642,79,7280,196,134,505,76,127,84,122,198,28,1467,436,5125,310,1774,639,299,129,251,66,9013,648,5197,133,1341,535,229,109,154,55,8399,4160,4646,764,1494,6117,2222,1193,1124,323,22049,1047,2842,367,4714,1807,724,382,577,175,12633,389,1130,346,300,475,452,114,181,48,3431
