SA4_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
201,212,54,89,5,355,139,26,42,14,222,121,52,197,6,380,70,26,288,4,387,814,114,577,40,1544,509,213,888,35,1637,2705,414,938,58,4117,1497,731,839,72,3131,1729,1272,737,64,3812,1549,1487,497,58,3591,937,1459,340,40,2771,955,1334,243,21,2556,1766,2528,250,45,4591,936,1630,94,14,2671,464,1006,37,9,1514,258,526,54,3,839,499,1090,40,6,1641,1013,1936,626,26,3609,393,167,176,17,758,16578,16082,6945,532,40141
202,154,49,74,4,284,157,22,58,10,248,97,36,187,7,335,49,17,290,5,367,736,149,440,27,1351,413,166,824,28,1439,2427,382,881,77,3769,1448,701,829,78,3056,1841,1171,777,85,3869,1654,1463,536,62,3720,959,1414,369,39,2784,940,1363,234,36,2577,1747,2470,286,39,4547,943,1746,93,15,2799,531,986,29,5,1551,258,621,40,0,916,527,1018,45,7,1599,1023,1839,678,29,3576,378,144,142,16,676,16291,15748,6826,602,39465
203,351,95,160,18,621,215,56,104,11,388,187,82,322,23,612,110,53,402,17,582,1308,214,778,39,2341,712,320,1297,34,2362,3862,635,1312,95,5909,2406,1022,1337,114,4877,2937,1887,1380,126,6332,2661,2373,969,122,6122,1536,2510,686,62,4797,1716,2639,504,69,4930,3349,5150,650,88,9243,2025,3688,205,40,5966,1034,2297,78,19,3423,573,1408,100,6,2090,1184,2843,95,11,4132,1810,3753,1081,49,6704,663,339,288,27,1313,28647,31365,11767,977,72747
204,236,46,83,12,371,178,30,72,5,282,131,38,214,16,397,82,37,335,4,461,953,124,529,17,1623,530,206,821,24,1580,3021,378,826,62,4278,1819,729,829,69,3448,2182,1308,734,76,4300,1951,1623,538,59,4173,1199,1512,337,29,3075,1252,1492,245,24,3017,2115,2632,288,37,5075,1142,1892,106,22,3160,563,973,30,3,1573,238,551,44,0,831,548,848,36,4,1433,1404,2253,681,34,4376,526,201,179,23,931,20082,16859,6926,518,44389
205,436,108,134,13,688,327,44,103,10,490,241,96,365,18,712,149,48,578,9,784,1773,264,927,55,3022,987,330,1517,36,2870,5352,727,1415,89,7591,3015,1313,1306,134,5768,3478,2193,1230,110,7013,2944,2478,750,84,6250,1665,2298,506,37,4514,1827,2250,386,42,4509,3038,3782,396,60,7276,1590,2528,156,25,4304,878,1384,38,7,2296,505,884,80,3,1472,955,1694,70,7,2725,2147,3599,1124,43,6910,905,335,296,21,1554,32201,26368,11382,801,70749
206,1277,254,531,574,2637,401,103,255,134,894,363,185,677,161,1389,227,91,583,70,968,1539,361,808,223,2932,897,442,1103,177,2619,3203,715,1218,337,5479,2253,1031,1340,403,5020,3332,1647,1569,536,7080,3705,1841,1118,473,7137,2981,1918,931,320,6159,3583,2040,808,277,6705,8864,5051,1294,562,15768,7314,4350,483,374,12516,5253,3644,209,205,9313,4204,3595,565,123,8492,10355,12325,430,206,23324,5026,5025,1509,151,11713,654,405,348,68,1475,65437,45035,15776,5375,131624
207,1015,381,756,149,2295,417,131,208,53,814,272,182,344,70,873,164,132,317,33,650,1234,292,457,69,2049,722,486,704,72,1980,2775,744,808,139,4461,2046,1168,982,172,4362,2656,1822,1190,207,5879,2522,1969,943,197,5628,1540,2034,782,125,4482,1758,2212,667,115,4748,3637,5069,1119,218,10043,2672,4346,497,108,7625,1810,3509,224,50,5597,1288,3446,408,36,5180,3624,13076,395,59,17160,2165,6010,1203,72,9452,571,430,178,25,1200,32890,47447,12198,1952,94492
208,665,220,393,51,1328,330,98,114,48,597,216,106,313,39,679,135,72,327,24,558,1152,181,559,57,1956,643,329,874,59,1906,3082,586,979,126,4775,2068,923,1263,165,4417,2828,1709,1401,198,6133,2770,2046,1151,187,6160,1843,2201,1016,114,5178,2144,2607,829,120,5709,4648,6122,1318,218,12301,3582,5482,453,121,9639,2237,4540,214,73,7062,1796,4398,424,28,6640,4260,14309,391,47,18999,2443,6307,1510,72,10340,699,521,229,44,1489,37562,52754,13766,1795,105881
209,1032,380,422,55,1885,408,147,189,39,781,331,253,524,69,1181,193,160,603,22,973,2047,608,1044,98,3799,938,921,1713,112,3676,5248,1583,1919,205,8966,2929,2531,2065,248,7774,3630,4206,2204,253,10285,3569,4708,1811,252,10332,2287,4971,1419,145,8824,2588,4996,1058,177,8827,5272,10447,1441,253,17411,3529,7691,612,121,11957,1976,5052,282,54,7357,1156,3387,252,20,4813,1887,7183,236,36,9346,2490,7139,1972,100,11695,890,775,472,43,2177,42396,67140,20235,2309,132078
210,674,398,324,37,1435,293,130,151,26,602,242,280,468,39,1030,152,196,527,12,891,1619,829,865,61,3372,719,1031,1277,61,3096,4012,1671,1490,137,7305,2077,2498,1698,186,6451,2524,3652,1737,226,8142,2336,3878,1366,141,7726,1546,3701,1028,127,6398,1645,3660,756,124,6187,3428,7186,1061,151,11829,2165,4870,521,102,7656,1199,3245,170,39,4650,735,2247,152,21,3155,1010,4020,184,16,5230,1648,5268,1501,78,8495,771,619,385,41,1816,28791,49380,15660,1623,95452
