SA4_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
201,11,0,0,10,9,4,8,24,68,0,89,0,6,0,6,0,0,3,15,25,0,42,6,29,8,46,18,21,33,82,108,0,197,5,53,6,64,21,24,44,109,181,0,288,15,127,10,160,34,53,85,246,332,0,577,42,292,21,347,36,78,111,459,424,3,888,118,267,26,413,18,25,43,458,478,4,938,175,250,17,437,16,21,35,474,365,0,839,213,204,17,437,10,24,34,467,272,3,737,201,128,10,345,8,7,13,351,140,3,497,167,70,12,240,0,3,7,248,93,0,340,142,39,5,187,3,0,5,191,47,0,243,152,44,16,204,0,0,0,206,48,0,250,53,9,3,71,0,0,0,67,20,0,94,25,8,4,35,0,0,0,35,3,0,37,23,4,0,33,0,0,3,37,14,0,54,25,3,0,26,0,0,0,26,15,0,40,191,143,18,358,17,22,42,398,213,19,626,14,14
202,3,3,3,10,3,5,7,16,59,0,74,0,10,0,16,4,7,11,25,26,0,58,3,37,3,41,18,18,41,83,111,0,187,5,52,6,67,26,15,44,109,182,3,290,18,117,10,149,22,25,50,195,249,0,440,53,281,28,353,28,43,79,429,392,3,824,108,282,26,417,20,21,41,455,420,4,881,177,249,14,446,9,13,21,470,359,3,829,239,222,21,480,7,18,27,505,264,3,777,221,131,20,371,3,3,5,378,161,3,536,205,74,11,291,5,0,5,293,79,0,369,123,51,5,182,3,0,4,188,41,0,234,158,55,6,220,5,0,4,220,58,3,286,56,17,3,73,0,0,0,72,19,0,93,16,9,0,25,0,0,0,24,4,0,29,24,5,0,26,0,0,0,27,15,0,40,23,8,0,32,0,4,5,33,12,0,45,210,186,24,420,9,18,25,442,222,11,678,17,19
203,9,4,3,13,13,8,17,38,120,0,160,4,29,3,31,7,7,17,49,50,0,104,4,65,12,80,23,30,54,131,189,0,322,12,92,12,117,25,29,56,170,232,0,402,32,213,17,263,55,35,95,355,423,0,778,78,463,46,582,61,69,131,710,587,6,1297,169,427,25,629,30,32,71,698,610,6,1312,266,428,41,729,20,37,50,780,551,3,1337,417,422,30,867,21,17,38,909,469,8,1380,399,235,28,664,15,8,29,694,271,4,969,348,155,21,521,6,3,7,530,156,6,686,291,88,14,392,7,6,6,402,98,3,504,399,98,18,518,5,6,9,529,123,3,650,137,28,3,164,0,0,0,165,37,0,205,52,14,0,59,0,0,0,59,17,0,78,61,15,0,78,0,0,0,80,19,0,100,58,12,3,72,3,0,4,75,20,0,95,345,271,31,648,22,22,45,691,379,14,1081,30,27
204,3,3,0,12,9,3,8,18,62,0,83,8,20,0,23,0,3,6,33,39,0,72,5,54,9,66,20,10,35,96,119,3,214,11,74,11,104,16,20,40,136,195,0,335,15,135,16,168,30,37,65,234,287,5,529,60,299,25,378,35,37,65,448,367,3,821,121,278,21,417,23,17,39,463,361,3,826,187,268,28,482,16,14,27,516,306,7,829,269,200,24,487,11,11,20,506,222,3,734,243,116,12,365,10,9,14,378,162,3,538,184,63,16,260,0,0,0,260,76,0,337,145,44,9,197,4,0,6,200,46,0,245,162,43,8,216,3,3,9,219,61,0,288,66,13,3,80,0,0,4,83,24,0,106,15,5,5,18,0,0,0,25,4,0,30,19,9,0,26,0,0,0,30,17,0,44,19,3,0,21,0,0,0,21,20,0,36,212,201,16,422,21,5,32,455,220,10,681,8,19
205,7,8,0,15,10,9,15,32,104,0,134,4,22,0,28,11,6,23,46,54,0,103,13,72,6,97,44,23,65,162,195,9,365,6,123,16,147,35,44,81,229,347,3,578,41,256,13,307,59,76,136,438,483,5,927,94,485,44,624,68,98,171,796,708,9,1517,177,432,34,642,32,48,83,721,685,7,1415,272,410,37,720,24,13,41,756,542,10,1306,341,310,48,690,18,29,42,737,484,3,1230,304,189,23,511,8,5,9,526,221,3,750,239,123,29,381,4,5,12,390,115,5,506,222,56,18,303,0,0,0,302,80,3,386,226,69,12,310,3,3,9,316,78,3,396,83,28,3,116,0,0,0,114,44,0,156,21,0,0,27,0,0,0,27,11,0,38,38,12,3,49,3,0,3,52,30,0,80,37,11,0,45,3,0,4,47,22,0,70,310,292,44,647,48,11,60,709,396,26,1124,19,22
206,16,15,0,34,28,29,58,91,439,0,531,10,24,4,45,23,16,38,86,168,7,255,24,97,14,133,51,71,119,248,423,3,677,20,100,10,128,32,41,75,195,377,0,583,36,160,13,200,47,44,91,296,510,3,808,95,340,22,451,43,66,109,561,541,0,1103,131,365,30,524,25,31,58,580,634,7,1218,245,363,30,639,24,27,52,688,641,6,1340,375,415,30,811,14,24,36,846,709,9,1569,392,275,21,690,17,18,32,721,393,7,1118,444,189,24,653,7,8,13,672,261,3,931,418,123,24,557,4,11,13,570,234,0,808,754,184,23,966,14,6,17,984,309,3,1294,244,70,15,325,0,0,0,321,159,0,483,111,40,6,162,0,0,0,161,42,0,209,401,72,21,488,10,3,17,504,66,0,565,280,56,10,346,0,0,0,346,88,0,430,503,266,35,801,30,29,64,868,614,35,1509,39,25
207,27,28,7,59,34,34,74,128,619,3,756,15,46,3,60,6,11,23,82,124,0,208,24,92,3,125,17,25,40,166,180,0,344,31,82,12,125,13,13,24,152,168,0,317,36,121,4,165,25,21,43,209,248,0,457,81,248,10,343,18,25,41,379,325,0,704,117,264,18,400,16,20,38,438,367,3,808,201,301,19,523,10,16,25,549,431,4,982,366,345,19,732,12,16,32,756,426,4,1190,337,234,22,605,9,9,19,619,317,0,943,329,170,13,515,13,4,15,532,249,3,782,290,141,18,446,5,3,13,457,212,0,667,612,179,27,820,17,5,25,845,281,0,1119,241,69,9,330,4,3,5,336,161,3,497,130,32,3,168,0,3,3,172,51,0,224,273,65,8,349,7,0,6,356,52,0,408,235,60,5,300,3,0,3,297,101,0,395,411,258,37,700,21,16,36,734,426,34,1203,17,14
208,10,23,7,39,34,15,46,88,300,5,393,15,29,7,49,10,10,14,69,51,0,114,11,90,4,101,22,30,49,153,160,0,313,14,96,9,119,15,17,31,149,175,0,327,32,145,10,192,26,27,49,239,317,0,559,65,344,18,425,21,34,60,482,390,3,874,132,359,17,511,18,19,42,550,423,4,979,265,443,23,730,17,28,37,772,483,3,1263,415,390,35,841,11,29,42,881,517,8,1401,463,304,21,785,14,17,23,815,335,3,1151,514,222,25,757,7,6,18,776,238,0,1016,431,164,18,615,3,8,10,628,203,3,829,785,216,29,1036,12,4,19,1052,262,3,1318,229,62,12,303,3,0,4,307,143,0,453,126,29,5,169,0,0,0,169,46,0,214,313,62,9,382,8,0,7,391,30,0,424,249,47,16,309,3,0,3,312,73,0,391,558,370,48,974,25,18,44,1023,467,26,1510,40,24
209,8,11,9,34,30,29,60,93,324,0,422,8,35,3,52,14,19,34,80,110,3,189,12,85,3,98,42,45,87,184,334,3,524,19,136,8,163,31,39,68,229,374,0,603,33,253,34,320,45,59,102,424,614,5,1044,107,552,50,704,52,87,133,839,863,4,1713,261,587,39,885,38,45,88,974,940,5,1919,493,591,45,1132,28,25,49,1184,878,8,2065,663,550,51,1268,43,24,60,1330,863,10,2204,689,408,43,1137,25,16,46,1179,621,5,1811,651,268,29,950,9,12,26,977,441,0,1419,518,217,22,752,7,5,10,762,298,3,1058,816,217,35,1063,5,3,11,1077,362,0,1441,352,96,17,461,4,0,10,475,139,0,612,178,40,8,223,3,3,3,230,51,0,282,171,28,9,210,4,4,7,216,38,0,252,139,19,11,163,3,4,5,170,68,0,236,691,394,61,1142,39,30,74,1215,708,50,1972,54,58
210,4,9,3,13,16,21,39,53,272,7,324,7,16,4,24,13,8,23,49,101,0,151,11,66,11,86,35,37,73,160,306,3,468,22,90,3,122,31,30,66,184,344,0,527,27,182,13,218,41,47,85,304,558,0,865,78,353,37,464,35,71,106,570,699,5,1277,202,412,33,645,29,28,58,705,779,13,1490,328,450,36,816,46,25,65,884,810,3,1698,509,373,41,923,25,21,48,972,757,11,1737,524,261,28,816,26,12,31,845,515,11,1366,440,162,34,639,11,10,27,665,359,5,1028,358,114,23,498,8,6,15,511,245,0,756,582,161,33,766,9,5,19,785,279,0,1061,266,73,15,352,6,0,6,354,160,3,521,112,20,3,141,0,0,4,142,29,0,170,104,15,3,124,3,0,3,120,22,0,152,98,28,8,127,3,0,3,133,52,0,184,448,269,56,774,40,29,65,846,612,45,1501,39,36
