SA4_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
201,19722,1269,196,313,97,21596,19370,848,84,177,90,20562,6300,2249,646,52,36,9280,1097,539,153,0,8,1802,2648,339,122,50,28,3185,162,131,85,0,10,381,253,57,20,28,17,367,277,43,13,4,12,359,10723,3360,1036,141,106,15369,329,113,8,15,12,475,1354,235,76,33,50,1747,51496,5826,1398,675,346,59743
202,19726,657,87,168,93,20736,19793,322,74,61,95,20349,6414,1537,265,21,47,8284,1046,520,102,0,6,1674,2855,306,66,44,16,3290,246,101,36,0,0,378,280,29,38,54,5,404,271,29,11,8,5,322,11105,2526,519,132,76,14352,306,22,15,0,4,354,1418,186,53,28,42,1722,52347,3714,747,386,318,57513
203,33209,2240,437,207,99,36196,33958,1617,328,97,72,36068,11683,3780,1223,65,66,16826,1629,859,152,0,0,2649,4415,749,210,39,31,5439,366,273,66,4,3,711,410,80,37,151,14,697,380,74,27,18,12,517,18889,5825,1723,285,134,26852,614,142,31,14,7,811,2179,346,123,25,28,2701,88852,10170,2637,627,346,102631
204,22994,667,269,254,150,24337,20556,283,124,64,125,21156,6208,1296,632,26,25,8193,1424,508,222,0,5,2149,3248,307,174,44,38,3814,89,81,40,0,0,210,906,66,38,87,18,1116,395,41,24,10,11,477,12272,2297,1116,176,97,15956,406,78,77,6,7,584,1671,194,102,76,27,2071,57905,3507,1690,583,414,64101
205,38823,1120,790,554,147,41434,33112,346,203,90,120,33870,10329,1440,1346,41,65,13220,1714,734,409,0,6,2865,5062,259,224,49,56,5648,296,153,88,4,4,545,842,69,41,154,29,1146,615,49,48,9,6,733,18867,2712,2153,252,175,24153,569,99,71,9,18,773,2641,235,172,64,136,3252,94012,4514,3392,977,591,103488
206,22885,14964,14533,151,178,52718,17663,15418,21772,190,186,55225,7397,17393,69623,630,431,95471,426,2024,9693,8,30,12176,2701,4598,10779,215,127,18412,195,253,1409,9,10,1884,176,162,1053,29,41,1456,271,303,686,13,22,1302,11155,24729,93252,900,662,130699,368,302,797,11,21,1504,1337,1321,3869,89,141,6770,53415,56731,134225,1344,1192,246911
207,38188,9109,2995,50,73,50415,26979,7212,3328,43,87,37638,8701,7174,10349,92,105,26417,352,451,438,0,6,1246,3105,1719,1562,43,40,6471,106,215,282,0,3,609,247,132,178,4,11,566,297,140,121,3,6,567,12815,9836,12929,140,164,35875,579,434,310,3,11,1328,1706,627,630,9,103,3075,80264,27211,20184,238,437,128334
208,35877,11364,4525,145,120,52032,32063,11566,5738,137,164,49672,8246,9385,13941,324,113,32003,411,799,911,3,9,2128,2831,2350,2035,107,56,7380,89,153,345,4,15,603,172,101,161,89,16,537,279,192,151,3,12,639,12038,12976,17546,523,213,43295,388,350,406,4,16,1166,1737,888,837,24,71,3558,82105,37154,29050,838,590,149732
209,49313,4403,1053,40,87,54898,57235,7316,1326,73,101,66053,15990,8766,4141,103,102,29101,1703,1519,612,0,16,3848,4942,1418,542,71,40,7008,189,193,218,0,3,598,651,173,95,13,7,933,448,133,49,6,0,640,23919,12208,5642,196,162,42123,682,253,194,0,8,1138,3383,747,260,11,60,4455,134536,24922,8478,319,413,168667
210,34136,3230,660,154,48,38231,41208,5548,692,84,72,47605,10738,6560,1563,84,79,19025,1362,624,326,44,6,2365,4017,1081,267,31,37,5429,135,76,67,0,3,283,627,136,62,125,11,953,356,86,31,12,0,485,17234,8561,2326,295,130,28552,521,155,34,7,7,716,2686,571,154,43,59,3516,95786,18066,3865,582,318,118615
