SA4_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
201,473,4260,2963,54002,1195,62890,5,13,10,221,5,258,1322,58,69,511,22,1983,384,63,34,150,7,643,1520,632,404,1294,48,3900,6768,4052,3007,50348,1218,65386,588,22,103,20,12,738,196,50,41,410,6,702,1114,487,326,4739,83,6748,346,96,39,314,7,799,231,42,29,83,3,393,1142,58,26,39,15,1279,1473,1094,716,20143,342,23769,814,445,181,2633,54,4128,50,0,6,3,0,62,38,25,5,67,0,141,80,22,5,32,3,146,468,153,70,378,11,1082,137,40,22,41,0,239,319,176,140,89,9,731,393,97,65,280,13,844,163,24,16,69,10,272,1795,1165,795,15099,243,19100,109,21,12,30,5,178,152,36,11,22,4,227,173,37,32,132,0,370,151,26,21,30,0,223,35,17,0,7,0,55,131,12,12,5,3,167,239,88,60,601,15,999,3495,677,563,1554,82,6368,218,85,46,1628,9615,11588,20116,8143,5747,111244,12233,157485
202,439,4118,2695,54664,1153,63069,0,13,0,250,4,267,887,55,79,665,24,1704,143,39,25,82,3,285,890,380,220,734,21,2257,5764,3974,2661,50597,1166,64158,536,7,110,22,17,693,157,42,26,407,15,644,959,440,239,5069,112,6814,281,87,49,274,13,709,161,58,17,69,0,308,901,44,26,47,6,1031,1254,1032,590,18460,329,21668,789,395,158,2776,89,4200,56,0,3,4,0,70,52,12,3,49,0,117,40,6,7,23,0,69,293,108,32,214,13,661,175,55,16,40,6,288,292,183,138,113,11,733,282,64,41,212,6,614,114,13,17,73,4,219,1529,1050,732,14053,256,17627,61,12,11,23,0,102,167,44,22,33,5,263,120,20,13,129,8,298,206,28,15,27,0,276,42,5,3,19,0,66,116,10,11,0,0,142,218,99,47,501,12,880,3629,625,462,1521,74,6308,199,69,64,1582,10764,12678,17063,7671,4991,110086,13283,153092
203,1341,9613,6845,82354,1619,101773,3,21,10,335,15,386,2842,109,196,536,24,3718,2737,379,202,809,42,4176,3175,1094,691,2335,85,7383,15270,8959,6517,76336,1700,108784,1441,31,244,56,31,1803,419,108,94,629,9,1258,2962,1072,647,7705,170,12555,1168,271,97,745,33,2308,686,126,70,265,22,1170,2721,94,51,96,15,2978,3480,2424,1554,29356,456,37278,4345,1285,526,5055,184,11396,181,0,17,8,0,206,199,60,26,116,0,403,1157,164,70,280,20,1691,915,247,150,613,17,1940,382,75,59,64,22,594,723,424,313,146,7,1617,1519,319,196,743,43,2820,455,75,58,141,13,745,4134,2496,1834,23592,454,32518,924,91,60,117,20,1214,483,97,89,76,4,755,658,104,99,296,14,1169,376,48,30,48,4,504,330,62,21,62,4,474,719,24,48,13,8,810,630,220,135,881,16,1884,11123,1717,1248,3157,244,17482,608,152,124,2000,15417,18303,57440,18706,13062,170236,19486,278929
204,604,5002,3475,59419,1312,69813,6,25,4,214,3,244,863,33,71,342,27,1337,354,46,24,102,9,536,1438,483,268,911,38,3148,7187,4811,3413,52555,1252,69219,629,9,129,33,25,821,256,58,32,499,7,846,1922,637,420,5974,139,9089,294,115,27,268,19,724,235,56,20,83,3,407,743,46,14,43,9,852,1401,1154,707,19508,347,23118,2322,688,293,3217,104,6626,66,0,3,6,3,76,68,32,3,57,3,159,67,27,8,31,7,136,314,106,70,285,10,779,196,46,49,34,4,327,300,194,173,114,12,789,525,97,53,290,22,989,137,22,29,89,3,278,1774,1238,895,15180,283,19380,119,33,9,30,3,195,153,32,26,28,8,244,190,23,33,155,4,402,148,27,4,22,0,202,35,5,3,10,0,55,54,7,17,5,0,86,289,78,50,476,6,895,3844,821,560,1641,88,6952,250,74,67,1677,11507,13576,22129,9399,6490,117766,14405,170194
205,1273,8751,6167,93837,2258,112282,6,21,10,490,22,545,1381,65,87,476,27,2039,419,83,33,146,16,698,3965,1140,787,2500,101,8496,15352,8213,6160,78924,2175,110825,1038,43,255,35,25,1404,362,65,54,542,15,1034,2719,894,604,6830,187,11231,755,169,70,495,23,1504,386,72,34,159,8,663,1219,63,43,80,20,1430,3034,1860,1190,23783,509,30375,3577,1032,408,4662,150,9832,89,0,0,0,0,92,47,20,13,61,4,145,58,18,9,37,3,124,1155,269,131,844,33,2438,380,112,60,66,5,628,724,321,275,211,28,1557,997,152,82,489,29,1757,259,51,24,135,4,476,4261,2155,1660,21629,465,30173,174,24,7,45,5,251,341,61,34,47,9,489,327,52,38,214,3,640,319,49,32,37,11,451,60,19,8,17,3,104,300,11,31,4,9,357,554,160,108,680,16,1516,5892,1201,880,2674,157,10803,517,166,115,2823,19217,22841,43034,16212,11508,176504,24153,271416
206,3839,17887,13369,84099,1366,120559,31,56,18,429,4,535,58662,839,1189,1250,426,62364,2381,427,224,686,30,3737,3218,1397,883,2149,60,7714,37196,16556,11986,90325,1717,157779,3474,83,521,83,33,4193,3461,456,335,1330,47,5634,6553,1973,1420,10001,189,20129,17114,2220,1036,5070,250,25693,1319,325,192,487,22,2341,16374,440,298,233,88,17438,13066,5796,3974,50256,690,73783,23692,4881,2421,13234,453,44678,4321,27,60,72,33,4515,3376,465,298,637,63,4835,1482,222,142,451,23,2319,2206,636,432,1246,38,4559,1310,120,91,81,18,1625,3978,713,609,241,45,5593,4238,889,630,1724,59,7545,2750,263,222,508,43,3784,10713,4442,3516,32660,487,51806,1467,133,100,187,23,1912,1461,192,161,86,9,1907,3083,216,190,378,30,3897,2373,268,187,158,18,3006,2556,204,122,109,26,3020,9091,123,273,89,152,9725,1304,351,267,1628,26,3578,59193,5392,4519,6600,817,76523,2222,221,184,1487,49423,53523,263689,39672,28747,204542,55033,591679
207,2345,9868,7867,56386,859,77331,4,18,10,96,3,135,69427,873,1620,1096,472,73478,1136,167,136,354,10,1813,1958,681,376,1090,21,4117,17242,9043,6540,57892,947,91666,1709,44,258,30,21,2063,1071,213,172,667,19,2144,3118,954,684,5337,104,10194,12705,1675,916,4872,155,20320,916,139,98,260,16,1425,11338,322,246,159,82,12150,4267,2649,1935,26918,327,36097,12427,2492,1218,8185,231,24546,2630,20,68,24,13,2748,1116,195,139,310,14,1773,1070,111,105,304,11,1605,845,230,120,457,12,1667,255,52,40,15,8,365,1332,459,331,143,12,2281,1834,306,219,608,22,2992,939,91,115,163,9,1319,4404,2481,1902,19752,277,28821,574,75,35,73,3,763,1325,176,124,52,10,1685,878,69,85,185,8,1232,3211,198,164,129,25,3727,626,48,29,37,5,745,4493,97,196,45,38,4862,578,181,134,867,11,1763,27077,2513,2474,3508,242,35819,1064,115,80,887,14475,16616,173272,21559,16626,130561,17624,359644
208,3325,15814,12035,77254,1167,109595,3,14,11,140,0,167,23878,448,773,798,185,26083,1451,230,140,384,13,2222,2867,883,529,1348,39,5673,29640,12964,9473,71889,1381,125331,2189,49,359,44,29,2675,2065,300,233,921,35,3549,5349,1486,1045,6799,138,14824,12598,1630,932,4852,192,20203,1980,359,213,499,24,3069,12764,319,246,186,89,13607,8086,3686,2476,32377,486,47105,8949,2365,1188,7255,179,19942,1354,19,30,14,4,1425,825,197,80,269,14,1381,368,77,46,120,0,617,887,257,198,498,13,1853,617,98,60,41,15,828,2119,641,548,190,19,3513,6603,1099,809,1701,66,10281,6331,376,357,478,49,7588,7590,3189,2361,22886,358,36388,1149,102,63,159,13,1494,3830,434,302,113,25,4716,1308,134,111,237,16,1803,2472,261,248,177,23,3187,1043,126,66,71,9,1318,2127,54,115,25,13,2335,998,246,159,975,11,2387,35321,4635,4017,5133,328,49424,1461,252,177,1383,18656,21928,161135,30940,23022,166151,22458,403707
209,5219,14088,9466,91527,1621,121931,14,34,20,675,14,757,22885,392,601,796,181,24843,2812,376,213,750,38,4194,2244,767,476,1507,45,5039,21715,11374,8052,81289,1791,124213,4593,129,441,79,70,5315,1083,165,139,805,18,2215,3550,1210,809,7637,139,13349,15609,2368,1304,5781,348,25398,772,165,107,263,14,1321,20342,315,237,150,129,21172,5413,3469,2195,33994,561,45628,31237,6233,2889,18130,793,59282,697,18,45,5,5,777,5891,1042,444,872,107,8351,12883,1461,840,2424,196,17810,3706,927,525,2232,92,7476,824,119,95,90,14,1152,1473,583,409,237,35,2738,1840,350,254,691,29,3165,791,82,101,186,11,1181,5182,2888,2127,23130,374,33706,1583,165,85,166,17,2017,876,174,125,58,13,1243,1647,178,122,382,22,2346,4305,177,106,155,29,4773,2372,315,133,217,39,3077,8273,114,209,72,97,8777,651,246,156,932,13,1997,49564,3705,2863,4470,686,61287,2565,248,196,1951,23288,28247,214909,32839,21476,196778,29345,495353
210,5778,9352,6102,57777,1255,80258,15,22,20,317,6,378,6957,150,272,394,63,7835,2742,345,175,615,31,3910,1319,436,258,838,24,2876,15429,6982,4978,48036,1202,76620,4546,80,386,57,50,5122,617,99,69,398,18,1200,2635,721,466,4308,112,8241,7303,1172,543,2729,255,11998,536,96,56,177,9,881,15052,243,155,111,99,15651,3368,2132,1296,20373,372,27541,24107,4379,2185,12301,679,43648,310,4,26,9,0,345,9928,2113,864,1210,216,14324,1464,258,101,437,22,2282,5397,918,667,2461,86,9528,885,119,111,66,22,1202,1057,348,288,115,35,1835,1928,285,201,680,28,3117,489,50,58,97,4,694,3439,1665,1280,13345,272,20002,1017,115,64,110,18,1333,422,101,43,31,5,607,1398,126,90,245,24,1877,4224,124,86,83,21,4535,13752,1487,723,924,157,17051,4203,61,131,33,50,4481,394,116,75,512,12,1101,59064,3028,2077,2911,619,67705,2634,263,178,1354,18325,22747,180053,23605,14881,121774,23048,363371
