SA4_CODE_2016,M_SE_Europe_nfd_0_4,M_SE_Europe_nfd_5_14,M_SE_Europe_nfd_15_24,M_SE_Europe_nfd_25_44,M_SE_Europe_nfd_45_54,M_SE_Europe_nfd_55_64,M_SE_Europe_nfd_65_74,M_SE_Europe_nfd_75_84,M_SE_Europe_nfd_85ov,M_SE_Europe_nfd_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_FYROM_0_4,M_FYROM_5_14,M_FYROM_15_24,M_FYROM_25_44,M_FYROM_45_54,M_FYROM_55_64,M_FYROM_65_74,M_FYROM_75_84,M_FYROM_85ov,M_FYROM_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot
201,0,0,0,0,7,20,14,11,3,51,0,7,6,37,12,8,6,0,0,82,0,0,7,20,0,0,0,0,0,28,3,10,14,14,7,4,0,0,0,52,0,0,0,3,7,6,11,0,0,27,0,0,0,9,4,0,0,0,0,14,4,22,16,38,24,32,40,3,0,190,3,7,9,21,12,7,0,0,0,53,0,0,0,15,12,12,20,11,3,74,0,0,3,9,0,3,7,0,0,26,7,48,76,166,108,114,92,69,27,718,253,492,614,1245,853,885,859,460,183,5844,4794,10031,9920,17573,10223,10317,8547,4100,1291,76798,0,0,0,0,0,0,0,0,0,0,4231,8803,8508,15411,8954,8652,6525,3455,1838,66391,0,3,3,18,3,0,0,0,0,29,0,0,0,0,0,4,3,5,0,8,0,3,0,3,0,0,0,0,0,10,0,3,3,27,17,13,5,0,0,73,0,0,0,3,3,0,3,0,0,20
202,0,0,0,0,7,5,8,9,0,31,0,15,6,34,18,13,9,8,0,105,0,3,10,66,0,0,0,0,0,78,11,72,65,35,0,0,0,0,0,178,0,0,0,0,3,3,0,0,0,11,0,0,0,5,3,0,0,0,0,15,0,12,10,35,19,28,30,3,7,141,0,6,12,42,22,4,0,0,0,87,0,4,3,8,10,13,10,9,0,60,0,3,3,10,3,3,4,0,0,23,6,34,61,123,86,80,79,48,9,529,271,596,591,1281,909,933,827,474,210,6093,4675,9843,9351,17101,9833,10195,8128,4118,1457,74698,0,6,5,14,0,0,0,0,0,28,4209,8348,8208,14871,8677,8659,6529,3630,1899,65031,0,3,0,15,3,0,0,0,0,24,0,0,0,0,3,3,0,0,0,6,0,0,0,7,3,0,0,0,0,13,0,3,7,48,12,11,7,3,0,90,0,0,0,3,5,0,0,0,0,15
203,0,0,0,15,50,63,70,59,8,268,3,8,45,103,27,19,14,5,0,230,0,6,6,11,4,0,0,0,0,26,7,86,65,50,6,3,0,0,0,221,0,3,4,30,56,102,80,52,7,323,0,3,4,24,26,11,8,9,0,88,13,45,29,107,60,48,49,5,4,362,4,14,41,113,63,34,8,5,0,282,0,6,3,41,29,28,36,20,4,162,0,10,3,47,10,11,5,0,0,94,31,115,196,489,209,300,284,242,105,1975,419,813,936,2095,1286,1294,1152,683,303,8993,8945,17718,17730,33943,17491,16783,13587,6955,2667,135813,4,29,62,87,28,8,5,0,0,226,7733,15025,14465,28119,14613,13537,9965,5288,3011,111761,0,3,4,26,3,0,0,0,0,42,0,0,13,50,68,52,27,21,3,229,0,0,0,13,7,12,0,0,0,35,5,19,20,101,34,25,8,6,3,224,0,0,0,9,6,10,6,0,0,39
204,0,0,0,0,5,12,10,6,8,48,0,9,3,34,6,10,8,3,0,75,0,0,3,24,0,3,0,0,0,37,3,5,8,16,3,0,0,0,0,39,0,0,0,3,4,3,10,0,0,20,0,0,0,3,3,0,0,0,0,14,6,12,18,38,19,25,34,9,0,166,0,0,0,8,4,0,0,0,0,19,0,3,0,5,12,16,23,4,6,68,0,0,8,5,7,5,0,0,0,31,7,44,52,151,110,131,175,131,45,844,300,590,695,1498,1041,1274,1042,554,241,7237,4839,10670,9962,17525,11323,12425,10432,4982,1754,83920,0,0,0,0,0,0,0,0,0,0,4269,9387,7770,15447,9706,10154,7545,3975,2013,70258,0,0,0,12,0,0,0,0,0,15,0,0,0,4,0,5,4,4,0,17,0,3,0,14,3,3,0,0,0,24,9,3,3,35,15,22,10,10,0,99,0,0,0,3,4,0,4,0,0,16
205,0,0,0,3,6,21,22,27,0,83,0,7,8,89,19,28,25,12,3,193,0,3,8,35,0,0,0,0,0,49,11,20,14,28,7,0,0,0,0,77,0,0,0,0,0,5,4,3,0,13,0,0,0,9,7,7,3,4,0,36,4,23,18,52,38,30,67,16,3,252,0,7,19,88,44,17,6,0,0,177,0,0,5,5,24,29,36,21,5,117,0,0,4,22,11,9,6,3,0,56,7,69,89,260,175,188,278,185,69,1313,448,1047,1093,2327,1716,1951,1896,1034,393,11904,7836,16567,14934,27986,17348,19485,17619,8637,2763,133172,0,0,0,0,0,0,0,0,0,0,6850,14545,12393,24259,14573,15608,11929,6125,2968,109246,0,8,0,25,0,0,0,0,0,36,0,0,0,4,0,4,0,5,3,26,0,0,10,15,3,0,3,0,0,37,0,10,9,33,32,30,18,4,5,139,0,0,0,18,7,13,11,3,0,50
206,0,0,0,56,43,54,29,32,11,225,6,22,139,643,110,72,66,28,9,1101,13,5,217,698,28,18,8,6,0,991,20,40,283,660,48,12,8,0,3,1075,0,7,5,97,51,67,34,19,11,289,0,3,16,292,183,114,74,26,6,719,70,173,271,1120,306,172,120,23,7,2258,7,98,410,1028,532,535,222,115,40,2993,0,0,14,152,50,25,28,15,3,289,0,0,25,142,23,18,9,0,0,216,163,396,1631,6549,1366,934,861,569,300,12764,1095,1384,3720,11987,3108,2453,1724,989,435,26897,13684,20368,42740,122852,32810,24417,16573,8773,3585,285795,0,3,18,44,12,6,3,0,0,84,11248,16499,23979,64557,20704,15290,8503,3707,2222,166711,5,13,37,145,7,12,5,0,0,221,0,0,5,123,41,52,29,20,0,266,0,0,34,71,23,35,13,9,0,189,21,27,155,829,122,66,26,3,3,1259,8,3,33,312,52,41,34,19,8,511
207,0,0,3,22,25,31,20,31,8,142,16,55,280,659,219,202,151,73,24,1674,11,39,105,513,67,85,76,15,3,915,6,33,75,134,19,10,11,6,0,286,0,0,3,21,38,55,51,32,7,202,0,8,14,49,52,36,18,11,6,197,35,160,133,210,123,69,66,17,3,812,8,31,284,630,418,393,131,50,18,1956,0,0,0,25,31,22,21,9,10,128,0,4,11,56,33,24,8,0,0,140,57,214,457,1288,558,510,447,381,221,4143,307,642,1013,2095,1135,936,762,692,339,7932,8984,21453,26989,44923,23376,19181,14340,9515,4013,172782,0,0,6,21,11,0,3,0,0,51,7518,16510,16881,22340,14636,11165,8760,5961,4169,107937,0,10,14,85,12,10,4,0,0,131,0,0,4,19,17,6,7,3,0,62,0,0,12,52,45,40,17,13,0,186,13,25,38,147,52,47,25,7,6,362,0,4,4,40,23,26,15,8,4,121
208,0,0,3,30,39,60,40,28,7,217,3,11,73,445,191,186,149,85,20,1162,0,9,13,117,13,3,5,0,0,171,9,39,58,133,19,13,5,0,0,281,0,0,4,16,12,18,14,5,3,67,3,7,15,84,92,57,57,27,5,355,37,240,151,337,215,149,82,19,15,1249,4,22,105,289,143,103,41,8,5,723,3,4,3,66,43,33,29,9,7,200,0,0,8,63,43,36,20,9,0,179,102,473,513,2882,1501,1319,1272,759,331,9157,453,898,1040,2949,1531,1296,1017,741,463,10393,11829,25810,24535,52541,27968,22264,15806,8859,4481,194086,0,0,5,20,3,3,0,0,0,38,10356,20697,16941,32148,19095,14591,9664,5848,4616,133961,4,3,15,68,11,13,0,0,0,116,0,0,3,58,39,23,16,17,0,163,0,3,7,93,42,33,15,3,3,200,20,51,48,248,111,61,23,13,7,580,0,8,9,83,55,25,30,14,0,221
209,0,0,3,45,52,78,72,53,10,317,22,129,225,1163,384,309,183,50,17,2492,10,7,25,155,12,14,9,4,0,230,15,34,70,139,29,17,5,0,0,296,0,35,91,550,634,840,834,375,73,3440,3,4,18,171,175,104,63,28,5,564,21,104,60,221,108,67,45,11,0,628,27,88,333,1035,614,529,162,56,23,2865,0,3,6,41,26,38,20,8,3,149,0,16,41,129,57,26,10,0,0,269,165,547,715,2906,1165,912,674,406,144,7643,873,1361,1623,4447,2029,1715,1382,921,381,14737,17659,31595,32118,73068,31682,25916,18297,9718,3427,243480,0,12,28,72,24,10,4,0,0,156,15346,25153,23439,44330,21255,15709,9378,4614,2749,161987,9,20,33,207,16,10,0,0,0,288,0,0,17,101,79,65,36,33,3,335,0,4,18,108,39,34,11,6,0,219,10,16,35,158,57,37,6,3,0,320,0,4,3,66,41,34,34,4,10,199
210,0,0,3,18,40,62,54,42,9,237,22,152,179,841,474,263,130,40,8,2108,4,3,8,49,3,3,0,0,0,73,9,32,49,123,18,8,5,0,0,244,0,4,9,77,80,80,69,28,5,347,20,67,166,1184,1173,679,321,128,19,3752,8,48,42,106,51,33,25,10,4,334,12,29,52,416,356,323,111,37,28,1356,0,4,3,12,16,22,20,8,3,89,0,5,12,49,14,7,3,0,0,94,120,463,506,2183,1135,892,612,380,133,6432,806,1276,1374,3492,1642,1307,1125,693,260,11977,13670,24894,24642,52815,23610,17990,12600,7262,2587,180073,0,13,48,73,17,6,7,0,0,165,11446,19167,17235,29529,13641,9836,5788,3190,1714,111550,3,29,29,202,42,14,3,0,0,321,0,0,13,91,47,47,33,16,8,256,0,0,3,27,9,8,6,0,0,49,4,13,13,97,31,25,11,3,0,198,0,0,3,50,46,38,46,7,0,203
211,0,0,0,16,40,63,58,34,8,218,16,89,226,898,421,415,294,90,26,2474,12,18,21,190,29,30,23,0,0,325,16,76,101,177,18,8,8,0,0,398,0,0,0,10,17,26,19,9,3,81,0,5,3,38,36,18,17,10,0,133,22,92,91,187,148,101,95,14,4,749,7,23,59,382,328,290,123,39,9,1266,0,3,4,34,68,62,45,35,15,270,0,4,22,81,39,34,5,3,0,196,31,194,279,1113,709,715,682,487,194,4412,555,1025,1155,2975,1701,1598,1341,808,401,11560,15480,31707,32316,63967,34209,29952,21803,10807,3840,244075,0,0,6,71,38,21,12,0,0,148,13686,26005,25028,44059,24380,20165,14179,6969,3709,178182,0,5,5,48,27,15,0,0,0,94,0,0,7,49,23,31,10,5,3,129,0,4,19,206,153,122,50,30,13,597,4,21,38,135,60,62,27,12,4,364,0,3,0,58,59,52,35,16,3,228
212,0,0,10,165,206,227,189,155,29,983,110,881,1338,6044,2070,1514,1034,366,107,13471,6,21,76,345,46,46,23,0,4,570,27,126,157,513,46,29,17,4,0,922,0,11,23,266,183,172,104,54,18,824,3,10,46,247,317,192,153,80,22,1072,32,141,137,216,136,76,49,22,3,814,39,188,636,2750,2116,1816,635,225,109,8519,0,13,7,38,60,43,45,35,3,242,3,30,81,216,77,25,13,0,0,439,171,855,1583,4768,2620,2238,1559,923,287,15001,1391,2276,2820,6255,2844,2437,1841,1210,477,21539,27151,50063,56732,110948,47774,37692,26360,14688,5048,376466,66,464,1373,2527,572,255,118,41,14,5429,22717,36306,31216,45497,21102,16008,11410,6569,3671,194492,21,65,84,479,121,51,9,3,0,828,4,13,109,511,360,288,127,75,14,1492,28,127,517,2322,1002,746,380,128,62,5318,4,26,49,135,52,31,16,5,6,324,0,10,11,262,239,216,225,70,24,1067
213,0,0,11,127,180,263,191,145,30,949,26,207,357,1636,529,268,151,42,7,3214,6,11,26,163,13,18,9,0,0,249,46,330,301,344,53,13,16,3,0,1110,8,21,57,486,617,755,733,223,49,2949,0,3,35,245,189,123,68,23,3,702,34,156,94,298,137,77,40,3,3,842,100,358,1211,5603,3708,2982,1010,309,124,15402,0,14,12,68,45,43,21,22,4,222,4,10,39,167,64,18,0,0,0,294,188,1108,2122,6816,3308,2263,1572,761,255,18405,1658,2603,2778,7594,3078,2637,1935,1050,396,23724,30081,49258,48177,120148,45061,34544,22132,9988,3156,362540,4,14,45,160,51,15,6,3,0,298,24980,37180,30153,54836,21975,15121,7927,3644,2022,197838,19,88,126,952,90,39,9,3,0,1327,0,8,75,459,298,232,125,72,11,1272,0,9,15,152,89,89,32,18,6,404,3,32,42,218,61,41,19,8,0,422,3,17,32,306,239,221,185,52,14,1070
214,0,0,0,13,30,31,24,23,4,128,0,3,16,113,65,87,56,31,4,376,0,0,5,13,4,4,0,0,0,32,9,22,31,38,7,4,0,0,0,112,0,0,3,8,11,16,3,3,0,48,0,0,0,24,18,12,13,5,0,83,8,32,37,119,88,66,71,19,8,452,0,9,12,46,11,3,0,0,0,86,4,15,11,53,58,46,64,32,18,298,0,3,14,49,21,12,7,0,0,109,22,113,130,608,394,371,393,245,84,2358,443,879,933,2191,1369,1358,1214,828,341,9558,8831,17897,16861,33026,19290,17647,15208,8482,3054,140290,0,0,9,32,21,11,3,3,0,78,7623,14934,13440,26504,14350,12944,10802,5570,2886,109053,0,0,3,13,3,0,0,0,0,17,0,0,6,32,27,30,16,9,4,116,0,0,10,46,15,12,6,0,0,84,7,16,18,100,46,44,24,15,5,270,0,0,5,38,31,39,24,6,0,132
