SA4_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
201,97,259,439,462,521,439,106,7,0,2334,170,274,378,472,583,441,179,59,17,2573,3904,6414,12516,13821,15406,11982,2894,380,77,67396
202,109,288,513,444,517,405,115,11,3,2412,153,237,387,496,546,456,164,50,12,2492,3822,6229,12296,13363,15134,12208,2894,415,86,66444
203,178,524,994,912,904,696,196,26,3,4438,290,494,896,979,1027,801,259,68,19,4836,6989,11845,25391,27194,27753,20517,4716,520,86,125026
204,162,321,534,482,596,442,149,16,4,2709,205,256,438,568,717,567,257,91,19,3120,4520,5960,12592,14410,17661,15221,4310,717,165,75545
205,221,506,870,784,904,744,198,32,3,4271,272,377,744,759,993,935,348,117,32,4577,6284,8808,19808,20910,25433,22040,6039,989,173,110486
206,170,973,3311,1817,1508,953,264,40,5,9041,251,1338,4567,2592,1984,1175,506,103,29,12543,7022,33131,121641,69127,48822,30065,9007,1121,230,320165
207,159,515,1137,958,1153,861,300,48,3,5134,213,642,1502,1366,1651,1061,421,113,32,7002,7064,16955,36323,34540,38682,25748,8033,1107,146,168603
208,193,545,1332,1303,1509,960,321,46,4,6211,277,644,1620,1864,2210,1336,564,111,54,8688,7657,16100,40783,45864,46984,30418,9109,1071,186,198179
209,283,893,2121,1996,1811,1174,285,41,6,8613,439,1042,2686,2413,2414,1528,433,95,23,11072,10273,21665,55799,54507,49291,32489,6826,657,100,231609
210,178,611,1538,1355,1270,862,194,28,0,6033,304,856,1964,1781,1809,1020,272,64,16,8097,7041,15563,38466,36103,33970,20542,4254,393,64,156400
211,370,1048,2160,2214,2463,1718,454,43,5,10476,457,1052,2297,2453,2880,1981,622,132,30,11906,13015,22708,49990,53647,56808,40675,9793,985,115,247729
212,443,1436,3465,2962,2903,1748,465,53,5,13476,679,2112,5124,4537,4400,2694,685,147,51,20428,15341,34114,82632,77765,70881,44290,9486,1026,167,335693
213,348,1283,3256,2764,2278,1359,301,22,9,11612,573,1963,4928,4262,3524,2108,463,62,16,17907,13247,30695,88798,83639,64907,37991,6398,442,88,326215
214,199,535,1069,1040,1239,801,232,15,0,5134,300,572,1146,1357,1588,1163,409,74,27,6633,7460,11540,24153,27805,30550,22543,6121,632,96,130907
215,131,282,501,387,455,366,117,19,4,2267,171,223,456,431,561,530,192,80,23,2669,3731,5238,11268,11515,14437,12792,3565,694,129,63374
216,130,239,462,402,477,376,98,18,0,2211,189,237,387,442,539,399,163,56,25,2430,3579,4429,9778,10541,12718,10404,2713,460,88,54705
217,84,215,337,365,384,300,100,8,0,1800,157,184,324,338,475,420,198,84,19,2195,3594,4509,9122,10411,13068,11015,3176,607,109,55609
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
299,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
