SA4_CODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
201,0,4,4,21,35,21,106,54,14,9,5,3,9,7,8,296,0,4,5,6,6,12,14,49,8,10,12,3,3,0,9,151,0,0,0,6,4,17,37,38,6,3,3,5,15,3,11,155,0,0,4,25,3,0,0,0,0,0,0,0,0,0,3,34,0,0,3,3,4,0,3,4,0,0,0,0,0,0,0,22,25,540,1148,1450,521,314,372,275,59,50,45,41,31,8,216,5089,0,4,18,52,36,46,87,49,11,16,11,13,13,0,7,369,0,0,0,3,21,15,8,30,3,3,8,11,10,4,16,130,0,0,3,3,9,3,18,20,4,0,0,0,0,0,0,65,3,131,189,320,174,172,296,322,37,49,34,45,57,54,83,1974,47,1519,2259,2585,1446,1189,1778,1963,332,419,366,342,381,289,702,15619
202,0,0,10,21,39,28,99,74,18,8,15,17,4,4,3,341,0,4,9,22,14,18,39,46,8,15,3,5,4,7,12,215,0,0,0,0,9,5,27,183,34,19,38,44,27,20,30,436,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,4,0,4,3,3,0,0,0,0,0,0,5,22,34,433,912,1128,435,322,406,247,43,26,27,32,16,10,202,4270,0,7,10,75,40,31,64,29,6,10,7,3,10,5,14,311,0,0,0,3,8,9,13,23,3,3,5,4,4,9,59,145,0,0,0,0,0,13,14,10,3,0,0,3,0,3,0,53,8,91,147,226,133,105,212,439,68,75,122,98,121,55,181,2078,64,1059,1658,2003,1220,1062,1656,2031,331,330,444,361,380,220,885,13708
203,0,7,21,90,87,91,173,178,46,27,6,18,29,9,11,782,0,3,12,30,23,39,48,100,14,43,24,21,26,23,10,417,0,0,0,3,16,37,71,206,34,37,45,35,39,35,24,572,0,10,140,322,73,66,28,3,4,0,0,0,7,0,15,662,0,0,0,50,14,18,20,7,0,0,0,3,6,3,15,151,66,1202,2662,2990,1136,884,973,1030,203,124,160,121,107,46,431,12146,0,11,7,102,76,82,158,143,34,27,38,27,40,21,27,792,0,0,0,8,122,91,61,61,19,22,20,13,27,24,76,540,0,3,3,3,16,8,49,60,5,3,9,4,3,0,3,172,20,483,778,1089,409,541,741,906,182,235,354,227,259,169,309,6702,129,4117,6276,6832,3240,3435,4496,5580,1045,1128,1361,1163,1378,910,1847,42931
204,0,0,14,30,48,20,81,64,10,9,5,0,6,7,8,293,0,3,12,15,7,6,18,52,16,7,11,3,0,11,0,155,0,0,0,3,3,15,27,36,3,13,10,15,15,10,17,170,0,0,5,18,3,0,3,0,0,0,0,0,0,0,5,36,0,0,0,3,6,6,3,3,0,0,0,0,0,0,0,27,34,642,1221,1429,517,333,355,243,43,28,25,38,40,14,224,5190,0,4,10,77,37,44,66,23,15,10,12,28,18,8,12,361,0,0,0,0,5,8,11,5,3,3,0,0,3,4,12,52,0,0,4,5,13,7,14,12,4,0,0,0,0,0,3,59,14,247,339,427,194,158,185,338,75,81,41,56,105,76,126,2470,93,2121,2882,2848,1508,1195,1504,1648,344,351,273,287,408,291,829,16582
205,0,3,22,49,95,53,139,152,26,16,11,12,6,5,15,608,0,12,21,51,24,33,38,78,9,30,16,13,10,0,7,341,0,0,0,0,9,26,40,65,11,19,21,18,27,3,31,269,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,22,0,0,3,20,5,0,3,0,4,0,0,0,0,0,8,44,81,1713,2907,3282,1157,636,566,464,71,82,54,60,46,21,475,11613,0,11,8,106,65,51,97,73,7,11,14,31,27,10,15,531,0,0,0,12,25,37,57,55,8,7,12,11,4,8,96,333,0,0,5,7,10,15,26,30,7,10,3,7,0,0,4,115,14,300,418,673,357,265,417,465,65,80,55,99,91,48,208,3545,164,4485,5891,5748,3219,2244,2678,2826,469,559,488,540,529,243,1627,31713
206,5,8,61,117,339,466,665,401,93,90,96,109,95,79,63,2679,0,14,48,187,160,432,263,313,53,88,105,103,131,119,53,2073,0,3,3,23,104,184,439,579,131,168,213,282,434,301,283,3144,0,19,51,252,46,91,58,33,7,8,9,6,12,3,16,620,0,10,9,437,208,239,134,118,30,20,32,30,43,28,63,1419,75,742,1794,2725,1899,2261,3140,2835,1004,1040,1091,1180,1468,894,717,22869,0,19,51,272,336,517,717,723,257,225,301,378,491,312,216,4822,0,0,4,46,2025,1874,843,817,194,220,249,278,341,280,242,7437,0,3,10,5,50,40,126,70,14,14,13,18,18,7,11,406,64,800,998,2180,2364,4429,5275,5445,1324,1748,2217,2909,3906,2602,1636,37895,371,5521,12555,14557,13136,19480,25901,29108,8511,10668,12663,16226,20713,14393,8482,212282
207,3,4,43,115,341,336,734,444,62,63,48,66,59,48,35,2405,0,29,107,275,277,676,492,463,60,96,136,163,232,173,77,3269,0,0,3,20,54,84,221,206,31,46,48,69,60,33,42,921,4,39,93,155,26,44,25,6,0,0,0,0,3,0,17,419,0,3,16,116,57,55,51,17,7,4,12,11,10,12,12,388,142,928,1556,1923,1079,1062,1438,1035,260,214,186,151,198,88,299,10563,3,11,50,150,137,203,386,243,77,70,68,95,89,56,62,1707,0,3,9,61,1937,773,276,337,78,111,144,155,225,140,122,4359,0,0,7,6,45,31,107,72,8,8,9,7,9,4,0,320,69,858,933,1303,1324,2215,2131,1465,308,409,494,610,690,505,511,13825,424,5485,9643,9685,11186,18683,21401,19182,4049,4931,5524,6515,7189,4347,4443,132677
208,3,13,65,161,685,1251,1924,876,138,114,106,132,173,99,73,5798,0,33,132,508,286,497,282,269,43,52,49,61,101,49,56,2410,0,0,0,19,62,97,226,186,47,56,52,56,67,44,47,951,3,3,14,40,22,26,27,9,0,0,8,3,0,0,7,161,0,9,17,275,91,99,57,42,9,11,8,9,16,14,9,672,136,1278,2393,3229,1913,1807,2977,2586,648,630,574,505,451,237,499,19865,4,24,56,204,211,301,531,433,116,128,106,170,127,94,79,2585,0,0,3,22,619,295,168,196,40,61,63,75,80,47,48,1724,0,0,3,21,68,32,98,83,12,4,0,12,5,7,7,362,110,1216,1488,2172,2949,5230,3898,2710,615,670,700,762,733,474,562,24290,601,5562,9863,12092,11211,16204,18986,17252,3878,4345,4452,5430,5756,3443,3395,122457
209,0,0,23,59,149,158,440,379,65,36,61,47,54,33,32,1539,7,25,53,152,210,919,1026,1124,172,287,215,201,189,146,88,4811,0,0,0,8,74,134,224,210,43,46,53,59,64,41,48,996,8,126,533,3061,777,1130,602,244,53,25,46,47,52,22,227,6961,0,6,19,366,188,234,119,68,17,13,15,15,12,10,35,1114,63,746,1936,2731,1383,1218,1624,1465,295,283,215,177,160,80,363,12750,0,3,26,120,113,150,255,233,60,61,62,55,91,27,38,1288,0,0,3,29,1547,1664,748,714,149,192,227,317,325,217,234,6375,0,0,7,3,24,21,123,195,21,45,26,38,31,31,5,578,19,494,887,2421,1832,3028,3786,3327,659,826,965,1209,1144,764,672,22016,199,6238,14311,17906,10767,16908,20883,23740,4365,5011,5972,5790,5697,3568,4982,146326
210,0,3,17,44,71,88,140,155,24,23,9,35,19,17,11,645,0,10,36,225,117,849,753,1141,146,260,160,145,139,105,113,4204,0,0,0,0,28,123,173,138,26,41,40,33,52,28,32,707,0,10,44,348,73,86,53,16,7,7,3,4,4,0,31,695,0,3,17,1994,1179,1747,1300,508,123,92,90,64,71,48,270,7507,39,573,1519,1920,831,645,737,600,163,114,96,89,64,23,211,7624,3,7,19,54,56,74,166,109,23,52,27,26,31,11,17,677,0,0,3,26,1073,975,346,269,45,62,76,80,51,36,102,3134,0,0,4,3,16,12,41,98,8,6,6,4,5,0,4,210,9,498,795,2071,1592,2537,2852,2897,547,624,851,969,1034,719,702,18694,141,5506,10999,13566,8983,14205,18008,18908,3643,3885,5134,4532,4146,2879,4316,118853
