SA4_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
201,83,793,7056,27205,13055,1811,344,1153,51496,19,799,2212,1612,412,32,17,202,5302,0,20,160,214,99,9,3,10,519,23,817,2378,1828,513,42,20,208,5826,17,383,647,186,16,3,9,72,1328,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,17,402,681,196,16,3,9,74,1398,27,126,113,254,97,14,10,32,675,5,36,67,127,49,10,6,50,346,152,2180,10287,29606,13730,1880,384,1525,59743
202,79,828,7217,27016,13779,1880,361,1195,52347,23,530,1917,615,53,9,0,168,3303,0,32,129,199,22,3,0,26,405,22,560,2041,806,75,11,4,188,3714,15,146,345,112,12,0,0,44,670,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,15,183,366,114,13,3,0,51,747,58,125,89,58,22,0,5,26,386,7,22,72,98,57,11,4,42,318,176,1720,9792,28096,13942,1902,373,1511,57513
203,112,883,9695,47402,24747,3492,725,1801,88852,43,1477,4281,1768,241,30,12,273,8115,4,164,631,1001,194,15,8,47,2058,42,1637,4911,2766,435,44,12,315,10170,29,653,1108,348,28,8,5,110,2284,3,47,79,8,0,0,0,3,145,0,47,97,36,7,3,3,8,198,0,0,3,0,0,0,0,0,11,29,749,1293,395,29,11,7,117,2637,29,160,178,108,92,12,8,32,627,4,25,75,139,59,8,6,28,346,218,3448,16156,50813,25356,3570,763,2306,102631
204,113,817,7184,30112,15802,2072,421,1385,57905,9,540,2020,490,40,5,3,179,3288,0,27,85,90,4,0,0,6,218,9,568,2102,582,46,5,3,187,3507,10,319,956,164,18,3,3,86,1561,7,4,30,10,0,0,0,0,51,0,18,38,11,3,0,0,5,81,0,0,0,0,0,0,0,0,3,14,344,1028,189,19,3,10,92,1690,61,185,129,68,33,10,7,82,583,3,28,79,165,85,27,7,23,414,198,1940,10518,31110,15985,2114,454,1772,64101
205,140,1284,11778,50139,24441,3338,642,2252,94012,35,835,2287,627,55,10,11,222,4073,3,86,145,166,15,3,0,22,442,40,928,2430,787,71,10,14,239,4514,18,662,2065,388,28,0,3,169,3326,0,10,28,4,0,0,0,4,46,0,0,0,5,0,0,0,0,9,0,4,0,0,0,0,0,0,7,18,676,2092,398,31,0,3,174,3392,79,347,328,111,27,8,5,76,977,8,44,114,165,92,21,15,141,591,283,3271,16744,51603,24654,3378,676,2875,103488
206,44,796,10836,25531,11948,2564,584,1121,53415,60,1697,14700,9361,1730,251,51,596,28450,73,1542,8992,13172,3228,555,128,587,28281,132,3240,23699,22541,4962,808,178,1180,56731,452,7774,13285,2916,257,25,66,706,25494,564,11495,16024,2457,128,15,31,874,31587,2089,25323,39237,7836,416,50,67,2030,77035,6,36,37,18,0,0,0,5,109,3109,44628,68585,13230,803,87,160,3620,134225,31,342,533,251,67,16,8,88,1344,31,266,436,207,74,24,20,141,1192,3347,49269,104088,61760,17842,3499,943,6153,246911
207,51,432,6196,33476,29465,7813,1472,1363,80264,34,692,8055,5923,831,119,19,332,16012,30,137,1741,6226,2544,326,30,172,11201,57,827,9800,12147,3371,447,53,504,27211,201,1390,4926,1443,139,20,11,306,8448,120,1796,3647,454,34,4,6,131,6192,162,2054,2766,369,15,3,11,151,5527,0,0,3,4,3,0,0,0,8,486,5237,11344,2273,188,24,35,590,20184,3,28,94,68,21,5,3,8,238,3,50,84,111,68,14,0,106,437,602,6574,27516,48086,33117,8306,1562,2570,128334
208,50,430,8825,37452,26566,6400,1051,1327,82105,50,1348,12284,7454,714,56,22,537,22466,13,251,2915,8256,2698,286,49,221,14688,69,1603,15195,15707,3414,338,69,760,37154,126,5131,10697,3200,321,31,21,590,20124,31,1181,3542,429,39,21,3,103,5338,34,1143,1988,280,11,5,3,81,3550,0,13,14,8,0,0,0,4,39,189,7468,16247,3917,369,54,31,781,29050,28,226,392,139,28,9,0,16,838,10,59,131,189,91,13,12,78,590,338,9783,40795,57410,30467,6819,1162,2952,149732
209,170,935,11084,67058,44474,6852,1225,2731,134536,41,1483,7649,4661,1054,87,17,470,15464,22,281,3106,4808,917,106,19,199,9463,65,1768,10755,9469,1967,195,36,676,24922,34,870,3135,1105,98,12,7,158,5414,64,469,685,74,0,3,0,51,1344,45,511,1018,53,48,0,3,30,1705,0,6,3,7,0,0,0,0,15,139,1854,4838,1234,156,16,8,240,8478,13,51,135,81,30,6,0,7,319,3,29,114,129,59,11,5,59,413,381,4640,26928,77970,46688,7083,1273,3709,168667
210,135,531,6057,51244,30196,4621,825,2181,95786,31,564,4665,3694,431,28,20,326,9755,10,92,3019,4113,762,85,10,212,8311,44,661,7687,7808,1195,106,29,535,18066,51,418,1732,1027,54,7,0,117,3404,0,29,149,6,0,0,0,12,198,11,73,104,28,3,0,0,10,230,0,10,16,5,3,0,0,0,30,59,529,2004,1072,58,7,0,133,3865,20,137,122,185,57,4,5,42,582,0,18,52,127,48,8,6,54,318,258,1870,15924,60433,31550,4756,869,2958,118615
