SA4_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
201,56,113,271,317,383,401,308,102,17,1963,3,19,117,119,130,69,5,3,0,457,131,273,682,992,1117,762,119,9,3,4093,8,31,82,112,150,106,14,0,0,494,294,774,1414,1064,1016,780,135,11,5,5490,32,72,172,240,262,194,46,5,4,1033,382,469,617,518,465,434,146,15,0,3049,574,390,347,255,197,185,52,10,4,2010,24,72,294,409,555,531,142,18,0,2048,24,58,161,190,172,116,21,0,0,739,0,16,82,111,134,84,19,5,0,448,3,21,90,69,85,85,27,8,0,389,21,128,375,425,381,292,136,15,0,1782,23,59,128,161,190,182,42,4,0,792,23,72,355,508,601,432,67,8,3,2059,38,118,367,469,454,460,113,3,0,2026,18,109,423,458,559,510,115,11,0,2211,60,90,129,124,118,115,47,3,0,687,56,134,217,239,294,268,84,9,0,1301,98,188,257,301,367,263,104,34,6,1622
202,52,105,278,334,400,475,260,112,16,2039,8,59,225,211,193,89,20,0,0,790,140,441,916,833,933,768,124,14,4,4167,3,29,124,115,175,119,13,0,0,574,219,692,1306,1032,1000,744,141,14,0,5149,24,66,165,202,226,149,43,9,0,879,489,469,545,519,478,415,137,18,3,3069,544,349,305,198,182,142,44,3,0,1776,18,64,189,333,498,532,160,5,3,1814,16,30,87,122,124,87,23,3,0,475,8,48,211,292,253,125,40,0,0,980,3,18,54,67,93,59,31,6,0,341,12,92,344,393,350,309,106,14,0,1619,21,51,132,179,199,205,40,8,0,834,15,78,293,482,657,519,85,5,0,2138,32,91,300,405,419,427,100,6,0,1781,18,115,379,432,529,544,118,15,3,2155,48,57,78,102,105,105,39,9,0,539,64,138,273,243,278,262,73,9,3,1337,82,162,253,320,355,282,91,36,3,1590
203,37,113,220,248,299,286,208,74,11,1503,3,10,80,82,90,71,8,0,0,343,142,495,1295,1686,1905,1296,211,17,3,7046,6,46,249,258,303,200,39,0,0,1101,466,1390,3100,2645,2113,1393,246,20,6,11389,55,156,358,499,537,393,87,7,0,2098,723,1006,1273,1070,903,702,213,28,0,5913,1083,815,720,482,355,286,127,9,0,3881,49,176,737,915,1101,998,248,14,4,4235,43,65,166,199,205,148,24,0,0,845,6,65,322,425,399,235,61,9,3,1528,12,48,132,190,171,146,67,16,0,778,36,211,770,967,849,680,271,39,3,3825,37,117,315,361,418,385,125,5,0,1763,28,169,675,954,1176,772,145,22,0,3937,74,210,785,951,841,876,192,12,0,3940,29,192,726,841,834,747,191,21,7,3588,153,188,205,233,195,162,60,8,0,1210,93,255,482,464,476,411,120,18,0,2326,159,310,597,623,648,515,162,46,9,3067
204,94,192,395,506,706,902,752,261,63,3880,0,12,63,57,65,60,14,0,0,274,162,445,922,1066,1301,997,170,11,3,5082,5,20,101,121,217,165,15,0,0,645,319,666,1309,1150,1228,981,204,19,9,5877,49,80,227,242,298,255,57,10,6,1224,404,344,506,485,504,480,178,24,3,2930,563,277,341,309,296,275,119,14,0,2192,32,134,343,505,742,740,228,7,10,2739,15,27,53,60,79,69,13,0,0,316,0,11,57,88,101,69,20,5,3,358,14,27,53,66,88,88,33,0,4,377,23,62,168,267,277,298,137,23,0,1242,39,87,189,236,275,254,74,7,0,1169,203,446,748,780,932,679,106,10,0,3893,32,69,258,339,378,411,99,16,0,1608,17,59,239,308,401,463,122,22,0,1627,48,45,100,99,125,97,28,9,0,548,100,176,284,282,359,293,104,10,0,1610,121,177,299,354,474,376,154,58,11,2020
205,188,350,928,1016,1165,1301,946,316,64,6268,3,30,290,313,398,276,40,5,0,1354,190,485,1080,1194,1475,1129,223,25,0,5811,23,105,426,529,958,797,120,5,3,2963,443,1148,2363,1990,1968,1587,333,26,9,9870,42,121,293,358,431,328,96,10,0,1691,713,575,866,781,764,700,233,34,3,4676,871,399,517,339,357,364,126,12,3,2977,46,104,361,503,819,787,267,18,3,2910,19,49,97,103,105,117,25,3,0,511,8,30,94,124,146,97,36,3,0,540,7,33,79,112,127,128,65,4,4,553,22,107,373,402,424,483,215,31,0,2064,50,89,221,270,343,321,110,11,0,1404,22,150,629,673,816,721,146,9,3,3164,55,114,385,474,509,603,146,7,0,2292,33,126,371,479,581,643,178,13,3,2430,77,69,114,139,150,159,56,14,0,776,129,257,456,420,514,424,116,32,3,2346,163,269,527,499,616,582,216,68,20,2963
206,11,52,188,111,78,82,53,25,0,594,0,14,197,141,119,53,20,3,0,552,75,430,2636,2057,1624,1029,273,49,5,8176,9,92,781,509,288,155,36,0,0,1867,134,1093,5067,2592,1963,1189,287,41,8,12373,33,303,1471,1146,958,548,160,28,8,4652,663,2022,3946,1987,1361,787,317,40,8,11131,1000,3389,6326,2106,985,548,152,22,3,14537,55,456,2101,1533,1400,883,270,29,0,6738,65,372,2430,1767,1104,502,106,8,3,6357,19,554,4465,3101,1761,760,266,50,17,10997,28,249,1285,748,578,361,198,41,13,3495,90,1632,11654,6925,3884,2365,1018,127,27,27725,59,543,2070,1172,739,439,187,24,5,5244,23,320,2391,1991,1835,1074,252,29,4,7917,219,928,3726,2518,1963,1629,493,46,3,11536,53,480,3479,2362,1800,1376,576,93,14,10230,227,823,2217,1131,682,434,166,31,8,5710,65,333,1355,799,728,462,161,30,5,3935,112,656,2570,1536,1113,696,299,60,19,7067
207,6,27,50,46,70,54,45,12,0,312,0,8,47,83,77,61,24,0,0,285,75,316,913,1160,1548,1068,314,53,7,5464,3,46,241,230,253,142,28,4,0,950,176,802,1885,1571,1770,1048,324,46,4,7621,60,195,686,810,1076,594,177,39,0,3634,768,1597,1809,1246,1327,901,331,48,7,8028,927,1407,1508,779,781,563,114,17,0,6104,30,185,633,701,902,714,202,23,3,3403,69,226,644,785,686,330,78,16,0,2835,23,302,1361,1734,1571,752,233,38,8,6016,35,156,555,465,480,339,140,37,4,2211,77,827,2848,3093,2958,2073,831,135,16,12861,62,309,709,534,601,437,174,30,0,2855,19,158,649,704,992,777,220,28,7,3560,239,601,1102,971,1106,1055,385,38,3,5494,58,327,1258,1434,1520,1303,537,84,8,6541,336,392,454,291,277,185,80,18,4,2025,60,229,537,474,553,451,173,38,3,2519,103,371,882,749,946,672,265,61,21,4068
208,10,31,57,80,100,65,34,10,3,388,0,4,58,81,106,72,15,0,0,337,81,325,1357,1848,2232,1523,422,39,5,7839,9,35,280,338,311,164,34,4,0,1172,281,1118,2884,2624,2484,1574,407,54,3,11428,71,225,771,1133,1312,856,257,43,8,4667,904,1432,1806,1660,1490,1084,429,81,9,8893,975,1274,1390,840,652,402,100,14,0,5653,30,200,703,901,1193,954,274,32,10,4293,63,155,648,949,852,433,82,6,0,3193,28,268,1310,2198,1844,828,258,30,14,6790,24,133,478,518,558,381,173,34,4,2305,70,657,3001,4021,3494,2270,939,117,10,14580,53,242,675,756,759,536,191,24,3,3251,26,145,762,1086,1236,857,229,33,9,4389,216,499,1196,1298,1238,1103,350,38,3,5950,59,251,1072,1283,1345,1174,485,65,11,5749,379,426,577,474,429,269,105,20,4,2672,62,220,621,616,725,528,187,38,4,2996,138,376,958,1090,1302,825,362,76,27,5168
209,19,54,171,170,154,113,68,25,0,781,0,16,59,81,93,65,4,3,0,324,218,668,2485,3164,3379,2263,444,49,3,12666,12,85,421,423,373,286,54,0,0,1657,702,2195,5652,4647,3879,2216,450,30,5,19773,74,246,931,1206,1222,765,172,19,0,4633,1191,1803,2587,1902,1517,1088,289,35,9,10417,1411,1314,1781,954,696,416,90,6,6,6663,70,425,2259,2218,2282,1747,387,20,3,9420,61,146,713,856,640,327,47,3,0,2790,21,233,1236,1443,953,496,88,9,0,4477,27,130,427,396,321,229,75,8,3,1621,73,528,2384,2775,1755,1169,369,47,5,9104,58,360,934,926,861,679,184,18,3,4028,66,385,1547,1922,1835,1310,259,38,3,7376,145,457,1426,1503,1217,1199,311,14,0,6272,59,315,1498,1577,1450,1158,329,25,0,6421,244,388,503,420,302,210,73,14,0,2160,153,464,1077,1085,993,747,188,21,3,4730,253,672,1698,1493,1495,955,277,52,12,6915
210,14,48,97,104,116,89,62,24,8,558,0,12,50,61,57,31,4,0,0,215,141,571,1901,2297,2450,1580,301,22,6,9273,13,68,282,297,269,183,23,3,0,1127,491,1657,3983,3192,2664,1347,289,24,0,13644,45,208,655,818,836,491,105,5,0,3162,732,1232,1709,1240,1117,663,195,14,4,6909,1037,875,1194,651,499,327,70,8,0,4654,108,657,2574,2533,2693,1736,356,14,4,10661,44,116,428,460,357,155,24,0,0,1582,15,151,824,833,525,283,57,3,3,2698,20,104,280,254,215,159,36,9,0,1082,32,329,1471,1449,940,582,175,27,3,5002,76,328,754,638,612,424,117,12,0,2956,60,327,1094,1167,1160,846,171,8,0,4848,95,275,810,806,657,578,140,13,0,3388,38,172,708,788,688,497,142,18,0,3050,159,223,328,272,209,140,63,12,0,1414,109,372,901,821,765,551,134,17,0,3677,177,565,1320,1181,1168,638,171,40,13,5272
