SA4_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
201,14801,15101,5989,444,36331,13279,1883,51496,930,612,545,59,2149,2836,317,5302,123,66,80,5,275,183,62,519,1054,681,626,69,2425,3019,382,5826,178,60,111,8,363,898,72,1328,13,9,3,0,25,36,12,70,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,186,64,116,10,387,934,77,1398,20,3,9,0,28,92,3,122,22,0,0,0,24,51,5,80,3,3,6,0,11,14,0,28,138,104,44,4,298,141,14,451,188,117,56,9,362,296,19,675,75,67,25,8,176,149,22,346,16304,16028,6813,533,39682,17677,2383,59743
202,15165,15338,6114,539,37163,13359,1828,52347,486,162,341,46,1035,2069,201,3303,104,33,57,13,204,161,43,405,589,198,392,57,1233,2233,251,3714,90,47,63,3,207,433,34,670,13,4,0,0,16,39,4,56,0,0,0,0,0,17,0,17,0,0,0,0,3,0,0,3,101,49,68,3,228,487,32,747,12,7,4,0,22,110,3,131,20,3,3,0,26,66,0,98,8,3,5,0,13,9,0,22,36,26,9,0,75,41,9,128,79,33,24,0,141,234,14,386,98,62,24,0,182,124,14,318,16035,15679,6626,604,38945,16435,2134,57513
203,25166,29766,10249,843,66022,20056,2773,88852,1616,683,747,74,3126,4619,373,8115,590,339,210,35,1177,714,165,2058,2209,1029,959,107,4300,5331,535,10170,401,181,174,16,773,1397,122,2284,26,6,6,0,37,91,14,145,45,16,8,0,66,116,16,198,0,0,0,0,0,7,0,11,476,201,184,15,878,1605,152,2637,14,9,3,0,33,53,0,79,34,3,14,0,51,197,6,260,3,7,0,0,13,8,0,20,48,110,21,5,173,71,27,271,99,129,36,7,272,322,31,627,87,77,31,4,202,124,20,346,28043,31202,11459,971,71673,27443,3514,102631
204,18641,16373,6240,469,41726,14698,1475,57905,561,161,281,24,1033,2134,126,3288,41,26,36,4,109,93,12,218,603,184,316,31,1139,2227,142,3507,205,57,136,13,408,1081,68,1561,6,3,10,0,17,27,7,51,8,15,6,0,31,47,3,81,0,3,0,0,3,0,0,3,223,78,154,13,466,1152,78,1690,43,13,8,0,65,150,3,216,34,8,12,0,52,118,10,175,8,3,4,0,15,14,0,33,39,38,15,0,89,65,3,157,120,62,33,3,219,348,13,583,141,94,37,5,270,131,10,414,19740,16792,6771,520,43821,18563,1712,64101
205,30041,25763,10411,733,66950,24724,2336,94012,645,166,290,23,1131,2825,114,4073,82,47,66,3,189,229,23,442,727,213,355,30,1322,3053,138,4514,573,125,254,31,982,2245,107,3326,8,5,4,0,19,23,5,46,4,0,0,0,3,5,0,9,0,0,0,0,0,6,0,7,585,132,258,31,1002,2277,109,3392,62,15,10,4,98,251,8,353,109,13,22,0,141,257,10,408,5,10,0,0,21,18,0,38,48,34,11,0,92,74,3,172,222,74,43,9,344,605,25,977,142,103,45,3,294,283,15,591,31717,26288,11113,801,69914,30946,2622,103488
206,12575,21220,4655,846,39297,9934,4180,53415,7873,6397,1918,482,16674,8110,3661,28450,8124,6976,2181,544,17818,6519,3947,28281,15996,13370,4099,1028,34493,14625,7610,56731,6415,2182,1339,456,10392,11999,3099,25494,8119,2150,1480,579,12332,15138,4118,31587,20869,5602,3787,2410,32673,31448,12918,77035,28,9,12,0,53,45,8,109,35430,9951,6626,3444,55449,58626,20148,134225,3,0,0,0,4,3,3,11,3,3,3,0,10,5,0,18,0,0,0,0,3,53,0,54,342,141,52,28,566,466,233,1258,349,146,59,27,585,526,230,1344,286,163,63,28,544,484,164,1192,64641,44851,15503,5376,130369,84193,32344,246911
207,19114,37144,7612,1063,64944,12766,2561,80264,3922,3567,1566,213,9278,5943,794,16012,2834,4139,1397,192,8562,1970,668,11201,6761,7712,2961,411,17837,7908,1459,27211,2036,1155,617,170,3979,3569,902,8448,1647,610,324,173,2756,2598,841,6192,1639,466,299,126,2533,2546,457,5527,0,4,0,0,5,4,0,8,5327,2231,1238,469,9270,8711,2202,20184,0,3,0,0,5,0,0,5,0,3,0,0,5,0,0,5,0,3,0,0,3,0,0,3,65,45,21,5,132,57,33,219,67,52,23,5,144,55,33,238,89,86,33,3,216,190,30,437,31361,47226,11870,1956,92410,29635,6284,128334
208,18902,39043,7803,854,66602,13477,2025,82105,5525,4626,2102,262,12518,8958,988,22466,4244,5145,1485,157,11032,3019,635,14688,9766,9772,3585,424,23552,11977,1621,37154,4903,2759,1499,295,9459,9153,1512,20124,1668,493,295,123,2578,2249,512,5338,1016,247,231,71,1557,1673,322,3550,7,6,0,0,15,17,3,39,7598,3505,2023,493,13615,13092,2346,29050,3,3,0,0,6,10,0,17,19,4,3,6,33,113,3,148,0,0,0,0,0,3,0,3,190,88,57,14,346,264,60,677,204,97,62,13,385,392,65,838,128,152,52,5,337,210,36,590,36596,52574,13533,1795,104491,39145,6094,149732
209,32447,59082,15582,1682,108794,22037,3705,134536,3258,3339,1763,245,8605,6092,766,15464,2356,2775,1286,192,6607,2150,705,9463,5615,6113,3054,432,15216,8240,1472,24922,1209,877,560,113,2758,2324,333,5414,309,88,81,27,507,685,152,1344,498,152,92,36,784,713,208,1705,3,0,0,0,8,8,0,15,2018,1122,735,183,4057,3727,690,8478,5,0,0,0,7,13,0,13,4,3,3,0,10,4,0,16,3,7,0,0,11,13,0,23,45,57,33,5,143,89,38,265,55,71,33,5,170,118,38,319,99,109,33,3,243,152,22,413,40236,66502,19437,2310,128476,34269,5922,168667
210,21876,42784,12045,1225,77934,15736,2124,95786,1944,2187,1227,161,5519,3827,403,9755,2191,2703,1052,152,6092,1743,476,8311,4131,4888,2284,315,11616,5570,880,18066,700,690,369,59,1821,1420,162,3404,41,25,28,4,104,88,9,198,30,26,30,3,94,130,6,230,7,8,3,0,17,14,3,30,786,748,437,69,2039,1642,181,3865,7,4,3,0,13,21,0,37,19,10,9,0,38,157,4,198,3,0,0,0,3,0,0,3,49,105,78,9,240,88,19,345,83,113,91,9,292,266,25,582,53,100,37,11,197,104,14,318,26925,48636,14891,1626,92080,23317,3217,118615
211,39867,63408,17101,1539,121914,27794,3469,153179,3005,1930,1363,123,6415,6347,433,13194,1178,1346,634,70,3234,1205,221,4656,4186,3271,1997,194,9647,7555,649,17851,400,223,165,28,814,1001,68,1881,206,76,82,13,369,335,39,745,154,45,43,4,246,285,29,560,4,3,3,0,8,9,0,23,770,339,289,40,1440,1635,138,3209,31,7,10,0,46,105,0,156,41,4,6,0,50,152,5,206,3,10,4,0,11,3,0,18,44,80,36,5,166,47,10,218,116,94,53,8,271,311,15,592,100,114,44,5,262,183,20,460,45031,67228,19486,1788,133533,37474,4291,175298
212,45714,89432,24170,2739,162050,29466,6040,197558,4544,5433,2326,308,12611,6988,962,20562,2128,3181,1163,213,6688,1495,1099,9284,6680,8612,3486,524,19294,8483,2065,29842,2389,2701,1173,211,6473,3951,727,11149,420,195,90,40,744,618,179,1538,334,133,93,54,607,667,177,1452,3,10,7,0,20,10,0,30,3147,3024,1363,304,7840,5246,1083,14170,17,4,4,0,32,172,4,214,39,17,10,0,69,218,7,285,5,3,0,0,6,18,0,29,58,109,59,11,244,92,18,354,123,136,83,18,351,498,29,877,107,141,44,17,308,212,45,565,55763,101346,29146,3590,189847,43902,9264,243018
213,39806,82359,24295,2595,149051,28214,5553,182821,4864,6446,2899,347,14560,7384,838,22782,3937,5418,1990,317,11668,2812,1046,15526,8801,11867,4893,663,26229,10198,1878,38303,1807,1510,945,202,4462,3934,634,9031,526,217,117,44,903,880,215,1997,792,250,162,71,1273,1366,321,2965,19,10,8,3,35,33,5,80,3143,1981,1232,316,6681,6210,1180,14072,31,5,8,0,45,125,11,181,15,10,3,0,26,109,7,148,3,4,3,0,5,9,0,12,78,93,36,4,213,97,44,355,126,106,51,3,292,348,56,694,108,123,47,3,281,222,35,535,51989,96440,30517,3593,182530,45191,8704,236425
214,24759,30480,10992,801,67039,18735,2198,87968,2421,1042,1259,110,4835,6014,300,11150,913,592,525,37,2064,984,125,3170,3332,1631,1785,150,6904,7003,423,14326,788,232,351,36,1401,2205,142,3743,39,11,12,0,63,125,10,193,21,5,5,0,37,45,9,90,0,0,0,0,3,15,0,13,849,247,369,42,1500,2387,158,4048,36,3,7,0,47,107,6,163,96,19,36,5,150,501,9,664,0,4,0,0,7,6,0,13,18,24,8,0,46,19,8,67,151,50,52,5,253,633,20,907,58,41,14,0,110,110,7,229,29152,32448,13212,999,75813,28867,2800,107477
215,15752,14109,5231,472,35564,13590,1382,50538,553,167,222,35,969,1683,94,2747,28,5,13,0,48,42,6,93,578,171,235,35,1015,1720,98,2838,306,132,178,22,643,1763,122,2532,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,306,132,181,23,647,1774,122,2542,61,10,5,0,80,165,6,258,33,5,7,3,47,89,12,152,7,3,3,0,10,15,3,32,51,29,17,0,93,61,0,154,152,39,32,3,230,334,23,593,134,78,31,8,249,133,12,392,16927,14530,5708,536,37704,17552,1643,56900
216,12982,12811,4845,346,30986,10098,1093,42184,562,278,264,28,1136,1866,137,3140,27,23,12,0,64,57,18,134,591,300,276,34,1197,1920,158,3275,154,56,85,9,300,742,34,1078,3,0,0,0,3,18,0,21,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,5,160,56,88,10,309,774,34,1110,34,11,3,0,48,161,3,212,43,12,13,0,74,132,5,216,3,4,0,0,7,8,0,15,20,28,13,0,61,25,10,93,107,49,31,0,188,329,18,529,68,43,12,6,127,83,13,222,13896,13265,5258,391,32811,13197,1310,47321
217,12948,12116,4274,383,29726,11116,1144,41981,334,95,191,24,640,1540,93,2270,100,44,35,0,181,190,25,398,435,138,222,23,820,1724,119,2666,131,50,78,12,267,809,60,1130,16,0,0,0,17,63,3,81,0,0,0,0,0,5,0,11,0,0,3,0,3,0,0,4,149,53,77,12,284,880,66,1231,10,5,3,3,26,51,0,77,32,9,4,0,49,64,4,117,0,6,0,0,6,5,0,11,41,29,8,0,69,39,7,121,80,49,17,3,149,165,12,332,103,69,24,0,198,116,6,326,13720,12427,4616,418,31180,14009,1347,46541
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
