SA4_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
201,2074,437,266,258,327,457,251,78,34,4185,1061,283,101,93,140,235,196,58,17,2181,475,775,555,420,515,712,723,342,84,4609,152,360,349,343,528,844,1798,1158,324,5873,273,437,371,422,581,895,1397,783,256,5417,196,551,487,451,560,791,891,374,116,4416,82,616,857,703,764,874,706,298,71,4964,35,565,1268,990,1078,1034,523,160,54,5714,13,317,1285,1210,1214,1073,446,110,39,5714,15,117,854,844,925,627,214,55,13,3653,0,47,588,838,753,586,134,30,5,2987,0,28,344,566,590,386,82,22,8,2023,3,15,385,755,846,549,106,24,5,2698,7,12,116,383,473,341,123,27,5,1481,566,425,710,759,933,907,949,574,250,6072,4948,4971,8530,9046,10223,10317,8547,4100,1291,61973,1720,309,535,561,621,1011,362,112,52,5282,1340,311,344,355,353,432,279,90,44,3540,598,834,750,699,733,1161,853,384,172,6185,196,553,651,740,866,1209,2169,1170,392,7946
202,1954,317,198,222,236,391,238,71,32,3653,1090,244,98,99,128,245,196,69,29,2201,424,606,401,342,420,713,632,320,104,3964,193,307,319,373,439,744,1554,1085,282,5286,195,352,361,376,557,751,1256,715,243,4801,151,530,441,450,533,737,937,416,133,4320,91,635,865,637,774,883,641,304,100,4937,33,558,1213,978,1035,1105,573,202,72,5759,15,343,1238,1052,1127,1053,455,141,49,5476,3,162,815,871,885,720,237,45,12,3757,0,55,594,821,819,607,165,36,19,3115,0,29,361,522,574,398,102,16,4,2005,3,20,420,799,903,550,125,37,13,2859,4,19,104,353,435,334,122,38,8,1419,601,423,933,845,965,971,909,621,354,6616,4748,4598,8364,8736,9833,10195,8128,4118,1457,60173,1679,270,451,582,579,880,284,105,64,4889,1295,338,323,341,321,439,234,63,51,3404,544,725,700,678,693,1019,846,385,133,5727,181,509,633,678,851,1186,1836,1128,375,7382
203,3824,774,514,388,460,705,429,161,89,7358,2106,634,203,166,204,337,278,122,41,4089,767,1188,738,538,629,993,1148,644,208,6857,314,710,569,539,670,1110,2435,1805,555,8710,342,827,686,524,776,987,1833,1123,496,7603,273,993,863,652,744,1131,1570,772,232,7227,118,1043,1468,1028,1094,1248,1148,508,191,7847,68,930,2137,1660,1720,1709,958,321,100,9614,23,622,2510,2223,2093,1900,894,243,67,10567,14,249,1872,1829,1616,1260,449,94,36,7415,9,127,1431,1799,1585,1133,311,75,20,6490,3,48,853,1373,1268,829,189,36,27,4620,3,29,947,2076,1955,1322,312,64,23,6737,6,33,310,1013,1207,805,279,80,31,3771,884,774,1530,1484,1465,1321,1352,907,546,10254,8752,8977,16643,17300,17491,16783,13587,6955,2667,109156,3182,580,1282,1357,1216,1846,693,246,219,10618,2527,674,606,787,611,766,471,163,63,6659,966,1351,1249,1235,1242,1701,1606,744,266,10363,361,909,1114,1277,1384,1846,2998,2006,696,12576
204,2081,269,208,203,278,506,331,136,35,4045,1095,205,75,105,161,251,228,64,21,2198,362,391,346,323,435,774,904,386,123,4049,183,247,256,357,530,902,1996,1342,370,6176,277,329,299,312,558,877,1618,831,336,5436,258,486,464,427,568,898,1146,531,171,4953,189,728,853,759,899,1041,852,337,96,5752,115,759,1328,1132,1428,1347,705,212,74,7114,43,440,1375,1371,1419,1410,590,163,74,6885,18,178,960,1019,1112,970,327,68,25,4672,8,94,592,834,926,750,190,46,23,3467,4,21,357,585,719,499,139,29,16,2377,3,12,308,653,893,663,165,45,8,2748,6,11,82,235,325,302,144,52,12,1172,734,415,812,896,1054,1236,1105,739,373,7370,5382,4583,8309,9220,11323,12425,10432,4982,1754,68406,1722,214,517,589,660,1099,463,140,52,5449,1334,225,333,383,353,463,278,111,42,3521,517,496,733,732,803,1250,1043,463,145,6181,199,331,669,760,858,1378,2400,1270,456,8333
205,3288,472,384,368,484,917,539,222,73,6742,1665,330,143,158,228,453,384,155,63,3578,659,763,714,685,908,1446,1523,802,229,7725,323,396,487,592,906,1515,3709,2271,575,10767,433,511,622,659,957,1496,2610,1485,552,9322,310,754,731,697,906,1327,2003,899,246,7875,157,953,1243,1037,1248,1448,1370,636,169,8266,71,878,1817,1515,1754,1856,1079,338,106,9412,32,588,2002,1730,1883,1886,953,284,77,9425,7,227,1376,1356,1324,1195,476,106,30,6088,6,119,967,1130,1288,1112,288,58,31,5002,0,40,633,888,1048,852,206,24,15,3714,4,65,798,1275,1634,1263,257,47,14,5361,13,46,341,620,972,770,214,75,30,3077,1081,763,1541,1462,1804,1946,2017,1232,554,12397,8033,6900,13812,14169,17348,19485,17619,8637,2763,108772,2728,401,967,946,1288,2135,722,236,102,9542,2065,423,578,611,690,966,476,166,63,6048,775,870,1246,1305,1445,2286,1796,778,243,10753,313,629,1198,1347,1603,2418,4214,2185,627,14533
206,6521,6888,3818,1349,1040,1015,733,375,144,21888,2265,1799,808,402,393,445,348,252,84,6798,1031,3112,2397,1081,1104,1205,1033,985,352,12295,452,2315,2445,1075,1179,1328,1876,1892,795,13360,310,2260,2886,1110,1231,1356,1747,1145,579,12633,303,2400,3929,1312,1153,1129,1206,639,249,12328,183,2106,4781,1809,1348,1240,1007,439,162,13079,148,2291,7203,2668,1950,1560,1064,368,147,17389,87,1879,9661,3733,2394,1787,1134,331,100,21098,29,871,8214,3416,2190,1511,740,202,50,17228,31,408,7343,3872,2492,1634,684,168,51,16685,17,192,4809,3554,2093,1300,526,137,47,12670,40,208,7954,7816,4806,2628,972,255,68,24748,34,171,3178,7224,6108,3689,1538,388,152,22486,1364,3027,8283,4722,3317,2588,1961,1205,603,27072,12815,29922,77711,45141,32810,24417,16573,8773,3585,251741,7088,8529,6390,3171,2208,1965,1060,530,246,31182,2838,2303,1370,1046,807,759,493,300,105,10032,1414,3952,3043,1759,1636,1930,1488,1257,431,16902,557,2864,2934,1659,1564,1853,2591,2341,1026,17397
207,7159,3312,1898,757,910,1108,822,441,131,16542,2522,1523,438,242,324,365,414,258,89,6179,918,2095,1049,456,561,801,923,833,315,7950,314,1329,979,450,585,777,1456,1697,686,8270,212,1088,1026,567,712,798,1186,1079,538,7210,166,1136,1325,659,803,949,1196,984,368,7585,56,970,1737,852,1034,1050,1152,765,270,7889,58,976,2478,1306,1386,1263,1176,607,235,9482,31,827,3167,1684,1689,1555,1125,508,199,10790,19,342,2405,1546,1416,1219,738,331,118,8134,17,164,1985,1722,1787,1344,764,268,98,8152,0,45,1232,1599,1600,1182,471,167,70,6363,11,52,1895,3704,3620,2464,891,267,109,13013,12,62,863,4285,5562,3195,1093,314,115,15497,743,828,1454,1156,1392,1119,932,982,665,9270,12230,14761,23938,20987,23376,19181,14340,9515,4013,142342,6493,2836,3097,3036,2681,2533,1421,639,321,23043,3054,1558,717,983,965,1015,704,347,172,9505,1048,2089,1180,1261,1366,1525,1469,1155,385,11473,330,1306,1046,1133,1314,1332,2257,2044,850,11612
208,6516,2291,1356,665,763,933,686,331,178,13727,2671,1340,352,202,278,356,373,211,88,5870,822,1652,821,467,563,785,959,797,346,7221,301,1075,714,469,637,894,1771,1687,746,8278,261,1038,866,625,757,1047,1605,1232,672,8108,188,1085,1206,681,813,1086,1442,912,417,7828,85,1001,1763,998,1149,1289,1158,651,313,8410,55,961,2741,1603,1727,1735,1156,456,245,10661,29,801,3483,2313,2276,2124,1264,440,189,12918,8,336,2829,2232,1949,1583,873,277,95,10191,23,127,2363,2562,2272,1710,738,226,84,10103,5,71,1510,2278,2037,1370,526,131,62,7983,6,59,2382,4956,4586,2625,905,228,93,15832,12,57,1010,5594,6350,3250,1079,281,142,17775,797,848,1759,1745,1826,1482,1281,1002,803,11547,11790,12743,25156,27381,27968,22264,15806,8859,4481,156447,5561,2275,2823,3061,2326,2069,1177,537,332,20160,3250,1386,650,994,949,931,675,282,150,9263,979,1849,1197,1358,1411,1574,1463,1057,501,11387,323,1138,1118,1282,1418,1600,2616,2089,983,12576
209,7497,2571,1983,1084,1040,1422,998,422,162,17181,3201,1406,504,349,368,500,479,211,74,7084,1212,2146,1704,1173,1182,1454,1822,1199,345,12237,447,1449,1351,967,1168,1547,3487,2804,775,14006,519,1430,1642,1157,1275,1339,2202,1428,649,11637,403,1709,2118,1398,1415,1493,1736,870,265,11407,212,1682,3440,2277,2014,1915,1381,603,177,13700,124,1626,5014,3366,3143,2624,1254,316,121,17587,45,1077,5518,4401,3863,2875,1110,288,93,19270,13,408,4096,3660,2976,2126,707,117,48,14143,9,208,2971,3635,2827,1888,473,97,28,12133,6,71,1839,2754,2219,1458,305,52,19,8720,0,82,2232,4540,3667,2164,441,80,19,13227,13,28,603,2203,2340,1342,321,78,31,6962,1305,1228,2737,2348,2175,1765,1578,1158,634,14934,15007,17111,37769,35302,31682,25916,18297,9718,3427,194224,6240,2380,4517,3528,2933,3389,1473,577,226,25257,3997,1620,1295,1499,1168,1175,715,303,145,11921,1548,2535,2686,2581,2188,2525,2186,1336,362,17954,433,1600,2098,2233,2251,2832,4414,2897,875,19633
210,5886,1655,1464,965,884,1028,717,339,94,13041,2450,1027,352,265,262,345,372,176,58,5311,986,1475,1456,1142,1235,1297,1365,869,277,10095,402,1016,1177,981,1106,1348,2643,2178,631,11482,372,1091,1242,959,1067,980,1586,1154,491,8940,276,1316,1649,1170,1171,1047,1192,629,226,8685,169,1371,2509,1773,1599,1375,837,407,157,10201,105,1312,3717,2607,2480,1774,743,237,87,13063,35,848,4026,3125,2905,2060,725,160,51,13940,18,349,2713,2473,2219,1426,365,78,32,9671,0,164,2004,2206,2060,1177,262,34,16,7930,4,65,1206,1691,1470,859,165,22,11,5496,3,56,1534,2774,2172,1221,225,39,16,8031,6,31,396,1187,1214,686,147,53,10,3739,1158,984,2182,1863,1766,1364,1241,878,431,11872,11887,12753,27632,25176,23610,17990,12600,7262,2587,141503,5089,1537,3545,2781,2347,2439,1072,442,167,19418,3040,1216,942,1068,869,766,475,227,87,8701,1232,1678,2190,2190,2049,2022,1684,1054,275,14376,328,1085,1599,1732,2062,2201,3389,2261,697,15357
