SA4_CODE_2016,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedonian_SEO,FOL_Macedonian_SOLSE_VWorW,FOL_Macedonian_SOLSE_NWorNAA,FOL_Macedonian_SOLSE_Tot,FOL_Macedonian_NS,FOL_Macedonian_Tot,FOL_Maltese_SEO,FOL_Maltese_SOLSE_VWorW,FOL_Maltese_SOLSE_NWorNAA,FOL_Maltese_SOLSE_Tot,FOL_Maltese_NS,FOL_Maltese_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_SOLSE_VWorW,FOL_Persian_ED_SOLSE_NWorNAA,FOL_Persian_ED_SOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_SOLSE_VWorW,FOL_Polish_SOLSE_NWorNAA,FOL_Polish_SOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Russian_SEO,FOL_Russian_SOLSE_VWorW,FOL_Russian_SOLSE_NWorNAA,FOL_Russian_SOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_SOLSE_VWorW,FOL_Samoan_SOLSE_NWorNAA,FOL_Samoan_SOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_SOLSE_VWorW,FOL_Serbian_SOLSE_NWorNAA,FOL_Serbian_SOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipino_SEO,FOL_SAL_Filipino_SOLSE_VWorW,FOL_SAL_Filipin_SOLSE_NWorNAA,FOL_SAL_Filipino_SOLSE_Tot,FOL_SAL_Filipino_NS,FOL_SAL_Filipino_Tot,FOL_SAL_Indonesian_SEO,FOL_SAL_Indonesia_SOLSE_VWorW,FOL_SAL_Indones_SOLSE_NWorNAA,FOL_SAL_Indonesian_SOLSE_Tot,FOL_SAL_Indonesian_NS,FOL_SAL_Indonesian_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_SOLSE_VWorW,FOL_SAL_Tagalog_SOLSE_NWorNAA,FOL_SAL_Tagalog_SOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_SOLSE_VWorW,FOL_SAL_Oth_SOLSE_NWorNAA,FOL_SAL_Oth_SOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_SOLSE_VWorW,FOL_SAL_Tot_SOLSE_NWorNAA,FOL_SAL_Tot_SOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_SOLSE_VWorW,FOL_Spanish_SOLSE_NWorNAA,FOL_Spanish_SOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_SOLSE_VWorW,FOL_Tamil_SOLSE_NWorNAA,FOL_Tamil_SOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_SOLSE_VWorW,FOL_Thai_SOLSE_NWorNAA,FOL_Thai_SOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_SOLSE_VWorW,FOL_Turkish_SOLSE_NWorNAA,FOL_Turkish_SOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_SOLSE_VWorW,FOL_Vietnamese_SOLSE_NWorNAA,FOL_Vietnamese_SOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_SOLSE_VWorW,FOL_Oth_SOLSE_NWorNAA,FOL_Oth_SOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_SOLSE_VWorW,FOL_Tot_SOLSE_NWorNAA,FOL_Tot_SOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LSatH_NS_SEO,F_LSatH_NS_SOLSE_VWorW,F_LSatH_NS_SOLSE_NWorNAA,F_LSatH_NS_SOLSE_Tot,F_LSatH_NS_NS,F_LSatH_NS_Tot,F_Tot_SEO,F_Tot_SOLSE_VWorW,F_Tot_SOLSE_NWorNAA,F_Tot_SOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_SOLSE_VWorW,PSEO_SOLSE_NWorNAA,PSEO_SOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_SOLSE_VWorW,POL_Afrikaans_SOLSE_NWorNAA,POL_Afrikaans_SOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_SOLSE_VWorW,POL_Arabic_SOLSE_NWorNAA,POL_Arabic_SOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_SOLSE_VWorW,POL_AIndLng_SOLSE_NWorNAA,POL_AIndLng_SOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Cantones_SEO,POL_CL_Cantones_SOLSE_VWorW,POL_CL_Cantones_SOLSE_NWorNAA,POL_CL_Cantones_SOLSE_Tot,POL_CL_Cantones_NS,POL_CL_Cantones_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_SOLSE_VWorW,POL_CL_Mandarin_SOLSE_NWorNAA,POL_CL_Mandarin_SOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot,POL_CL_Oth_SEO,POL_CL_Oth_SOLSE_VWorW,POL_CL_Oth_SOLSE_NWorNAA,POL_CL_Oth_SOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_SOLSE_VWorW,POL_CL_Tot_SOLSE_NWorNAA,POL_CL_Tot_SOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_SOLSE_VWorW,POL_Croatian_SOLSE_NWorNAA,POL_Croatian_SOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_Dutch_SEO,POL_Dutch_SOLSE_VWorW,POL_Dutch_SOLSE_NWorNAA,POL_Dutch_SOLSE_Tot,POL_Dutch_NS,POL_Dutch_Tot,POL_French_SEO,POL_French_SOLSE_VWorW,POL_French_SOLSE_NWorNAA,POL_French_SOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_SOLSE_VWorW,POL_German_SOLSE_NWorNAA,POL_German_SOLSE_Tot,POL_German_NS,POL_German_Tot
201,0,24,..,16,8,22,0,19,..,70,3,73,0,74,..,29,4,31,0,31,..,52,6,55,0,55,..,48,3,47,0,47,..,4,0,4,0,4,..,46,0,48,0,47,..,104,3,102,0,102,..,29,0,29,0,29,..,126,9,136,0,135,..,43,0,42,0,44,..,301,12,311,3,312,..,86,5,88,0,91,..,36,4,36,0,36,..,68,17,83,0,85,..,9,3,12,0,12,..,58,17,75,0,77,..,597,94,690,21,713,..,3267,436,3699,53,3751,..,239,19,253,5101,5356,71583,3501,454,3956,5155,80690,139419,..,..,..,..,139419,..,84,3,87,0,87,..,162,14,178,0,176,..,23,5,25,0,30,..,143,36,185,0,186,..,726,219,942,3,950,..,61,18,83,0,83,..,932,272,1209,5,1216,..,168,23,193,0,194,..,241,9,250,3,255,..,193,8,203,0,208,..,307,7,313,3,317
202,0,31,..,9,0,9,0,9,..,24,0,25,3,31,..,19,0,21,0,21,..,32,3,32,0,31,..,26,7,32,0,32,..,7,0,11,0,11,..,11,4,13,0,14,..,113,4,121,0,122,..,69,0,69,0,69,..,128,0,129,0,134,..,29,0,27,0,29,..,340,6,352,7,359,..,63,8,73,0,73,..,42,3,46,0,46,..,57,4,57,3,61,..,16,3,18,0,18,..,39,12,49,3,53,..,650,356,1011,30,1048,..,2784,672,3461,68,3523,..,205,4,210,5479,5691,69179,2988,681,3665,5548,78392,134612,..,..,..,..,134612,..,86,3,89,0,89,..,156,17,171,0,172,..,12,0,12,0,12,..,119,37,152,0,152,..,415,245,663,8,666,..,30,9,33,0,33,..,563,291,848,9,854,..,51,3,59,0,59,..,136,3,136,4,140,..,167,7,176,0,176,..,288,4,294,3,303
203,0,87,..,428,121,552,10,560,..,118,6,130,0,131,..,167,43,214,0,213,..,267,43,311,3,314,..,118,35,154,0,154,..,20,0,20,0,20,..,319,100,416,5,419,..,271,7,273,0,273,..,148,3,150,0,150,..,324,10,329,6,332,..,85,3,89,0,89,..,826,22,850,5,853,..,315,57,380,4,381,..,71,5,75,0,75,..,160,42,199,0,202,..,128,26,155,0,160,..,243,115,359,3,362,..,1941,659,2602,54,2656,..,11223,2229,13457,183,13643,..,359,27,392,7799,8188,121288,11584,2258,13845,7986,143119,235394,..,..,..,..,235394,..,186,0,183,5,190,..,557,128,686,9,702,..,24,0,24,0,24,..,379,75,451,0,459,..,1441,382,1817,26,1841,..,98,43,137,0,137,..,1916,494,2408,24,2439,..,1814,355,2165,16,2184,..,563,8,570,9,581,..,444,22,463,3,468,..,968,28,997,18,1011
204,3,30,..,17,0,18,0,18,..,29,3,28,0,28,..,13,3,17,0,17,..,53,10,56,0,55,..,27,3,28,0,28,..,8,0,8,0,8,..,43,5,47,0,47,..,113,3,120,0,121,..,27,3,33,0,35,..,164,10,170,0,170,..,40,0,39,0,39,..,348,13,364,3,362,..,82,7,85,0,92,..,21,0,19,0,19,..,84,22,103,3,108,..,14,9,16,0,16,..,31,9,33,0,33,..,539,132,674,12,679,..,3470,556,4029,66,4096,..,198,10,212,6135,6341,75833,3667,571,4237,6197,86275,149577,..,..,..,..,149577,..,75,0,82,0,82,..,116,8,129,0,131,..,24,0,24,0,23,..,118,46,160,0,161,..,343,157,502,3,505,..,73,36,105,0,102,..,534,233,764,10,778,..,170,24,197,0,201,..,179,7,183,0,187,..,225,4,229,5,241,..,593,15,609,5,614
205,0,35,..,13,3,13,0,14,..,146,14,155,0,154,..,18,0,18,0,18,..,126,19,150,3,152,..,51,8,63,0,63,..,4,0,4,0,4,..,62,12,74,0,74,..,221,19,239,5,240,..,59,3,56,0,61,..,232,8,239,0,240,..,71,5,74,0,74,..,581,28,606,7,616,..,162,18,183,0,189,..,52,7,61,3,60,..,116,35,150,0,155,..,10,3,8,0,8,..,111,60,172,0,174,..,886,179,1066,25,1093,..,5613,904,6516,106,6624,..,333,16,351,10164,10517,121103,5949,923,6874,10265,138247,237339,..,..,..,..,237339,..,183,0,188,0,187,..,255,39,296,14,310,..,27,0,27,0,28,..,201,68,276,4,279,..,565,264,834,9,839,..,71,17,88,0,88,..,836,358,1192,9,1205,..,178,22,202,0,202,..,678,18,689,5,696,..,248,8,261,4,261,..,717,20,740,16,750
206,17,2034,..,517,94,611,9,617,..,322,29,345,11,351,..,693,71,767,10,772,..,724,87,809,3,814,..,1108,531,1636,15,1653,..,56,0,56,0,56,..,493,80,573,4,580,..,541,14,551,0,549,..,2274,110,2386,17,2405,..,663,8,673,4,674,..,605,14,620,5,626,..,4077,148,4227,25,4255,..,3257,332,3595,12,3602,..,643,37,680,6,685,..,1409,361,1764,8,1776,..,914,259,1171,12,1175,..,3393,1629,5029,40,5066,..,7835,1426,9259,219,9474,..,78180,16758,94942,857,95802,..,619,130,751,24955,25702,184383,78802,16885,95686,25818,305884,361824,..,..,..,..,361824,..,388,5,394,3,403,..,6126,1242,7371,80,7447,..,57,0,53,0,53,..,7874,2120,9997,76,10073,..,29804,6171,35977,196,36169,..,2195,931,3127,28,3151,..,39875,9227,49095,300,49391,..,1143,121,1267,14,1280,..,889,14,903,13,913,..,3995,148,4146,35,4176,..,2775,79,2859,30,2887
207,8,1315,..,392,50,445,9,449,..,114,0,115,0,115,..,1289,240,1531,10,1546,..,363,29,396,3,397,..,339,31,364,3,365,..,29,0,29,0,29,..,208,30,234,4,239,..,297,3,304,0,304,..,849,65,917,3,919,..,384,0,382,3,384,..,231,4,233,0,233,..,1761,77,1836,5,1844,..,810,84,895,3,899,..,666,27,692,3,697,..,446,72,518,3,522,..,211,39,253,0,253,..,1750,371,2122,12,2138,..,2806,499,3297,83,3382,..,54898,13167,68064,496,68560,..,401,112,513,7446,7960,110336,55301,13277,68582,7943,186862,215176,..,..,..,..,215176,..,385,4,387,3,391,..,2507,325,2826,19,2853,..,12,0,12,0,12,..,14802,4047,18853,100,18952,..,29044,10816,39859,188,40045,..,2125,788,2915,8,2928,..,45978,15647,61622,305,61924,..,591,58,657,10,660,..,353,11,360,3,369,..,1456,45,1506,13,1511,..,1263,27,1287,11,1296
208,8,653,..,113,14,127,0,127,..,98,10,106,0,106,..,239,36,274,3,284,..,1038,119,1153,11,1164,..,3466,702,4172,32,4209,..,28,0,28,0,28,..,440,44,486,6,489,..,352,11,362,3,362,..,447,30,477,0,479,..,494,12,507,3,509,..,170,7,177,0,174,..,1464,56,1519,4,1530,..,1188,85,1277,18,1288,..,539,32,570,6,575,..,440,98,538,4,539,..,360,70,432,6,435,..,855,158,1013,4,1014,..,6004,701,6702,110,6818,..,42471,7105,49576,442,50020,..,485,67,552,9742,10301,149298,42957,7175,50132,10186,209615,289673,..,..,..,..,289673,..,575,9,583,3,588,..,1281,91,1374,16,1388,..,16,0,12,0,12,..,3008,642,3649,24,3675,..,12008,3494,15500,90,15589,..,903,293,1199,4,1204,..,15915,4435,20349,122,20470,..,699,65,769,9,774,..,574,13,586,6,594,..,2406,98,2508,16,2524,..,2035,43,2081,20,2103
209,4,329,..,5303,1280,6589,63,6648,..,716,60,775,10,783,..,891,286,1175,6,1183,..,398,38,433,3,438,..,311,44,353,3,359,..,509,27,537,9,545,..,612,124,739,5,737,..,784,25,804,11,819,..,448,38,486,3,489,..,982,22,1010,13,1021,..,302,19,325,3,324,..,2518,105,2629,27,2657,..,1146,137,1282,16,1301,..,1316,137,1453,16,1465,..,474,102,574,8,582,..,941,212,1155,11,1162,..,3058,1427,4484,41,4521,..,6816,1539,8352,203,8556,..,66820,15244,82058,953,83015,..,579,165,751,12344,13093,155766,67400,15408,82806,13297,251875,307322,..,..,..,..,307322,..,449,9,458,0,454,..,12293,2751,15044,161,15212,..,43,0,46,0,46,..,3172,1242,4410,30,4438,..,9614,4287,13906,87,13995,..,990,419,1407,10,1413,..,13776,5948,19720,128,19846,..,1630,256,1883,29,1914,..,418,11,424,9,430,..,1120,47,1166,14,1175,..,1232,39,1273,9,1287
210,3,157,..,566,67,640,10,645,..,1146,68,1212,16,1227,..,283,132,410,4,417,..,489,72,563,9,570,..,163,22,181,0,181,..,1001,70,1073,20,1094,..,393,75,469,0,469,..,781,26,804,11,811,..,263,16,282,6,284,..,1021,44,1063,13,1075,..,324,26,349,0,351,..,2386,109,2494,30,2526,..,1036,158,1202,6,1205,..,427,44,467,5,476,..,306,75,384,3,383,..,6094,1886,7984,81,8067,..,1481,765,2245,12,2258,..,8621,3202,11817,198,12015,..,58026,13806,71831,871,72702,..,464,179,639,9537,10175,100419,58487,13982,72475,10405,183294,199430,..,..,..,..,199430,..,157,3,159,3,163,..,18095,3989,22087,235,22323,..,26,0,26,0,26,..,1385,537,1924,7,1934,..,2273,848,3120,30,3148,..,227,66,298,3,302,..,3884,1453,5343,38,5379,..,1845,269,2118,16,2131,..,182,0,184,0,186,..,508,25,530,9,542,..,663,27,692,17,705
