SA4_CODE_2016,MSEO_SEO,MSEO_SOLSE_VWorW,MSEO_SOLSE_NWorNAA,MSEO_SOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_SOLSE_VWorW,MOL_Afrikaans_SOLSE_NWorNAA,MOL_Afrikaans_SOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_SOLSE_VWorW,MOL_Arabic_SOLSE_NWorNAA,MOL_Arabic_SOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_SOLSE_VWorW,MOL_AIndLng_SOLSE_NWorNAA,MOL_AIndLng_SOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_SOLSE_VWorW,MOL_CL_Canton_SOLSE_NWorNAA,MOL_CL_Canton_SOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_SOLSE_VWorW,MOL_CL_Mandarin_SOLSE_NWorNAA,MOL_CL_Mandarin_SOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_SOLSE_VWorW,MOL_CL_Oth_SOLSE_NWorNAA,MOL_CL_Oth_SOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_SOLSE_VWorW,MOL_CL_Tot_SOLSE_NWorNAA,MOL_CL_Tot_SOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_SOLSE_VWorW,MOL_Croatian_SOLSE_NWorNAA,MOL_Croatian_SOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_Dutch_SEO,MOL_Dutch_SOLSE_VWorW,MOL_Dutch_SOLSE_NWorNAA,MOL_Dutch_SOLSE_Tot,MOL_Dutch_NS,MOL_Dutch_Tot,MOL_French_SEO,MOL_French_SOLSE_VWorW,MOL_French_SOLSE_NWorNAA,MOL_French_SOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_SOLSE_VWorW,MOL_German_SOLSE_NWorNAA,MOL_German_SOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_SOLSE_VWorW,MOL_Greek_SOLSE_NWorNAA,MOL_Greek_SOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_SOLSE_VWorW,MOL_IAL_Bengali_SOLSE_NWorNAA,MOL_IAL_Bengali_SOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_SOLSE_VWorW,MOL_IAL_Hindi_SOLSE_NWorNAA,MOL_IAL_Hindi_SOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_SOLSE_VWorW,MOL_IAL_Punjabi_SOLSE_NWorNAA,MOL_IAL_Punjabi_SOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_SOLSE_VWorW,MOL_IAL_Sinhal_SOLSE_NWorNAA,MOL_IAL_Sinhal_SOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_SOLSE_VWorW,MOL_IAL_Urdu_SOLSE_NWorNAA,MOL_IAL_Urdu_SOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_SOLSE_VWorW,MOL_IAL_Oth_SOLSE_NWorNAA,MOL_IAL_Oth_SOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_SOLSE_VWorW,MOL_IAL_Tot_SOLSE_NWorNAA,MOL_IAL_Tot_SOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_SOLSE_VWorW,MOL_Italian_SOLSE_NWorNAA,MOL_Italian_SOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_SOLSE_VWorW,MOL_Japan_SOLSE_NWorNAA,MOL_Japan_SOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Korean_SEO,MOL_Korean_SOLSE_VWorW,MOL_Korean_SOLSE_NWorNAA,MOL_Korean_SOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_SOLSE_VWorW,MOL_Macedon_SOLSE_NWorNAA,MOL_Macedon_SOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Maltese_SEO,MOL_Maltese_SOLSE_VWorW,MOL_Maltese_SOLSE_NWorNAA,MOL_Maltese_SOLSE_Tot,MOL_Maltese_NS,MOL_Maltese_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_SOLSE_VWorW,MOL_Persian_ED_SOLSE_NWorNAA,MOL_Persian_ED_SOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_SOLSE_VWorW,MOL_Polish_SOLSE_NWorNAA,MOL_Polish_SOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Russian_SEO,MOL_Russian_SOLSE_VWorW,MOL_Russian_SOLSE_NWorNAA,MOL_Russian_SOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_SOLSE_VWorW,MOL_Samoan_SOLSE_NWorNAA,MOL_Samoan_SOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_SOLSE_VWorW,MOL_Serbian_SOLSE_NWorNAA,MOL_Serbian_SOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_SOLSE_VWorW,MOL_SAL_Filipin_SOLSE_NWorNAA,MOL_SAL_Filipin_SOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_SOLSE_VWorW,MOL_SAL_Indon_SOLSE_NWorNAA,MOL_SAL_Indon_SOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_SOLSE_VWorW,MOL_SAL_Tagalog_SOLSE_NWorNAA,MOL_SAL_Tagalog_SOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_SOLSE_VWorW
201,67839,..,..,..,..,67839,..,43,3,43,0,43,..,97,8,105,0,105,..,8,3,15,0,15,..,74,15,92,0,92,..,358,112,466,3,469,..,30,10,37,0,37,..,458,136,592,3,597,..,83,16,93,0,93,..,100,4,100,0,108,..,85,3,91,0,91,..,130,4,132,0,132,..,116,19,133,0,137,..,48,0,49,0,49,..,117,5,125,0,125,..,141,6,147,0,148,..,47,8,52,3,56,..,49,6,56,0,56,..,66,7,74,0,74,..,470,35,503,4,507,..,173,3,175,4,181,..,54,10,62,0,62,..,19,0,17,0,17,..,18,5,25,3,31,..,74,3,72,0,72,..,38,8,45,0,45,..,32,4,32,0,34,..,45,0,44,0,44,..,3,0,3,0,3,..,41,4,46,5,57,..,64,3,73,0,73,..,15,3,13,0,13,..,77,5,85,0,86,..,12
202,65439,..,..,..,..,65439,..,42,0,42,0,42,..,87,5,94,0,94,..,8,0,8,0,8,..,51,17,71,0,71,..,190,111,297,4,303,..,17,3,23,0,23,..,259,134,390,4,393,..,22,3,21,0,21,..,62,0,63,0,61,..,72,3,72,0,72,..,138,0,137,0,139,..,109,12,127,0,127,..,32,0,27,0,27,..,112,3,116,0,113,..,122,11,131,0,135,..,57,0,54,0,59,..,36,0,38,0,35,..,62,5,70,0,70,..,415,25,439,3,445,..,164,9,175,0,173,..,28,0,32,0,34,..,25,10,34,0,34,..,7,0,9,0,9,..,35,0,40,0,36,..,15,3,20,0,20,..,15,0,15,0,15,..,14,4,21,0,21,..,14,0,14,0,14,..,11,8,13,0,13,..,79,0,81,0,80,..,31,0,31,0,31,..,56,3,60,3,59,..,18
203,114106,..,..,..,..,114106,..,92,0,97,0,95,..,321,70,388,6,396,..,13,0,13,0,13,..,175,43,224,3,220,..,701,183,889,5,891,..,61,28,83,0,83,..,940,259,1194,10,1200,..,883,144,1029,13,1043,..,252,6,257,3,258,..,195,12,206,3,206,..,429,8,444,5,446,..,455,57,511,9,520,..,64,4,67,0,67,..,320,9,329,3,330,..,397,31,427,3,429,..,134,6,142,0,142,..,142,10,148,0,148,..,195,5,202,7,203,..,1251,63,1314,9,1323,..,1091,113,1206,31,1237,..,112,10,128,0,128,..,51,18,72,0,72,..,435,73,507,8,513,..,121,13,134,5,137,..,190,32,221,0,222,..,172,28,192,0,197,..,106,17,130,0,128,..,17,0,16,0,16,..,332,57,391,5,397,..,166,3,169,0,169,..,118,0,119,0,124,..,199,0,201,0,201,..,65
204,73744,..,..,..,..,73744,..,39,0,34,0,34,..,66,3,67,0,74,..,18,0,18,0,21,..,59,24,82,0,83,..,161,74,238,3,242,..,50,17,74,0,70,..,273,118,394,3,399,..,88,11,102,0,102,..,75,3,72,0,77,..,105,0,103,3,108,..,261,5,266,3,275,..,97,9,113,3,109,..,16,0,19,0,19,..,75,4,76,0,76,..,123,10,134,3,136,..,44,6,53,0,53,..,36,0,35,0,38,..,141,30,171,0,174,..,433,50,483,6,486,..,635,74,708,17,724,..,51,7,56,0,56,..,23,7,27,0,27,..,10,0,17,0,17,..,31,3,32,0,34,..,19,0,17,0,17,..,36,3,38,0,38,..,14,0,18,0,18,..,6,0,10,0,10,..,43,10,49,0,51,..,63,3,64,0,64,..,18,0,18,0,20,..,87,6,95,0,95,..,33
205,116236,..,..,..,..,116236,..,94,0,94,0,89,..,144,13,160,6,168,..,9,0,9,0,9,..,101,38,138,0,138,..,252,119,370,9,371,..,34,7,43,0,43,..,382,163,549,6,559,..,96,13,110,0,110,..,301,10,307,0,314,..,114,3,113,0,119,..,335,13,343,3,351,..,285,42,329,10,335,..,45,0,45,0,45,..,107,5,114,4,119,..,133,14,143,3,146,..,93,3,96,0,96,..,47,0,46,0,45,..,81,7,83,0,83,..,502,32,537,9,542,..,877,97,971,29,1000,..,58,9,69,3,65,..,22,10,29,0,29,..,16,0,16,0,16,..,145,4,148,0,148,..,21,0,28,0,28,..,112,12,123,0,128,..,45,4,48,0,45,..,11,0,11,0,11,..,51,11,61,4,61,..,74,5,79,0,79,..,28,0,28,0,28,..,110,11,113,0,116,..,36
206,177437,..,..,..,..,177437,..,212,3,218,3,225,..,3267,496,3767,42,3801,..,29,0,33,0,33,..,3526,919,4440,40,4481,..,12382,2657,15032,73,15106,..,990,428,1421,9,1434,..,16896,4004,20895,119,21019,..,539,54,591,7,601,..,418,12,428,7,436,..,1945,73,2015,9,2027,..,1350,42,1391,14,1402,..,6694,1747,8441,79,8519,..,475,8,490,5,490,..,2660,72,2729,21,2751,..,512,30,541,3,546,..,512,20,533,3,537,..,713,25,737,6,747,..,2158,72,2230,9,2241,..,7035,226,7261,50,7312,..,6886,986,7874,84,7959,..,902,178,1078,13,1091,..,1230,564,1797,20,1811,..,445,57,506,3,506,..,262,14,274,3,274,..,765,83,843,13,854,..,489,30,520,3,518,..,766,300,1065,8,1078,..,48,0,53,0,49,..,471,43,510,3,517,..,348,3,353,4,352,..,1915,98,2014,9,2029,..,406,5,411,3,420,..,492
207,104833,..,..,..,..,104833,..,181,0,188,0,184,..,1325,130,1453,8,1466,..,5,0,5,0,5,..,7016,1760,8780,47,8822,..,13347,4654,18000,89,18087,..,986,348,1333,6,1337,..,21356,6761,28113,138,28255,..,276,24,298,4,300,..,172,4,180,0,177,..,674,21,700,6,705,..,577,12,584,3,588,..,5973,823,6796,57,6853,..,252,9,259,4,262,..,1610,38,1649,15,1660,..,627,25,648,4,647,..,940,23,964,10,974,..,423,13,437,0,434,..,1189,54,1240,7,1250,..,5038,161,5199,40,5231,..,3405,336,3743,44,3787,..,410,48,458,4,468,..,810,253,1063,14,1076,..,381,31,409,8,417,..,78,3,83,0,83,..,1423,245,1667,7,1676,..,266,13,276,0,276,..,227,14,246,0,246,..,12,0,12,0,12,..,186,19,202,3,209,..,149,0,155,0,155,..,712,50,764,4,763,..,206,0,203,0,209,..,191
208,140373,..,..,..,..,140373,..,290,3,291,3,292,..,659,33,693,5,697,..,15,0,15,0,15,..,1364,290,1646,13,1660,..,5308,1432,6740,40,6783,..,442,126,574,4,575,..,7115,1847,8958,56,9017,..,299,28,325,3,323,..,258,4,264,0,260,..,1090,46,1144,7,1148,..,924,16,939,15,953,..,5572,892,6462,62,6522,..,191,3,196,0,196,..,1719,51,1763,6,1775,..,556,21,574,7,582,..,482,14,495,3,499,..,200,3,206,3,206,..,1329,75,1398,8,1405,..,4470,168,4639,28,4667,..,2187,196,2378,23,2405,..,669,142,808,6,815,..,415,136,559,3,557,..,102,10,114,0,112,..,72,0,76,0,74,..,256,28,286,0,290,..,746,73,816,5,824,..,3007,563,3563,25,3585,..,26,4,25,0,25,..,438,33,463,0,465,..,227,3,231,0,232,..,376,20,398,0,399,..,276,7,278,0,282,..,108
209,151561,..,..,..,..,151561,..,234,3,242,0,242,..,6483,1148,7632,89,7722,..,15,0,15,0,15,..,1527,564,2092,14,2102,..,4602,2052,6656,42,6702,..,464,190,655,3,654,..,6591,2812,9400,61,9462,..,757,105,861,17,874,..,195,0,192,3,193,..,531,28,560,5,569,..,587,18,605,8,611,..,6349,1151,7507,70,7576,..,450,23,470,3,474,..,2916,119,3041,34,3069,..,4037,360,4398,52,4448,..,1414,68,1486,10,1493,..,1125,78,1204,15,1223,..,1514,98,1612,11,1625,..,11458,746,12210,126,12335,..,8725,1353,10077,143,10227,..,327,43,365,0,365,..,226,58,285,3,286,..,5497,935,6429,73,6505,..,582,41,620,3,627,..,967,311,1279,13,1298,..,309,26,334,11,339,..,237,35,277,0,279,..,429,41,467,8,478,..,554,107,667,4,667,..,543,21,563,3,562,..,351,40,387,0,388,..,687,20,701,5,714,..,264
210,99010,..,..,..,..,99010,..,84,0,86,0,85,..,9211,1804,11007,117,11125,..,15,0,15,0,15,..,664,231,892,5,900,..,1042,395,1440,10,1453,..,113,29,146,3,147,..,1817,660,2481,20,2504,..,926,109,1035,9,1042,..,78,0,79,0,79,..,232,15,247,3,255,..,302,14,315,7,317,..,3110,543,3650,40,3690,..,470,23,490,7,498,..,1916,81,1994,19,2012,..,3060,308,3373,35,3408,..,1876,80,1958,9,1964,..,3412,221,3630,51,3678,..,1585,178,1761,13,1774,..,12313,890,13206,134,13334,..,7044,1092,8136,147,8288,..,106,24,133,0,132,..,90,29,124,0,124,..,544,70,610,6,615,..,952,45,995,22,1013,..,416,184,601,15,612,..,376,32,409,4,416,..,98,11,110,0,110,..,920,93,1011,22,1037,..,394,63,455,0,453,..,534,15,546,3,549,..,200,13,217,5,217,..,750,22,778,10,779,..,252
