SA2_MAINCODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
201011001,10,6,17,12,25,42,78,76,33,295,0,0,4,11,9,4,0,4,0,28,27,33,69,66,85,80,76,53,16,506,347,715,1485,1600,1611,1218,864,398,121,8366
201011002,11,5,9,17,18,42,94,128,130,451,0,0,4,0,3,3,3,4,0,16,52,57,85,94,119,107,121,88,55,791,326,788,1378,1383,1666,1551,1250,784,389,9514
201011003,12,14,32,35,46,108,248,247,164,907,4,3,3,7,14,4,3,8,3,53,76,108,190,180,182,201,247,215,139,1538,611,1553,3001,2813,3069,2889,2246,1283,595,18056
201011004,23,29,57,54,95,171,336,316,184,1270,0,6,7,8,11,15,11,3,3,73,88,199,286,212,233,264,298,244,165,1978,679,2351,3610,2882,2773,2749,2262,1270,574,19145
201011005,0,7,6,4,6,17,50,43,12,142,0,3,0,8,5,0,0,0,0,12,21,23,53,61,60,89,76,38,16,437,272,646,606,922,935,986,684,285,79,5408
201011006,3,3,6,16,26,45,94,65,47,305,0,0,3,4,8,7,3,0,0,28,27,31,47,52,60,47,64,63,28,414,225,516,965,867,889,780,644,315,146,5336
201011007,5,3,0,9,9,29,45,22,8,129,0,0,0,0,0,0,0,0,0,0,14,8,27,26,36,40,29,17,4,201,128,201,308,538,658,571,337,109,26,2870
201011008,8,14,39,41,69,112,228,250,147,918,0,0,3,6,12,8,3,3,4,45,54,62,141,138,150,161,171,184,99,1158,390,913,1934,1689,1682,1626,1526,1032,470,11258
201021009,0,3,15,11,16,30,95,55,23,249,0,0,0,0,6,3,3,0,0,9,27,20,42,57,85,80,85,38,23,452,159,244,543,779,963,845,670,244,86,4545
201021010,3,4,16,16,37,55,141,123,65,464,0,0,0,0,0,4,0,4,0,12,38,34,68,64,114,143,128,115,57,760,188,331,660,870,1075,1326,1059,528,237,6268
201021011,6,0,4,6,21,39,104,99,62,343,0,0,3,0,0,6,6,3,0,20,27,23,42,91,126,184,147,105,72,821,159,268,580,1028,1426,1735,1391,560,261,7414
201021012,3,0,16,9,18,42,75,47,20,236,0,0,4,0,3,0,3,0,0,12,30,28,46,53,112,97,85,36,8,491,160,251,417,712,1015,867,642,221,63,4357
201031013,0,0,9,8,26,24,68,63,24,236,0,0,0,0,0,3,3,0,0,10,12,10,18,36,30,67,73,40,24,305,53,117,204,348,439,656,583,242,74,2713
201031014,0,0,9,7,16,51,80,62,26,251,0,0,0,0,0,0,4,0,0,5,10,8,95,114,152,131,144,67,41,758,74,145,382,495,660,769,675,244,117,3562
201031015,3,11,3,6,8,37,67,29,23,192,0,0,0,0,0,0,0,0,0,7,21,11,24,39,57,60,59,28,4,312,125,193,414,572,676,700,533,172,54,3432
201031016,4,7,11,16,33,93,190,214,128,703,0,0,5,4,6,3,4,3,4,32,16,28,39,76,94,106,154,145,59,717,180,410,652,756,954,1089,1214,824,351,6431
201031017,0,3,6,19,31,57,140,87,41,381,0,0,3,0,0,4,3,0,0,12,14,16,25,35,69,79,109,59,20,423,110,216,361,486,804,982,873,368,108,4312
202011018,9,22,45,41,66,114,174,177,141,786,0,3,18,15,22,22,12,5,0,97,66,81,182,167,177,196,193,233,185,1485,371,1155,2092,1697,1801,1809,1365,859,503,11638
202011019,6,22,45,39,70,101,193,197,103,773,0,4,13,10,15,14,13,0,0,68,75,83,161,129,141,164,161,135,59,1112,374,868,1577,1376,1402,1472,1188,676,251,9188
202011020,10,8,28,21,46,57,109,184,199,663,0,4,10,14,10,11,3,5,6,64,40,46,70,66,122,121,154,162,109,885,415,1058,1440,1338,1699,1741,1532,1052,613,10884
202011021,3,3,10,15,15,32,59,80,69,289,0,0,7,9,5,8,0,0,0,23,34,53,81,72,72,52,51,57,79,557,348,1136,1202,1097,1051,1048,726,418,284,7306
202011022,15,18,48,62,65,123,313,329,185,1159,3,6,27,24,23,9,17,10,3,126,58,78,205,159,156,187,276,271,220,1618,465,1331,2774,2240,2227,2381,2145,1422,668,15661
202011023,3,0,3,3,9,21,46,26,11,118,0,0,3,0,0,0,0,0,0,8,28,11,26,39,53,30,28,9,4,237,145,226,559,785,738,573,362,96,25,3511
202011024,3,0,8,9,16,12,58,42,15,168,0,0,0,3,0,0,3,0,0,8,28,23,32,43,65,71,41,36,7,352,220,382,798,1277,1206,1045,699,298,71,5989
202011025,0,10,31,25,32,48,120,99,43,408,0,4,9,9,15,5,4,4,0,51,48,55,118,103,119,110,83,75,24,728,337,799,1962,1429,1410,1327,865,416,110,8653
202021026,0,0,3,4,19,44,70,39,11,193,0,0,0,0,0,0,0,0,0,3,24,16,68,62,79,90,71,27,12,445,186,283,692,907,1172,1045,704,213,55,5253
