SA2_MAINCODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
201011001,27,84,48,36,50,8,0,255,0,0,3,3,3,0,0,10,0,0,3,0,0,0,0,3,36,117,93,70,117,31,7,469,0,10,3,3,4,3,0,21,3,5,3,3,10,0,0,25,3,18,3,4,12,3,0,43,34,137,97,80,124,32,6,520,47,28,20,15,8,7,0,127,0,0,0,0,0,0,0,4,82,165,122,89,140,40,8,643
201011002,23,48,32,15,30,12,6,161,4,0,4,0,0,0,0,11,0,0,0,0,0,0,0,6,32,67,61,38,70,28,15,314,7,5,3,0,0,0,0,20,0,6,3,3,0,0,0,19,9,14,9,4,0,3,0,39,39,84,69,40,72,27,16,348,35,33,18,15,9,7,4,112,0,0,0,0,0,0,0,0,77,121,86,55,83,31,15,463
201011003,53,92,53,29,44,14,5,293,3,7,4,3,0,0,0,18,0,0,8,4,3,0,0,17,71,134,89,60,111,35,19,519,8,10,11,10,0,0,0,35,12,20,6,15,9,5,0,70,18,31,14,18,11,6,0,104,87,168,112,82,122,40,16,627,110,142,64,45,45,5,4,428,0,0,0,0,0,0,0,9,198,313,174,127,171,45,21,1059
201011004,67,117,85,50,87,21,10,430,12,7,3,7,8,0,0,41,0,0,0,0,0,0,0,3,108,183,130,88,164,49,14,735,3,25,7,15,3,3,0,54,17,39,17,12,10,0,0,99,22,66,32,22,17,3,0,156,126,251,158,106,179,50,14,894,261,184,94,71,62,16,3,694,5,0,0,0,0,0,0,5,388,434,259,184,243,67,22,1590
201011005,6,19,18,3,8,3,0,73,0,3,0,3,0,0,0,8,0,0,0,0,0,0,0,0,9,36,35,21,27,15,3,150,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,9,40,36,18,26,15,3,153,17,25,8,5,4,3,0,61,0,0,0,0,0,0,0,0,29,61,50,28,32,20,3,217
201011006,23,48,22,12,30,6,4,142,4,3,3,0,0,0,0,8,0,0,0,0,3,0,0,7,28,65,46,25,49,17,4,247,0,4,6,0,0,0,0,14,7,17,5,0,3,0,0,32,10,24,9,0,9,0,0,49,38,88,58,29,54,17,4,293,52,42,27,17,19,3,0,165,0,0,0,0,0,0,0,3,89,136,82,45,72,22,7,460
201011007,0,4,0,4,0,0,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,13,11,10,6,3,3,47,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,3,0,0,0,0,0,7,9,15,11,10,9,3,3,54,3,16,11,0,5,0,0,38,0,0,0,0,0,0,0,0,15,26,16,7,18,6,5,94
201011008,36,60,50,22,33,6,5,219,3,8,0,0,4,3,0,15,0,3,0,0,0,0,0,10,50,94,78,37,80,27,7,368,0,12,6,3,7,0,0,28,16,21,15,6,10,0,0,71,16,36,18,9,15,0,0,99,63,136,100,42,89,27,7,464,159,113,61,45,37,10,0,425,0,0,0,0,0,0,0,5,227,249,158,87,131,34,7,899
201021009,7,11,14,13,10,3,0,67,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,16,23,24,20,29,7,0,121,0,5,3,0,0,0,0,10,0,0,5,4,3,0,0,14,0,5,9,3,3,0,0,23,17,24,32,24,33,11,0,140,25,19,18,0,5,3,0,78,0,0,0,0,0,0,0,0,39,47,44,29,45,15,0,222
201021010,12,30,14,19,22,3,3,88,0,3,3,3,3,0,0,10,0,0,0,4,3,0,0,6,13,46,20,24,34,7,3,147,3,3,3,0,0,0,0,9,0,5,0,0,0,0,0,8,3,5,7,3,0,0,0,18,18,56,25,29,34,7,8,170,33,32,23,12,12,3,0,111,0,0,0,0,0,0,0,0,50,84,50,38,49,7,3,284
201021011,11,32,37,15,21,0,0,121,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,23,47,45,21,41,3,3,184,0,3,0,0,0,0,0,7,0,5,5,0,0,0,0,14,0,10,5,0,0,0,0,12,24,55,54,23,46,3,3,202,31,26,16,8,6,0,0,93,0,0,0,0,0,0,0,3,52,81,67,38,46,5,9,298
201021012,7,17,12,11,7,3,0,63,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,7,25,17,12,15,3,3,87,0,4,4,0,0,0,0,10,0,4,0,4,3,0,0,8,0,7,4,4,0,0,0,15,15,32,15,16,17,6,3,102,19,23,7,8,6,0,0,69,4,0,0,0,0,0,0,3,36,54,30,25,26,6,3,181
201031013,0,3,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,3,0,0,24,0,3,3,0,0,0,0,12,0,0,4,0,0,0,0,9,0,6,4,3,0,0,0,14,0,12,12,3,6,0,0,35,13,15,10,8,9,0,0,53,0,0,0,0,0,0,0,0,8,28,21,8,19,3,0,90
201031014,11,18,10,7,7,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,24,12,6,5,3,0,71,0,4,3,0,0,0,0,6,0,3,0,0,0,0,0,6,3,7,3,0,3,0,0,11,18,28,14,11,11,3,0,82,15,7,9,7,3,0,0,40,0,0,0,0,0,0,0,0,33,36,24,20,14,6,0,127
201031015,3,18,8,9,4,3,0,41,3,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,7,24,11,11,15,8,3,73,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,9,7,24,11,11,16,9,3,79,21,22,12,10,14,7,0,79,0,0,0,0,0,0,0,0,25,44,22,21,27,13,3,165
201031016,16,31,22,12,33,7,0,112,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,16,46,34,30,47,20,0,186,3,10,4,0,3,0,0,22,5,13,3,4,3,0,0,21,9,16,4,11,9,0,0,46,22,63,39,36,53,20,3,231,85,81,35,40,20,4,0,271,0,0,0,0,0,0,0,0,114,145,71,76,76,23,5,506
201031017,9,8,9,9,6,0,3,47,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,16,17,17,13,3,3,72,0,7,0,0,0,0,0,7,3,8,6,7,0,0,0,24,5,15,6,6,3,0,0,29,14,31,23,19,13,9,3,109,22,28,24,21,17,0,0,111,0,0,0,0,0,0,0,4,42,51,46,38,29,8,3,217
202011018,27,64,46,35,39,13,7,225,7,3,0,0,4,0,0,19,0,0,0,0,0,0,0,3,50,80,65,55,91,30,13,384,0,9,10,3,10,0,0,34,19,20,12,14,8,3,0,66,21,30,14,15,16,3,0,97,70,111,76,74,105,31,13,476,137,99,60,36,51,12,5,392,0,0,3,0,0,0,0,3,201,210,140,108,151,41,18,874
202011019,34,75,56,32,35,11,0,238,6,4,0,3,0,0,0,17,0,0,0,0,3,0,0,9,51,111,68,60,65,25,9,390,4,8,9,3,3,0,0,26,14,11,3,3,10,0,0,34,20,21,9,6,12,0,0,65,67,127,82,71,72,25,9,455,144,154,79,43,42,7,3,471,4,0,0,0,0,0,0,4,218,281,160,114,119,32,12,928
202011020,26,67,35,25,41,10,7,210,3,3,3,3,0,0,0,12,0,0,0,0,0,0,0,4,33,105,54,58,74,30,19,381,7,6,3,3,3,0,0,20,4,9,6,0,0,0,0,21,5,13,9,4,11,5,0,45,45,115,72,58,87,34,19,425,77,78,37,15,22,6,6,239,0,0,0,0,0,0,0,4,125,190,104,74,106,37,22,671
202011021,16,41,31,24,34,6,0,152,3,5,0,0,3,3,0,12,0,0,0,0,0,0,0,3,22,68,59,48,68,24,3,294,0,3,0,3,0,0,0,11,0,5,0,0,0,0,0,11,0,12,3,3,0,0,0,17,25,80,61,49,71,27,3,317,58,46,28,16,20,6,0,180,0,0,0,0,3,0,0,3,88,125,92,60,90,35,3,495
