SA2_MAINCODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
201011001,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,3,0,8,0,7,0,3,0,21,0,3,0,3,0,19,0,10,0,3,0,42,3,7,0,17,0,28,3,3,0,13,0,75,3,11,0,60,0,38,3,8,3,9,0,128,5,12,0,58,9,32,0,4,0,0,0,124,14,5,0,70,5,28,0,0,3,0,0,135,59,4,0,147,22,38,4,4,3,4,0,287,58,9,0,109,10,21,0,0,0,3,0,215,58,4,6,53,9,4,3,0,0,0,0,132,25,3,0,21,9,17,0,0,0,0,0,71,54,0,0,52,10,9,3,3
201011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,4,0,8,0,0,0,12,3,0,0,3,0,8,0,5,0,11,0,29,3,8,0,10,0,8,3,0,4,9,0,49,7,3,0,21,0,11,0,4,3,7,4,66,5,3,0,22,4,13,0,0,4,9,0,64,3,4,0,30,5,11,0,3,0,0,0,63,30,6,0,66,6,29,0,4,0,6,0,147,44,4,3,59,10,10,3,0,0,0,0,140,33,0,3,49,4,10,0,0,0,0,0,102,25,3,0,23,0,20,0,3,0,0,0,76,64,12,0,95,9,26,3,9
201011003,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,6,0,5,0,9,0,4,0,0,0,5,0,7,0,14,0,32,0,3,0,0,0,10,0,12,0,15,0,44,4,3,0,14,0,25,0,20,3,14,0,83,8,12,0,31,4,49,3,9,3,17,0,141,13,13,0,73,4,55,0,14,0,15,0,183,19,24,5,69,7,68,3,12,4,5,0,221,20,17,0,98,13,57,3,10,0,3,0,208,65,15,7,193,21,72,5,7,4,16,0,396,64,7,0,128,10,25,0,5,0,4,0,253,73,4,3,74,10,6,3,0,0,3,0,176,32,4,0,36,3,27,0,0,0,3,0,100,81,3,0,88,16,28,3,3
201011004,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,6,0,15,0,22,0,0,0,5,0,9,0,7,0,12,0,33,3,3,0,4,0,13,0,12,0,31,0,67,0,5,0,24,0,40,3,31,3,24,0,132,4,14,0,47,3,69,4,24,3,36,0,210,10,15,0,80,7,59,4,10,4,31,0,232,15,13,6,83,10,55,0,15,0,13,0,211,22,11,0,95,11,29,3,4,0,9,0,186,69,9,6,158,15,53,3,14,0,12,0,331,49,3,0,85,14,20,4,0,3,0,0,182,48,5,3,39,9,3,0,0,0,3,0,111,22,0,0,17,0,7,0,0,0,0,0,52,27,0,0,24,4,11,0,0
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,8,0,3,0,0,0,4,0,0,0,3,0,13,3,0,0,10,0,8,0,3,3,6,0,42,4,7,0,17,0,17,0,0,0,0,0,51,6,3,3,34,5,20,0,0,0,3,0,73,5,7,0,31,5,17,0,0,3,3,0,72,25,8,3,75,4,27,4,3,0,3,0,147,34,4,0,60,3,10,0,6,0,0,0,116,31,0,3,48,6,5,0,0,0,0,0,91,20,3,3,9,0,7,0,0,0,3,0,45,36,3,0,37,3,6,3,3
201011006,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,5,0,7,0,7,0,13,0,25,3,0,0,5,0,17,0,9,0,10,0,41,3,0,0,16,0,16,0,6,0,5,0,53,9,5,0,34,0,22,3,4,0,3,0,72,8,3,0,44,7,23,3,3,3,7,0,99,12,0,0,35,0,10,3,8,0,0,0,73,33,6,0,71,3,15,0,3,0,3,0,133,33,3,0,46,3,7,0,0,0,0,0,95,15,0,0,23,3,0,0,0,0,0,0,38,8,0,0,3,3,0,0,0,0,0,0,14,15,0,0,14,0,4,0,0
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,8,0,3,0,3,0,0,0,0,0,0,0,10,4,0,0,9,0,12,0,0,3,7,0,37,0,0,0,24,0,14,0,3,0,6,0,47,6,3,3,23,0,15,0,0,0,4,0,58,10,0,0,30,3,13,0,0,3,3,0,58,23,0,0,43,4,8,3,0,3,7,0,97,21,0,0,34,8,7,0,0,0,3,0,75,19,0,0,8,0,3,0,0,0,0,0,39,10,0,0,10,0,3,0,0,0,0,0,20,18,0,0,19,3,0,0,0
201011008,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,15,0,9,0,26,0,0,0,4,0,16,0,13,0,16,0,46,0,7,0,14,3,29,0,11,0,23,0,81,3,7,3,34,8,42,0,8,3,30,0,145,15,9,0,71,0,37,0,14,8,15,0,166,15,5,0,51,4,35,0,3,0,14,0,137,18,4,0,56,4,24,3,3,0,6,0,122,52,8,0,122,4,27,9,14,0,11,0,246,33,4,0,53,7,14,3,0,0,0,0,116,22,3,3,25,0,3,0,0,0,0,0,62,10,0,0,3,0,3,0,0,0,0,0,17,18,0,0,12,0,6,0,0
201021009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,3,0,0,0,7,0,16,0,3,0,0,0,8,0,6,0,3,0,19,0,3,0,9,0,20,0,3,0,0,0,43,0,9,0,18,0,16,0,3,0,7,0,51,6,7,0,14,4,10,0,3,5,4,0,52,6,0,0,30,3,11,3,0,0,0,0,60,18,0,0,44,10,32,4,0,0,8,0,116,23,4,0,36,3,8,0,3,0,4,0,79,22,3,0,17,3,4,0,0,0,0,0,51,14,0,0,11,0,3,0,0,0,0,0,30,25,3,0,28,4,9,0,3
201021010,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,3,0,3,0,7,0,0,0,4,0,12,0,0,0,3,0,0,0,6,0,3,0,26,4,6,0,10,0,11,0,9,3,11,0,50,3,9,0,13,3,25,0,7,0,10,0,80,6,3,0,29,3,17,0,3,3,9,0,86,10,0,0,24,3,11,0,0,0,6,0,61,8,0,0,25,3,18,0,0,0,0,0,58,20,10,0,47,6,20,0,3,0,7,0,106,13,0,3,30,3,5,3,3,0,0,0,63,13,0,3,13,3,0,0,0,0,0,0,33,3,0,0,3,0,0,0,0,0,0,0,10,15,0,0,13,0,7,0,0
