SA2_MAINCODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
201011001,1031,2043,24,135,214,998,30,131,888,3486,1158,4747,82,356,137,437,184,569,398,1357,1553,6106,11,40,62,208,10,28,192,554,274,832,31,101,67,164,107,230,207,494,476,1328,27,55,3086,9528
201011002,1211,2378,4,36,139,611,14,70,644,2530,803,3244,61,246,133,433,142,427,336,1104,1139,4351,0,8,34,107,17,47,182,470,227,627,21,63,73,151,150,316,237,529,470,1163,46,91,2861,7981
201011003,2335,4613,34,171,242,1099,41,192,1386,5432,1697,6891,117,482,209,671,390,1224,712,2379,2415,9273,13,62,61,238,41,147,412,1073,528,1519,52,158,96,210,351,743,500,1110,1026,2634,84,163,5856,16678
201011004,2245,4433,28,153,175,847,61,265,1256,4852,1520,6129,91,377,138,474,354,1122,588,1968,2105,8099,17,72,87,322,70,241,630,1687,803,2326,49,147,149,320,444,947,645,1413,1447,3740,133,279,5929,16543
201011005,697,1390,10,57,110,503,16,79,476,1948,607,2585,51,223,72,237,148,448,269,905,879,3493,7,17,11,45,3,19,78,212,97,296,10,33,24,46,60,126,93,208,194,499,13,23,1788,5406
201011006,708,1413,17,118,92,428,17,80,410,1605,536,2236,36,162,66,223,140,452,244,836,779,3069,8,41,38,132,13,59,151,426,217,655,22,62,28,66,107,233,153,353,363,1016,29,53,1880,5550
201011007,381,759,8,44,79,373,22,91,277,1137,386,1644,43,185,48,166,116,372,205,723,589,2366,0,0,9,35,5,10,32,95,45,135,0,7,5,20,40,74,48,100,94,237,7,12,1078,3379
201011008,1372,2720,20,132,115,541,39,179,808,3169,984,4027,59,242,76,259,260,823,400,1326,1378,5345,9,38,49,200,34,116,349,970,444,1321,28,101,67,149,254,543,355,787,795,2105,71,149,3623,10327
201021009,668,1324,14,87,63,299,16,82,353,1404,448,1877,43,190,54,196,145,461,246,840,693,2719,3,9,18,76,3,17,75,207,101,306,13,29,24,42,67,139,101,219,202,523,12,27,1584,4590
201021010,956,1888,12,79,65,311,31,137,400,1625,509,2145,31,136,45,158,157,494,235,787,747,2935,3,20,20,61,14,43,112,287,140,408,9,34,21,57,122,258,161,354,304,763,21,46,2021,5631
