SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
201011001,3114,165,149,0,20,3448,291,23,63,0,3,382,49,4,7,0,3,65,3456,187,224,3,23,3886
201011002,3090,592,209,14,16,3931,425,121,66,0,10,613,67,15,15,0,3,101,3587,734,292,14,28,4654
201011003,6401,748,81,54,29,7307,1121,261,36,12,8,1439,183,46,3,0,7,241,7707,1047,118,68,54,8992
201011004,5564,1763,194,12,24,7555,1290,626,75,3,5,2003,209,76,16,0,14,306,7067,2460,282,15,45,9868
201011005,1965,39,10,0,3,2020,195,8,8,0,0,210,45,0,0,0,0,44,2198,48,19,0,7,2281
201011006,1868,180,6,0,8,2061,303,44,6,0,0,351,55,3,0,0,0,57,2228,223,12,0,8,2472
201011007,1091,0,0,4,3,1097,123,0,0,0,0,121,26,0,0,0,0,29,1239,0,0,3,6,1246
201011008,3628,376,141,6,9,4145,985,249,90,0,0,1328,146,30,17,0,0,197,4758,652,243,6,8,5667
201021009,1622,8,29,6,5,1666,329,5,21,0,3,354,38,0,9,7,0,55,1982,20,49,12,9,2079
201021010,1952,15,6,246,30,2255,476,28,3,59,14,578,61,30,3,9,3,102,2482,69,13,313,45,2933
201021011,2711,39,19,29,30,2832,609,13,18,13,14,662,104,0,3,3,13,122,3421,48,41,52,57,3612
201021012,1580,0,6,4,7,1598,310,0,0,0,3,318,43,0,4,0,3,50,1931,0,7,3,17,1964
201031013,917,0,0,5,6,930,379,0,0,9,0,388,43,0,0,0,0,48,1338,0,0,13,6,1365
201031014,1106,0,0,28,4,1142,335,0,13,27,0,381,36,0,3,0,3,40,1474,0,16,54,10,1561
201031015,1317,0,0,11,0,1326,259,0,0,0,0,261,40,0,0,0,0,40,1617,0,0,14,5,1632
201031016,2031,143,21,23,9,2229,828,131,21,18,3,1007,115,18,7,3,0,139,2977,292,45,47,13,3374
201031017,1484,15,10,33,4,1550,493,14,17,14,6,553,56,0,3,4,0,65,2038,28,35,57,8,2164
202011018,3850,451,143,16,12,4468,965,192,39,3,10,1207,145,48,18,0,3,209,4960,682,199,16,23,5885
