SA2_MAINCODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
201011001,0,7,0,7,..,21,0,20,0,20,..,8,0,10,0,10,..,7,0,7,0,7,..,4,3,11,0,11,..,0,0,0,0,0,..,4,3,3,0,3,..,110,15,117,9,129,..,439,64,497,9,508,..,12,0,14,234,248,4951,449,63,514,248,5704,5164,..,..,..,..,5164,..,10,0,10,0,10,..,9,0,9,0,9,..,0,0,0,0,0,..,16,3,19,0,19,..,71,29,98,0,98,..,3,0,3,0,3,..,92,28,122,0,122,..,6,0,6,0,6,..,5,0,5,0,5,..,12,0,12,0,12,..,10,0,8,0,8,..,19,3,24,0,24,..,12,0,9,0,9,..,33,4,35,0,35,..,31,4,33,0,33,..,18,3,22,0,22,..,7,0,7,0,7,..,10,0,10,0,10,..,106,11,120,0,120,..,8,0,8,0,8,..,9,4,12,0,12,..,5,0,5
201011002,0,0,0,0,..,11,3,11,0,11,..,12,0,14,0,14,..,7,0,7,0,7,..,5,0,4,0,4,..,0,0,0,0,0,..,13,3,15,0,15,..,67,20,81,0,81,..,349,47,396,0,400,..,15,0,20,351,366,4922,364,50,414,352,5695,5559,..,..,..,..,5559,..,3,0,3,0,3,..,15,0,15,0,15,..,0,0,0,0,0,..,16,0,15,0,15,..,47,8,50,0,50,..,0,0,0,0,0,..,58,11,66,0,66,..,0,0,4,0,4,..,14,0,14,0,14,..,10,0,10,0,12,..,12,0,13,0,13,..,9,0,9,0,9,..,8,0,8,0,8,..,17,0,17,0,17,..,16,3,21,0,21,..,0,0,0,0,0,..,3,0,3,0,3,..,7,0,7,0,7,..,55,4,59,0,59,..,15,6,18,0,19,..,21,0,18,0,18,..,7,0,7
201011003,0,0,0,0,..,22,0,18,0,18,..,11,3,10,0,10,..,12,0,12,0,12,..,3,0,3,0,3,..,3,0,3,0,3,..,5,0,5,0,5,..,72,23,92,5,102,..,398,58,454,8,459,..,31,0,33,603,638,9869,425,62,487,612,10965,10871,..,..,..,..,10871,..,8,0,8,0,8,..,9,0,9,0,9,..,3,0,3,0,3,..,11,0,11,0,15,..,46,9,58,0,58,..,6,0,6,0,6,..,70,9,75,0,74,..,24,7,35,0,35,..,15,0,15,0,16,..,13,0,13,0,13,..,28,3,26,0,26,..,12,3,18,0,19,..,4,0,8,0,8,..,17,0,17,0,17,..,12,4,15,0,15,..,7,0,7,0,7,..,7,3,6,0,6,..,4,0,4,0,4,..,56,8,64,0,64,..,35,7,38,0,38,..,24,4,26,0,26,..,5,0,6
201011004,0,4,0,4,..,32,6,36,0,36,..,10,0,10,0,10,..,11,0,12,0,12,..,3,3,10,0,10,..,5,0,5,0,5,..,3,4,7,0,7,..,116,27,143,4,146,..,581,101,681,13,695,..,39,0,40,802,839,9963,621,98,720,817,11498,11118,..,..,..,..,11118,..,3,0,3,0,3,..,15,0,21,0,21,..,0,0,0,0,0,..,11,5,19,0,19,..,108,29,134,0,133,..,15,7,24,0,24,..,141,38,177,0,182,..,15,0,15,0,15,..,26,0,32,0,33,..,17,0,21,0,21,..,21,0,21,0,21,..,9,0,9,0,9,..,5,0,3,0,3,..,23,0,25,0,25,..,24,3,30,0,29,..,4,0,8,0,8,..,15,0,20,0,20,..,13,0,19,0,19,..,87,15,104,0,107,..,14,3,22,0,22,..,9,0,9,0,9,..,3,0,6
201011005,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,10,0,15,0,13,..,128,16,145,0,141,..,4,0,4,226,231,3240,131,16,152,225,3613,3196,..,..,..,..,3196,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,9,0,9,..,20,9,30,0,30,..,7,0,7,0,7,..,28,15,45,0,45,..,0,0,4,0,4,..,5,0,5,0,5,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,6,0,7,0,7,..,0,0,0
201011006,0,0,0,0,..,13,0,13,0,13,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,32,4,38,3,43,..,115,21,133,3,135,..,10,0,10,150,159,3131,119,21,140,152,3424,3311,..,..,..,..,3311,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,3,3,4,0,4,..,9,7,15,0,14,..,0,0,0,0,0,..,10,8,20,0,22,..,3,0,4,0,4,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,6,0,7,0,9,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0
201011007,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,14,3,17,0,17,..,41,7,50,0,50,..,6,0,6,101,103,1872,50,7,55,101,2021,1774,..,..,..,..,1774,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0
201011008,0,0,0,0,..,45,0,45,0,45,..,5,0,5,0,5,..,3,0,5,0,5,..,3,0,3,0,3,..,0,0,0,0,0,..,4,5,9,0,9,..,41,9,56,0,58,..,265,41,308,0,309,..,19,0,22,420,445,6286,288,37,327,427,7039,6769,..,..,..,..,6769,..,5,0,5,0,5,..,0,0,3,0,3,..,6,0,6,0,8,..,3,4,10,0,10,..,22,10,39,0,39,..,0,0,0,0,0,..,24,18,46,0,46,..,3,0,3,0,3,..,20,0,20,0,20,..,8,0,8,0,8,..,15,0,15,0,15,..,0,0,6,0,6,..,3,0,6,0,6,..,7,3,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,5,0,11,0,11,..,3,0,3,0,3,..,32,7,36,0,36,..,7,0,7,0,7,..,8,0,5,0,5,..,0,0,0
201021009,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,17,0,17,..,101,5,111,0,111,..,6,0,6,195,197,2636,106,5,117,195,2946,2590,..,..,..,..,2590,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,11,..,0,0,0,0,0,..,10,0,11,0,11,..,5,0,3,0,3,..,8,0,8,0,8,..,4,0,4,0,4,..,12,0,12,0,12,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,5,0,5,..,7,0,11,0,11,..,3,0,3,0,3,..,0,0,0
201021010,0,0,0,0,..,5,0,5,0,5,..,3,0,3,0,3,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,15,3,22,3,26,..,107,14,120,0,121,..,13,0,13,315,324,3394,122,14,132,316,3843,3475,..,..,..,..,3475,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,7,0,7,..,0,0,0,0,0,..,3,0,8,0,8,..,0,0,3,0,3,..,13,0,13,0,13,..,10,0,10,0,10,..,11,0,11,0,6,..,6,3,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,14,0,11,0,11,..,4,0,4,0,4,..,0,0,0
