SA2_MAINCODE_2016,South_Africa_Before_1946,South_Africa_1946_1955,South_Africa_1956_1965,South_Africa_1966_1975,South_Africa_1976_1985,South_Africa_1986_1995,South_Africa_1996_2005,South_Africa_2006_2010,South_Africa_2011,South_Africa_2012,South_Africa_2013,South_Africa_2014,South_Africa_2015,South_Africa_2016,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1946,Sri_Lanka_1946_1955,Sri_Lanka_1956_1965,Sri_Lanka_1966_1975,Sri_Lanka_1976_1985,Sri_Lanka_1986_1995,Sri_Lanka_1996_2005,Sri_Lanka_2006_2010,Sri_Lanka_2011,Sri_Lanka_2012,Sri_Lanka_2013,Sri_Lanka_2014,Sri_Lanka_2015,Sri_Lanka_2016,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1946,Thailand_1946_1955,Thailand_1956_1965,Thailand_1966_1975,Thailand_1976_1985,Thailand_1986_1995,Thailand_1996_2005,Thailand_2006_2010,Thailand_2011,Thailand_2012,Thailand_2013,Thailand_2014,Thailand_2015,Thailand_2016,Thailand_Yr_arrival_ns,Thailand_Tot,FYROM_Before_1946,FYROM_1946_1955,FYROM_1956_1965,FYROM_1966_1975,FYROM_1976_1985,FYROM_1986_1995,FYROM_1996_2005,FYROM_2006_2010,FYROM_2011,FYROM_2012,FYROM_2013,FYROM_2014,FYROM_2015,FYROM_2016,FYROM_arrival_ns,FYROM_Tot,Turkey_Before_1946,Turkey_1946_1955,Turkey_1956_1965,Turkey_1966_1975,Turkey_1976_1985,Turkey_1986_1995,Turkey_1996_2005,Turkey_2006_2010,Turkey_2011,Turkey_2012,Turkey_2013,Turkey_2014,Turkey_2015,Turkey_2016,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1946,United_Kingdom_1946_1955,United_Kingdom_1956_1965,United_Kingdom_1966_1975,United_Kingdom_1976_1985,United_Kingdom_1986_1995,United_Kingdom_1996_2005,United_Kingdom_2006_2010,United_Kingdom_2011,United_Kingdom_2012,United_Kingdom_2013,United_Kingdom_2014,United_Kingdom_2015,United_Kingdom_2016,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1946,USA_1946_1955,USA_1956_1965,USA_1966_1975,USA_1976_1985,USA_1986_1995,USA_1996_2005,USA_2006_2010,United_States_America_2011,United_States_America_2012,United_States_America_2013,United_States_America_2014,United_States_America_2015,United_States_America_2016,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1946,Vietnam_1946_1955,Vietnam_1956_1965,Vietnam_1966_1975,Vietnam_1976_1985,Vietnam_1986_1995,Vietnam_1996_2005,Vietnam_2006_2010,Vietnam_2011,Vietnam_2012,Vietnam_2013,Vietnam_2014,Vietnam_2015,Vietnam_2016,Vietnam_Yr_arrival_NS,Vietnam_Tot,Zimbabwe_Before_1946,Zimbabwe_1946_1955,Zimbabwe_1956_1965,Zimbabwe_1966_1975,Zimbabwe_1976_1985,Zimbabwe_1986_1995,Zimbabwe_1996_2005,Zimbabwe_2006_2010,Zimbabwe_2011,Zimbabwe_2012,Zimbabwe_2013,Zimbabwe_2014,Zimbabwe_2015,Zimbabwe_2016,Zimbabwe_Yr_arrival_NS,Zimbabwe_Tot,Born_elsewhere_Before_1946,Born_elsewhere_1946_1955,Born_elsewhere_1956_1965,Born_elsewhere_1966_1975,Born_elsewhere_1976_1985,Born_elsewhere_1986_1995,Born_elsewhere_1996_2005,Born_elsewhere_2006_2010,Born_elsewhere_2011,Born_elsewhere_2012,Born_elsewhere_2013,Born_elsewhere_2014,Born_elsewhere_2015,Born_elsewhere_2016,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1946,Tot_1946_1955,Tot_1956_1965,Tot_1966_1975,Tot_1976_1985,Tot_1986_1995,Tot_1996_2005,Tot_2006_2010,Tot_2011,Tot_2012,Tot_2013,Tot_2014,Tot_2015,Tot_2016,Tot_Yr_arrival_NS,Tot_Tot
201011001,0,0,0,0,0,4,23,8,4,8,0,0,0,0,0,55,0,0,0,0,0,0,6,23,6,0,3,0,0,0,0,48,0,0,0,0,0,0,11,8,0,3,0,0,3,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,40,36,17,20,36,37,3,13,15,4,3,7,3,267,0,0,0,0,3,3,5,3,0,0,0,0,0,0,0,12,0,0,0,0,0,3,7,5,0,0,0,0,0,0,0,10,0,0,0,0,3,0,3,4,0,0,0,0,0,0,0,19,0,7,11,18,12,9,35,42,3,10,3,8,0,4,4,166,3,89,86,93,78,77,277,427,51,73,47,37,40,36,27,1439
201011002,0,0,0,3,0,0,12,3,0,0,0,0,0,7,0,29,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,17,0,0,0,0,0,3,3,4,0,0,0,0,7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,68,55,40,22,31,25,12,5,4,4,8,3,9,332,0,0,3,5,4,3,15,3,0,3,0,7,3,0,0,45,0,0,0,0,0,0,0,10,0,0,3,10,0,0,0,23,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,6,0,14,9,15,7,20,33,32,3,12,7,3,7,6,9,170,5,120,154,137,104,103,198,202,41,62,48,55,60,20,48,1355
201011003,0,0,0,6,3,0,15,3,3,0,0,3,0,0,3,39,0,0,0,0,3,0,3,3,0,5,0,0,0,0,3,20,0,0,0,0,0,4,7,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,71,136,160,59,39,47,30,12,3,3,6,6,3,27,608,0,0,4,8,3,8,21,16,3,3,3,3,0,0,3,77,0,0,0,0,5,0,0,0,0,3,0,0,0,3,3,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,17,15,36,23,20,42,53,3,5,4,5,11,12,9,256,4,176,274,303,158,155,238,254,50,54,45,49,39,36,98,1929
201011004,0,0,0,0,4,0,11,8,0,0,0,0,6,0,0,31,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,19,0,0,0,0,0,0,11,0,0,0,0,3,3,0,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,134,182,63,38,33,30,6,3,3,0,0,0,18,580,0,0,4,8,8,0,17,3,7,6,0,0,3,0,0,54,0,0,0,0,3,5,0,4,0,0,0,0,3,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,29,15,27,57,76,15,14,8,8,10,18,8,334,4,235,287,303,160,154,261,365,70,103,96,63,108,79,96,2371
201011005,0,0,4,4,3,0,6,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,53,76,29,20,36,31,3,12,7,11,3,0,7,310,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,10,3,11,6,0,10,7,5,3,6,0,4,0,0,69,0,53,90,115,68,55,103,95,14,26,24,21,24,36,25,757
201011006,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,41,4,8,10,7,0,0,0,0,0,0,12,136,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,0,8,20,28,0,0,0,0,0,0,0,88,0,64,69,76,33,50,71,82,10,15,5,8,8,6,28,529
201011007,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,30,20,11,3,8,0,0,0,0,0,0,3,117,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,0,5,0,0,0,0,0,0,0,29,0,29,63,58,56,23,32,15,3,0,6,3,0,0,8,300
201011008,0,0,0,3,3,3,7,3,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,51,73,81,32,12,7,11,6,0,0,0,4,0,16,302,0,0,0,3,4,4,0,5,3,0,0,0,0,0,0,18,0,0,0,0,5,6,0,3,0,0,3,0,0,0,0,25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,10,20,9,13,12,26,33,0,0,0,5,10,3,4,138,4,143,158,141,81,80,108,133,25,41,43,35,45,46,45,1131
201021009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,105,31,30,34,12,3,3,0,0,0,0,12,317,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,31,13,16,6,6,0,0,0,0,0,0,11,101,3,71,119,194,82,72,81,40,4,3,15,9,3,3,46,745
201021010,0,0,0,0,3,0,3,13,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,34,75,82,34,24,27,11,3,3,0,0,0,0,15,298,0,0,3,8,4,0,0,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,12,27,11,5,10,5,0,0,0,3,4,4,3,94,3,105,151,155,85,58,72,57,10,9,7,8,7,7,29,769
